NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_RIBOSOME	KEGG_RIBOSOME	Details ...	68	0.62141985	2.157361	0.0	0.0	0.0	3096	tags=71%, list=29%, signal=99%	
KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT	Details ...	23	0.7443129	2.0572639	0.0	9.253851E-4	0.002	1880	tags=65%, list=18%, signal=79%	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	Details ...	70	0.550831	1.9473931	0.0	0.0034868799	0.012	3529	tags=64%, list=33%, signal=96%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	Details ...	32	0.5911403	1.7766181	0.0016638935	0.032555196	0.141	1060	tags=31%, list=10%, signal=35%	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION	Details ...	25	0.61756223	1.7392175	0.0053380784	0.038352776	0.201	2500	tags=64%, list=24%, signal=84%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	71	0.4889198	1.7064869	0.0	0.04429403	0.261	3370	tags=63%, list=32%, signal=92%	
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	KEGG_GLYCOLYSIS_GLUCONEOGENESIS	Details ...	38	0.54234695	1.7023851	0.0017452007	0.040135592	0.273	2572	tags=47%, list=24%, signal=62%	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	Details ...	33	0.5703104	1.697986	0.016920473	0.038113017	0.297	3487	tags=79%, list=33%, signal=117%	
KEGG_RNA_POLYMERASE	KEGG_RNA_POLYMERASE	Details ...	24	0.6165929	1.6961071	0.00837521	0.03463199	0.303	2888	tags=63%, list=27%, signal=86%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	Details ...	21	0.5902368	1.5888216	0.02538071	0.08899325	0.644	2881	tags=62%, list=27%, signal=85%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	111	0.42029378	1.560921	0.0030816642	0.10235019	0.736	3123	tags=46%, list=29%, signal=64%	
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE	Details ...	27	0.51507777	1.4946833	0.032928944	0.16284765	0.908	1844	tags=41%, list=17%, signal=49%	
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM	Details ...	31	0.5027545	1.4732599	0.052884616	0.17875427	0.937	834	tags=23%, list=8%, signal=24%	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	Details ...	34	0.48696846	1.4388791	0.04738562	0.21742398	0.969	1951	tags=38%, list=18%, signal=47%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	Details ...	37	0.46846634	1.4339021	0.037037037	0.21080612	0.974	1898	tags=35%, list=18%, signal=43%	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE	Details ...	114	0.38006064	1.4234446	0.01217656	0.2135944	0.979	3370	tags=50%, list=32%, signal=73%	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	Details ...	108	0.3729573	1.3981549	0.02021773	0.24210154	0.989	2229	tags=37%, list=21%, signal=46%	
