NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS	Details ...	63	-0.54957443	-1.8779843	0.0022573364	0.026263526	0.029	2526	tags=48%, list=24%, signal=62%	
KEGG_LYSOSOME	KEGG_LYSOSOME	Details ...	102	-0.45469484	-1.6895751	0.0	0.15409957	0.289	1541	tags=29%, list=15%, signal=34%	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	Details ...	33	-0.55502003	-1.6830773	0.0021978023	0.108005665	0.303	3737	tags=70%, list=35%, signal=107%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	Details ...	32	-0.5586821	-1.6676646	0.006666667	0.09275067	0.339	2150	tags=53%, list=20%, signal=66%	
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY	Details ...	20	-0.51875013	-1.3972611	0.10454545	0.6667402	0.967	2377	tags=55%, list=22%, signal=71%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION	Details ...	58	-0.38948613	-1.3125523	0.08571429	0.9498311	0.998	2901	tags=43%, list=27%, signal=59%	
KEGG_SMALL_CELL_LUNG_CANCER	KEGG_SMALL_CELL_LUNG_CANCER	Details ...	68	-0.36939073	-1.288904	0.08649789	0.9338852	1.0	2861	tags=43%, list=27%, signal=58%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	111	-0.3332023	-1.2635016	0.06775701	0.9467474	1.0	1661	tags=23%, list=16%, signal=27%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	Details ...	16	-0.5027127	-1.240844	0.21627408	0.9593947	1.0	1387	tags=31%, list=13%, signal=36%	
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	Details ...	41	-0.38098583	-1.1935898	0.19589977	1.0	1.0	2608	tags=44%, list=25%, signal=58%	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	Details ...	79	-0.33306158	-1.1867971	0.17926566	1.0	1.0	2508	tags=35%, list=24%, signal=46%	
KEGG_APOPTOSIS	KEGG_APOPTOSIS	Details ...	56	-0.34992382	-1.1830738	0.17605634	0.97637635	1.0	2656	tags=36%, list=25%, signal=47%	
KEGG_ETHER_LIPID_METABOLISM	KEGG_ETHER_LIPID_METABOLISM	Details ...	19	-0.44189456	-1.1585939	0.2746781	1.0	1.0	2929	tags=42%, list=28%, signal=58%	
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	Details ...	44	-0.3662784	-1.1539387	0.22292994	0.96351516	1.0	1449	tags=27%, list=14%, signal=31%	
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	Details ...	25	-0.4031583	-1.1437311	0.27906978	0.94399166	1.0	753	tags=20%, list=7%, signal=21%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	Details ...	37	-0.36527976	-1.1214349	0.25917432	0.98471147	1.0	2150	tags=30%, list=20%, signal=37%	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION	Details ...	25	-0.38227707	-1.1066834	0.29805616	0.9952781	1.0	2052	tags=36%, list=19%, signal=45%	
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS	Details ...	26	-0.3814748	-1.1010158	0.31120333	0.9636212	1.0	2613	tags=38%, list=25%, signal=51%	
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	Details ...	18	-0.4132265	-1.0707694	0.366167	1.0	1.0	4279	tags=61%, list=40%, signal=102%	
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	Details ...	25	-0.37229598	-1.0617143	0.3460722	1.0	1.0	2329	tags=32%, list=22%, signal=41%	
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY		48	-0.31610283	-1.04546	0.39347827	1.0	1.0	797	tags=17%, list=8%, signal=18%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE		17	-0.39892456	-1.0437365	0.39777777	1.0	1.0	2419	tags=35%, list=23%, signal=46%	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM		26	-0.35727078	-1.0361084	0.38115633	0.9987959	1.0	353	tags=8%, list=3%, signal=8%	
KEGG_PYRUVATE_METABOLISM	KEGG_PYRUVATE_METABOLISM		30	-0.34171948	-1.0261341	0.42793792	0.9983584	1.0	1787	tags=33%, list=17%, signal=40%	
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY		62	-0.28247797	-0.96381676	0.5230415	1.0	1.0	2614	tags=35%, list=25%, signal=47%	
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION		15	-0.38412875	-0.96189237	0.5278311	1.0	1.0	297	tags=13%, list=3%, signal=14%	
KEGG_ENDOCYTOSIS	KEGG_ENDOCYTOSIS		136	-0.24463646	-0.9519935	0.5539568	1.0	1.0	1657	tags=20%, list=16%, signal=23%	
KEGG_ARGININE_AND_PROLINE_METABOLISM	KEGG_ARGININE_AND_PROLINE_METABOLISM		34	-0.31283468	-0.94495314	0.5326087	1.0	1.0	785	tags=18%, list=7%, signal=19%	
KEGG_REGULATION_OF_AUTOPHAGY	KEGG_REGULATION_OF_AUTOPHAGY		17	-0.35174215	-0.92179203	0.5854214	1.0	1.0	1467	tags=29%, list=14%, signal=34%	
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION		53	-0.2698168	-0.9127533	0.6224256	1.0	1.0	2207	tags=28%, list=21%, signal=36%	
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION		78	-0.2531102	-0.89573985	0.6370192	1.0	1.0	1585	tags=24%, list=15%, signal=28%	
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	KEGG_CYSTEINE_AND_METHIONINE_METABOLISM		26	-0.30848178	-0.88804483	0.62222224	1.0	1.0	2744	tags=38%, list=26%, signal=52%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR		21	-0.32845494	-0.8799701	0.65235174	1.0	1.0	2052	tags=33%, list=19%, signal=41%	
KEGG_PEROXISOME	KEGG_PEROXISOME		66	-0.25284168	-0.8726893	0.7181818	1.0	1.0	1831	tags=26%, list=17%, signal=31%	
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA		63	-0.24830598	-0.8652471	0.77375567	1.0	1.0	2861	tags=33%, list=27%, signal=45%	
KEGG_MELANOMA	KEGG_MELANOMA		47	-0.26562136	-0.8642261	0.695962	1.0	1.0	1584	tags=23%, list=15%, signal=27%	
KEGG_N_GLYCAN_BIOSYNTHESIS	KEGG_N_GLYCAN_BIOSYNTHESIS		39	-0.27830374	-0.85880226	0.6933333	1.0	1.0	849	tags=13%, list=8%, signal=14%	
KEGG_VIBRIO_CHOLERAE_INFECTION	KEGG_VIBRIO_CHOLERAE_INFECTION		41	-0.2679806	-0.8500304	0.72119814	1.0	1.0	1354	tags=20%, list=13%, signal=22%	
KEGG_THYROID_CANCER	KEGG_THYROID_CANCER		21	-0.30939054	-0.84013647	0.7051282	1.0	1.0	456	tags=10%, list=4%, signal=10%	
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER		32	-0.28321847	-0.8384577	0.7310195	1.0	1.0	3857	tags=50%, list=36%, signal=78%	
KEGG_SELENOAMINO_ACID_METABOLISM	KEGG_SELENOAMINO_ACID_METABOLISM		21	-0.29948485	-0.82189655	0.7295597	1.0	1.0	671	tags=14%, list=6%, signal=15%	
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION		36	-0.2615858	-0.7970048	0.7827051	1.0	1.0	2884	tags=44%, list=27%, signal=61%	
KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS		29	-0.26993945	-0.79496735	0.80777097	1.0	1.0	2193	tags=31%, list=21%, signal=39%	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS		34	-0.25261605	-0.77537984	0.8229665	1.0	1.0	1485	tags=21%, list=14%, signal=24%	
KEGG_CHEMOKINE_SIGNALING_PATHWAY	KEGG_CHEMOKINE_SIGNALING_PATHWAY		114	-0.2051978	-0.76601964	0.95961994	1.0	1.0	2458	tags=27%, list=23%, signal=35%	
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE		35	-0.25114584	-0.76521146	0.8425532	1.0	1.0	3078	tags=40%, list=29%, signal=56%	
KEGG_PANCREATIC_CANCER	KEGG_PANCREATIC_CANCER		60	-0.22693849	-0.7596392	0.89461356	1.0	1.0	2861	tags=37%, list=27%, signal=50%	
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE		93	-0.20425688	-0.7422746	0.9590362	1.0	1.0	2601	tags=28%, list=25%, signal=37%	
