NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	Details ...	28	0.6755362	1.8970811	0.0	0.023474341	0.02	1328	tags=36%, list=13%, signal=41%	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM	Details ...	48	0.53457046	1.6818492	0.005357143	0.20066826	0.314	1942	tags=40%, list=18%, signal=48%	
KEGG_MELANOGENESIS	KEGG_MELANOGENESIS	Details ...	60	0.5115892	1.6737546	0.0034722222	0.14894867	0.339	1379	tags=27%, list=13%, signal=30%	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE	Details ...	114	0.4537664	1.6643219	0.0016420361	0.12479385	0.38	2447	tags=36%, list=23%, signal=46%	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	Details ...	63	0.50710654	1.6507716	0.0	0.11576461	0.427	693	tags=24%, list=7%, signal=25%	
KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY	Details ...	63	0.4925367	1.6177891	0.011299435	0.1379698	0.543	2339	tags=40%, list=22%, signal=51%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	71	0.48076704	1.598887	0.0053475937	0.14209245	0.61	3267	tags=55%, list=31%, signal=79%	
KEGG_RIBOSOME	KEGG_RIBOSOME	Details ...	68	0.47799113	1.5865799	0.005181347	0.13725886	0.643	4074	tags=69%, list=38%, signal=112%	
KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY	Details ...	100	0.43741336	1.5518063	0.0035842294	0.16383573	0.759	1742	tags=27%, list=16%, signal=32%	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	Details ...	70	0.45444116	1.541771	0.017730497	0.16239505	0.79	3267	tags=57%, list=31%, signal=82%	
