NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	Details ...	33	-0.72277033	-2.248186	0.0	0.0	0.0	2595	tags=85%, list=24%, signal=112%	
KEGG_PROTEASOME	KEGG_PROTEASOME	Details ...	37	-0.63057107	-2.000057	0.0	0.003958244	0.008	2217	tags=49%, list=21%, signal=61%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	Details ...	37	-0.57720894	-1.8283477	0.0	0.024833746	0.067	2274	tags=51%, list=21%, signal=65%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	Details ...	32	-0.5800707	-1.8237791	0.0	0.01938748	0.07	2050	tags=53%, list=19%, signal=66%	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	Details ...	70	-0.49924985	-1.7943072	0.0	0.023140471	0.103	4128	tags=67%, list=39%, signal=109%	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION	Details ...	25	-0.6230033	-1.7842952	0.0025188916	0.021434855	0.114	2154	tags=64%, list=20%, signal=80%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	111	-0.4585124	-1.7750127	0.0	0.019556493	0.121	2315	tags=47%, list=22%, signal=59%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	Details ...	21	-0.63035315	-1.7119162	0.00921659	0.031400647	0.215	1889	tags=52%, list=18%, signal=64%	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	Details ...	37	-0.4823709	-1.5139784	0.026239067	0.1419841	0.697	1794	tags=30%, list=17%, signal=36%	
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	Details ...	18	-0.57169	-1.502275	0.043902438	0.13741358	0.722	2600	tags=44%, list=25%, signal=59%	
KEGG_LYSOSOME	KEGG_LYSOSOME	Details ...	102	-0.37374657	-1.4303056	0.02097902	0.20987833	0.891	2491	tags=29%, list=23%, signal=38%	
KEGG_HISTIDINE_METABOLISM	KEGG_HISTIDINE_METABOLISM	Details ...	21	-0.5209188	-1.429152	0.05463183	0.19405714	0.893	726	tags=19%, list=7%, signal=20%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	71	-0.40092742	-1.4272082	0.02027027	0.18154232	0.898	3390	tags=46%, list=32%, signal=68%	
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM	Details ...	31	-0.43897024	-1.3594534	0.1005291	0.2604265	0.978	1480	tags=26%, list=14%, signal=30%	
KEGG_PEROXISOME	KEGG_PEROXISOME	Details ...	66	-0.3783128	-1.3493472	0.03797468	0.2590816	0.985	1480	tags=20%, list=14%, signal=23%	
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM	Details ...	28	-0.4455848	-1.3390636	0.08423913	0.2597975	0.99	2946	tags=39%, list=28%, signal=54%	
KEGG_REGULATION_OF_AUTOPHAGY	KEGG_REGULATION_OF_AUTOPHAGY	Details ...	17	-0.46675155	-1.2532673	0.18571429	0.40365493	1.0	2189	tags=35%, list=21%, signal=44%	
KEGG_PYRIMIDINE_METABOLISM	KEGG_PYRIMIDINE_METABOLISM	Details ...	82	-0.33717844	-1.2441071	0.110320285	0.40062863	1.0	1979	tags=34%, list=19%, signal=42%	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	Details ...	31	-0.4027697	-1.2422817	0.16176471	0.38293627	1.0	1614	tags=35%, list=15%, signal=42%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	Details ...	101	-0.31833273	-1.2298808	0.09477124	0.38923565	1.0	3390	tags=41%, list=32%, signal=59%	
KEGG_SELENOAMINO_ACID_METABOLISM	KEGG_SELENOAMINO_ACID_METABOLISM		21	-0.42616028	-1.1903499	0.20581114	0.45792186	1.0	1501	tags=24%, list=14%, signal=28%	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM		26	-0.38716707	-1.1379019	0.24734043	0.57608217	1.0	1517	tags=15%, list=14%, signal=18%	
KEGG_RIBOSOME	KEGG_RIBOSOME		68	-0.30548698	-1.1068243	0.24556214	0.64163685	1.0	7385	tags=100%, list=70%, signal=327%	
KEGG_ETHER_LIPID_METABOLISM	KEGG_ETHER_LIPID_METABOLISM		19	-0.40778202	-1.0959681	0.33333334	0.6482535	1.0	1029	tags=21%, list=10%, signal=23%	
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM		25	-0.37186697	-1.0924275	0.29135802	0.6338003	1.0	1712	tags=16%, list=16%, signal=19%	
KEGG_TRYPTOPHAN_METABOLISM	KEGG_TRYPTOPHAN_METABOLISM		25	-0.36793345	-1.066065	0.37239584	0.69150734	1.0	4208	tags=52%, list=40%, signal=86%	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS		34	-0.33756933	-1.0467794	0.35654595	0.7275311	1.0	3629	tags=59%, list=34%, signal=89%	
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS		30	-0.34270805	-1.0347008	0.39673913	0.7418207	1.0	957	tags=13%, list=9%, signal=15%	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE		108	-0.2611232	-1.0180197	0.39016393	0.76846653	1.0	2448	tags=39%, list=23%, signal=50%	
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM		17	-0.37344214	-1.0009893	0.46958637	0.7996259	1.0	1794	tags=24%, list=17%, signal=28%	
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM		26	-0.34167007	-0.99750155	0.44198895	0.7872436	1.0	1794	tags=27%, list=17%, signal=32%	
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY		20	-0.36290762	-0.98940194	0.44638404	0.7877578	1.0	4009	tags=70%, list=38%, signal=112%	
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM		16	-0.37032008	-0.95725334	0.49885058	0.8668225	1.0	1009	tags=19%, list=10%, signal=21%	
KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT		23	-0.3197966	-0.902115	0.62222224	1.0	1.0	3379	tags=43%, list=32%, signal=64%	
KEGG_PURINE_METABOLISM	KEGG_PURINE_METABOLISM		126	-0.23020013	-0.89814144	0.7519685	1.0	1.0	2274	tags=29%, list=21%, signal=36%	
KEGG_CITRATE_CYCLE_TCA_CYCLE	KEGG_CITRATE_CYCLE_TCA_CYCLE		27	-0.2964288	-0.881216	0.6707921	1.0	1.0	4056	tags=48%, list=38%, signal=78%	
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS		23	-0.29859167	-0.8512196	0.68345326	1.0	1.0	1134	tags=13%, list=11%, signal=15%	
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION		36	-0.2674888	-0.8445302	0.73066664	1.0	1.0	754	tags=17%, list=7%, signal=18%	
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER		32	-0.26741976	-0.841348	0.72074467	1.0	1.0	2349	tags=31%, list=22%, signal=40%	
KEGG_TYROSINE_METABOLISM	KEGG_TYROSINE_METABOLISM		18	-0.31932393	-0.83875686	0.71428573	1.0	1.0	726	tags=17%, list=7%, signal=18%	
KEGG_PENTOSE_PHOSPHATE_PATHWAY	KEGG_PENTOSE_PHOSPHATE_PATHWAY		22	-0.2910149	-0.8024668	0.7583732	1.0	1.0	4073	tags=41%, list=38%, signal=66%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION		58	-0.22863571	-0.799928	0.85835695	1.0	1.0	1477	tags=17%, list=14%, signal=20%	
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	KEGG_CYSTEINE_AND_METHIONINE_METABOLISM		26	-0.2693352	-0.791547	0.8076923	1.0	1.0	1501	tags=15%, list=14%, signal=18%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE		17	-0.2983691	-0.7885883	0.7638554	1.0	1.0	3489	tags=41%, list=33%, signal=61%	
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM		22	-0.2750986	-0.78047323	0.8	1.0	1.0	3337	tags=41%, list=31%, signal=60%	
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS		26	-0.250437	-0.75081205	0.86868685	1.0	1.0	1292	tags=12%, list=12%, signal=13%	
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY		39	-0.22134605	-0.7041971	0.9309392	1.0	1.0	2589	tags=31%, list=24%, signal=41%	
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	KEGG_DRUG_METABOLISM_OTHER_ENZYMES		17	-0.257193	-0.66865975	0.910628	1.0	1.0	2917	tags=35%, list=28%, signal=49%	
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS		63	-0.18512124	-0.6645078	0.9815385	1.0	1.0	1599	tags=16%, list=15%, signal=19%	
KEGG_HEMATOPOIETIC_CELL_LINEAGE	KEGG_HEMATOPOIETIC_CELL_LINEAGE		35	-0.20197539	-0.6299413	0.9746479	1.0	1.0	2287	tags=23%, list=22%, signal=29%	
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC		47	-0.17668417	-0.58665216	0.9944904	1.0	1.0	1003	tags=11%, list=9%, signal=12%	
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES		39	-0.17972125	-0.57092124	0.99483204	1.0	1.0	1276	tags=8%, list=12%, signal=9%	
KEGG_DILATED_CARDIOMYOPATHY	KEGG_DILATED_CARDIOMYOPATHY		57	-0.14656909	-0.5055035	1.0	1.0	1.0	1003	tags=7%, list=9%, signal=8%	
