NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_ERBB_SIGNALING_PATHWAY	KEGG_ERBB_SIGNALING_PATHWAY	Details ...	68	0.6388103	2.0503824	0.0	0.0	0.0	2163	tags=49%, list=20%, signal=61%	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	Details ...	63	0.6352925	2.029463	0.0	0.0	0.0	2271	tags=46%, list=21%, signal=58%	
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	Details ...	28	0.7300823	1.9927795	0.0	0.0	0.0	1540	tags=46%, list=15%, signal=54%	
KEGG_MELANOGENESIS	KEGG_MELANOGENESIS	Details ...	60	0.6216994	1.9556471	0.0	0.0	0.0	795	tags=25%, list=7%, signal=27%	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM	Details ...	48	0.6416062	1.934419	0.0	0.0	0.0	2271	tags=46%, list=21%, signal=58%	
KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY	Details ...	63	0.5853616	1.8819478	0.0	0.0018040083	0.011	1754	tags=33%, list=17%, signal=40%	
KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY	Details ...	100	0.54604435	1.85543	0.0	0.003459407	0.024	2221	tags=38%, list=21%, signal=48%	
KEGG_RENAL_CELL_CARCINOMA	KEGG_RENAL_CELL_CARCINOMA	Details ...	60	0.5754812	1.8348135	0.0	0.004122617	0.033	2085	tags=47%, list=20%, signal=58%	
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	Details ...	60	0.56934744	1.8063694	0.0	0.0056088557	0.05	2221	tags=38%, list=21%, signal=48%	
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	Details ...	81	0.54604214	1.7987231	0.0	0.0056358874	0.056	2223	tags=42%, list=21%, signal=53%	
