NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	Details ...	33	-0.7018497	-2.0719798	0.0	0.0	0.0	2876	tags=88%, list=27%, signal=120%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	Details ...	32	-0.56400573	-1.7050911	0.010178117	0.09063359	0.193	2593	tags=66%, list=24%, signal=87%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	Details ...	37	-0.540408	-1.6760671	0.0049875313	0.085492425	0.257	2953	tags=57%, list=28%, signal=78%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	111	-0.42633128	-1.6099641	0.0	0.12227538	0.418	1994	tags=36%, list=19%, signal=44%	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION	Details ...	25	-0.5560143	-1.5700277	0.012690355	0.14067419	0.545	2730	tags=72%, list=26%, signal=97%	
KEGG_LYSOSOME	KEGG_LYSOSOME	Details ...	102	-0.40853962	-1.5172025	0.005952381	0.18068042	0.691	3036	tags=43%, list=29%, signal=60%	
KEGG_PROTEASOME	KEGG_PROTEASOME	Details ...	37	-0.49414983	-1.4933906	0.023255814	0.18865333	0.767	3880	tags=54%, list=37%, signal=85%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	Details ...	21	-0.5379896	-1.4446766	0.06094808	0.2438781	0.888	2876	tags=71%, list=27%, signal=98%	
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	Details ...	18	-0.50379115	-1.2952076	0.14454976	0.5747418	0.996	3489	tags=61%, list=33%, signal=91%	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	Details ...	26	-0.45710343	-1.2840599	0.13381995	0.5496314	0.996	172	tags=8%, list=2%, signal=8%	
KEGG_PRIMARY_IMMUNODEFICIENCY	KEGG_PRIMARY_IMMUNODEFICIENCY	Details ...	20	-0.47857156	-1.2665123	0.14742015	0.55500305	0.997	2993	tags=65%, list=28%, signal=90%	
KEGG_ETHER_LIPID_METABOLISM	KEGG_ETHER_LIPID_METABOLISM	Details ...	19	-0.4303104	-1.131133	0.28406465	1.0	1.0	758	tags=16%, list=7%, signal=17%	
KEGG_CELL_ADHESION_MOLECULES_CAMS	KEGG_CELL_ADHESION_MOLECULES_CAMS	Details ...	63	-0.32841122	-1.1281796	0.22928177	0.96956664	1.0	2910	tags=41%, list=27%, signal=57%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	Details ...	17	-0.44588768	-1.107145	0.31177828	0.9985497	1.0	3120	tags=41%, list=29%, signal=58%	
KEGG_PEROXISOME	KEGG_PEROXISOME	Details ...	66	-0.31942743	-1.098597	0.2771739	0.9721374	1.0	2316	tags=26%, list=22%, signal=33%	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	Details ...	31	-0.3649422	-1.0813872	0.33333334	0.98854977	1.0	1559	tags=29%, list=15%, signal=34%	
KEGG_SELENOAMINO_ACID_METABOLISM	KEGG_SELENOAMINO_ACID_METABOLISM	Details ...	21	-0.4088966	-1.0749303	0.35443038	0.9567136	1.0	1884	tags=33%, list=18%, signal=40%	
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	Details ...	25	-0.37752813	-1.0702815	0.35034803	0.92231685	1.0	2773	tags=36%, list=26%, signal=49%	
KEGG_ECM_RECEPTOR_INTERACTION	KEGG_ECM_RECEPTOR_INTERACTION	Details ...	58	-0.30963498	-1.022656	0.43874645	1.0	1.0	2789	tags=33%, list=26%, signal=44%	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	Details ...	108	-0.26071814	-0.9648031	0.5478261	1.0	1.0	2563	tags=39%, list=24%, signal=51%	
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	KEGG_CYSTEINE_AND_METHIONINE_METABOLISM		26	-0.3341333	-0.94058996	0.5399061	1.0	1.0	1934	tags=27%, list=18%, signal=33%	
KEGG_ABC_TRANSPORTERS	KEGG_ABC_TRANSPORTERS		26	-0.33286867	-0.9395575	0.5690867	1.0	1.0	3339	tags=46%, list=31%, signal=67%	
KEGG_PYRIMIDINE_METABOLISM	KEGG_PYRIMIDINE_METABOLISM		82	-0.26275977	-0.93757683	0.5705522	1.0	1.0	2824	tags=41%, list=27%, signal=56%	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS		34	-0.30507258	-0.92551386	0.5530303	1.0	1.0	2879	tags=29%, list=27%, signal=40%	
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION		37	-0.30560035	-0.92501605	0.56345177	1.0	1.0	2203	tags=27%, list=21%, signal=34%	
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION		36	-0.294985	-0.90284085	0.6137441	1.0	1.0	811	tags=17%, list=8%, signal=18%	
KEGG_HISTIDINE_METABOLISM	KEGG_HISTIDINE_METABOLISM		21	-0.33477795	-0.8944243	0.63764703	1.0	1.0	2633	tags=33%, list=25%, signal=44%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE		16	-0.34824896	-0.8887886	0.6133652	1.0	1.0	976	tags=19%, list=9%, signal=21%	
KEGG_GLUTATHIONE_METABOLISM	KEGG_GLUTATHIONE_METABOLISM		31	-0.3042158	-0.88103837	0.65876776	1.0	1.0	1973	tags=23%, list=19%, signal=28%	
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS		23	-0.31885406	-0.88016355	0.65909094	1.0	1.0	360	tags=13%, list=3%, signal=13%	
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION		15	-0.34038085	-0.83774537	0.6923077	1.0	1.0	766	tags=13%, list=7%, signal=14%	
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER		32	-0.27945086	-0.8258299	0.7533156	1.0	1.0	2854	tags=34%, list=27%, signal=47%	
KEGG_VIRAL_MYOCARDITIS	KEGG_VIRAL_MYOCARDITIS		29	-0.26190606	-0.76560336	0.85542166	1.0	1.0	3134	tags=45%, list=30%, signal=63%	
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM		28	-0.26976433	-0.75828516	0.8466981	1.0	1.0	3812	tags=57%, list=36%, signal=89%	
KEGG_VIBRIO_CHOLERAE_INFECTION	KEGG_VIBRIO_CHOLERAE_INFECTION		41	-0.2394681	-0.7476267	0.9232737	1.0	1.0	2350	tags=24%, list=22%, signal=31%	
KEGG_REGULATION_OF_AUTOPHAGY	KEGG_REGULATION_OF_AUTOPHAGY		17	-0.28755605	-0.7298066	0.8534884	1.0	1.0	2870	tags=41%, list=27%, signal=56%	
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	KEGG_COMPLEMENT_AND_COAGULATION_CASCADES		39	-0.23557018	-0.7240684	0.9282178	1.0	1.0	2262	tags=15%, list=21%, signal=19%	
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM		16	-0.28995013	-0.7225259	0.8598575	1.0	1.0	2151	tags=31%, list=20%, signal=39%	
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM		36	-0.21056186	-0.66212904	0.96642685	1.0	1.0	2656	tags=25%, list=25%, signal=33%	
