NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_MELANOGENESIS	KEGG_MELANOGENESIS	Details ...	60	0.63675535	1.9800756	0.0	0.0031089494	0.003	1074	tags=27%, list=10%, signal=30%	
KEGG_BASAL_CELL_CARCINOMA	KEGG_BASAL_CELL_CARCINOMA	Details ...	28	0.7444012	1.9565732	0.0	0.0015544747	0.003	1464	tags=46%, list=14%, signal=54%	
KEGG_INOSITOL_PHOSPHATE_METABOLISM	KEGG_INOSITOL_PHOSPHATE_METABOLISM	Details ...	48	0.6497799	1.9464592	0.0	0.0010363165	0.003	1703	tags=38%, list=16%, signal=44%	
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	Details ...	63	0.6124044	1.9222008	0.0	7.7723735E-4	0.003	1703	tags=37%, list=16%, signal=43%	
KEGG_ERBB_SIGNALING_PATHWAY	KEGG_ERBB_SIGNALING_PATHWAY	Details ...	68	0.60967904	1.9142125	0.0	6.217899E-4	0.003	2252	tags=46%, list=21%, signal=58%	
KEGG_TGF_BETA_SIGNALING_PATHWAY	KEGG_TGF_BETA_SIGNALING_PATHWAY	Details ...	63	0.59929883	1.8649143	0.0	0.003326061	0.019	2244	tags=44%, list=21%, signal=56%	
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	Details ...	81	0.54033154	1.7622105	0.0	0.014866313	0.091	1733	tags=35%, list=16%, signal=41%	
KEGG_WNT_SIGNALING_PATHWAY	KEGG_WNT_SIGNALING_PATHWAY	Details ...	100	0.52586186	1.757995	0.0	0.0137160765	0.096	1690	tags=30%, list=16%, signal=35%	
KEGG_RENAL_CELL_CARCINOMA	KEGG_RENAL_CELL_CARCINOMA	Details ...	60	0.55898863	1.7550771	0.0	0.012670287	0.1	1986	tags=43%, list=19%, signal=53%	
KEGG_ENDOMETRIAL_CANCER	KEGG_ENDOMETRIAL_CANCER	Details ...	44	0.58540577	1.7324588	0.0016750419	0.015876425	0.135	984	tags=23%, list=9%, signal=25%	
