NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	Details ...	70	-0.6625082	-2.4916546	0.0	0.0	0.0	2018	tags=60%, list=19%, signal=74%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	71	-0.6105647	-2.299893	0.0	0.0	0.0	1583	tags=49%, list=15%, signal=58%	
KEGG_PROTEASOME	KEGG_PROTEASOME	Details ...	37	-0.653362	-2.133252	0.0	0.0	0.0	2883	tags=68%, list=27%, signal=92%	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE	Details ...	114	-0.5088256	-2.0858653	0.0	7.0235046E-4	0.003	2018	tags=45%, list=19%, signal=55%	
KEGG_ALZHEIMERS_DISEASE	KEGG_ALZHEIMERS_DISEASE	Details ...	101	-0.48150623	-1.9332558	0.0	0.004578446	0.024	2042	tags=43%, list=19%, signal=52%	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	Details ...	33	-0.5799284	-1.8550946	0.0	0.008948998	0.057	3365	tags=67%, list=32%, signal=97%	
KEGG_RIBOSOME	KEGG_RIBOSOME	Details ...	68	-0.46228695	-1.7332731	0.0	0.0262522	0.179	4398	tags=76%, list=41%, signal=130%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	Details ...	37	-0.5088724	-1.6995608	0.012437811	0.03013589	0.228	2456	tags=51%, list=23%, signal=67%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	111	-0.41387686	-1.6934232	0.0	0.028770138	0.241	2478	tags=41%, list=23%, signal=52%	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	Details ...	34	-0.49780986	-1.6236424	0.016706444	0.053875502	0.429	1313	tags=38%, list=12%, signal=43%	
