NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	Details ...	63	0.5438669	1.9297143	0.0	0.017199438	0.016	3160	tags=59%, list=30%, signal=83%	
KEGG_MAPK_SIGNALING_PATHWAY	KEGG_MAPK_SIGNALING_PATHWAY	Details ...	182	0.47428516	1.9240149	0.0	0.0095944125	0.018	2308	tags=38%, list=22%, signal=48%	
KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA	Details ...	63	0.4949251	1.7586358	0.0017035775	0.055618405	0.147	2224	tags=40%, list=21%, signal=50%	
KEGG_LEISHMANIA_INFECTION	KEGG_LEISHMANIA_INFECTION	Details ...	41	0.54072285	1.7158482	0.0034965035	0.06761178	0.228	1947	tags=41%, list=18%, signal=51%	
KEGG_ERBB_SIGNALING_PATHWAY	KEGG_ERBB_SIGNALING_PATHWAY	Details ...	68	0.48357245	1.7145423	0.0	0.0545083	0.23	2384	tags=40%, list=22%, signal=51%	
KEGG_SMALL_CELL_LUNG_CANCER	KEGG_SMALL_CELL_LUNG_CANCER	Details ...	68	0.4839153	1.7139022	0.0	0.045736425	0.231	1665	tags=29%, list=16%, signal=35%	
KEGG_GAP_JUNCTION	KEGG_GAP_JUNCTION	Details ...	62	0.479666	1.6981596	0.0	0.047886994	0.28	3341	tags=52%, list=32%, signal=75%	
KEGG_APOPTOSIS	KEGG_APOPTOSIS	Details ...	56	0.49047345	1.6742543	0.0034722222	0.053802457	0.341	1743	tags=36%, list=16%, signal=43%	
KEGG_ENDOCYTOSIS	KEGG_ENDOCYTOSIS	Details ...	136	0.4198842	1.6654397	0.0	0.052000377	0.364	3376	tags=53%, list=32%, signal=77%	
KEGG_INSULIN_SIGNALING_PATHWAY	KEGG_INSULIN_SIGNALING_PATHWAY	Details ...	111	0.43264356	1.6593809	0.0	0.050084546	0.384	2551	tags=41%, list=24%, signal=53%	
