NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SMUG1	426	1.0991178750991821	0.047187533	Yes	
row_1	POLE	444	1.074562430381775	0.13111486	Yes	
row_2	PARP1	700	0.8826472759246826	0.17724909	Yes	
row_3	PARP4	723	0.8673582077026367	0.24420984	Yes	
row_4	POLE3	735	0.8613411784172058	0.3117323	Yes	
row_5	POLD1	743	0.8547273278236389	0.37910673	Yes	
row_6	APEX2	808	0.8256330490112305	0.43877262	Yes	
row_7	LIG3	929	0.7631431818008423	0.48816627	Yes	
row_8	PCNA	998	0.7348196506500244	0.54022497	Yes	
row_9	LIG1	1060	0.7121366262435913	0.5911403	Yes	
row_10	HMGB1	1758	0.48926442861557007	0.5641446	No	
row_11	POLD2	1898	0.46131449937820435	0.587715	No	
row_12	POLB	2451	0.35884982347488403	0.5640564	No	
row_13	NTHL1	2615	0.32805708050727844	0.5747489	No	
row_14	UNG	2930	0.2747054696083069	0.56690884	No	
row_15	FEN1	3429	0.2093462496995926	0.5364584	No	
row_16	PARP2	3591	0.19076921045780182	0.53641194	No	
row_17	POLD3	3633	0.1854523867368698	0.5472951	No	
row_18	MUTYH	3685	0.17954114079475403	0.5567617	No	
row_19	NEIL2	3718	0.17441163957118988	0.56761754	No	
row_20	NEIL3	3730	0.17216812074184418	0.5802815	No	
row_21	APEX1	3858	0.1589321345090866	0.5809174	No	
row_22	POLE2	4000	0.1421556919813156	0.5788934	No	
row_23	PARP3	4635	0.08373472094535828	0.52557766	No	
row_24	TDG	4724	0.07612843811511993	0.5233121	No	
row_25	NEIL1	4737	0.0751611590385437	0.5281597	No	
row_26	POLL	5268	0.028260959312319756	0.48026735	No	
row_27	MBD4	5363	0.019766217097640038	0.47294766	No	
row_28	MPG	5798	-0.015273874625563622	0.43310386	No	
row_29	XRCC1	5800	-0.015536805614829063	0.43424597	No	
row_30	OGG1	6038	-0.037777096033096313	0.4148311	No	
row_31	POLD4	7700	-0.2106492519378662	0.27445602	No	
