NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RFC5	127	1.6975417137145996	0.17643961	Yes	
row_1	POLD1	743	0.8547273278236389	0.21319892	Yes	
row_2	PCNA	998	0.7348196506500244	0.27076516	Yes	
row_3	LIG1	1060	0.7121366262435913	0.34405363	Yes	
row_4	MSH6	1411	0.591684877872467	0.37665775	Yes	
row_5	RFC3	1540	0.5523122549057007	0.42587218	Yes	
row_6	RPA1	1817	0.47753992676734924	0.45279887	Yes	
row_7	POLD2	1898	0.46131449937820435	0.4964482	Yes	
row_8	RPA2	2310	0.38594913482666016	0.50044876	Yes	
row_9	MLH3	2433	0.36111965775489807	0.5290062	Yes	
row_10	SSBP1	2500	0.3506203293800354	0.56169057	Yes	
row_11	RFC2	2789	0.2983221113681793	0.5675884	Yes	
row_12	RPA3	2881	0.28149744868278503	0.5902368	Yes	
row_13	RFC4	3487	0.2028806507587433	0.5555804	No	
row_14	POLD3	3633	0.1854523867368698	0.56246346	No	
row_15	MSH2	4238	0.12000066041946411	0.51870114	No	
row_16	RFC1	4333	0.11046693474054337	0.52208006	No	
row_17	MLH1	5946	-0.028344983235001564	0.37287807	No	
row_18	MSH3	6928	-0.12406115233898163	0.2939366	No	
row_19	POLD4	7700	-0.2106492519378662	0.2444541	No	
row_20	PMS2	8054	-0.2668439745903015	0.24071448	No	
