NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NDUFA8	64	2.0351755619049072	0.07264079	Yes	
row_1	ATP6V0C	175	1.5160428285598755	0.12083467	Yes	
row_2	NDUFS7	544	0.9804584383964539	0.123816185	Yes	
row_3	NDUFA2	546	0.9794752597808838	0.16160585	Yes	
row_4	ATP6V0E1	679	0.8914965391159058	0.18355437	Yes	
row_5	NDUFB3	791	0.834907054901123	0.20530799	Yes	
row_6	ATP5F1C	867	0.7965200543403625	0.22899503	Yes	
row_7	ATP5F1A	889	0.7843130826950073	0.25733715	Yes	
row_8	NDUFB2	1020	0.7259421348571777	0.27307215	Yes	
row_9	ATP6V1A	1170	0.6755053997039795	0.28505233	Yes	
row_10	ATP5MC3	1207	0.662308931350708	0.30725127	Yes	
row_11	NDUFA11	1309	0.6287580132484436	0.32198086	Yes	
row_12	NDUFB5	1519	0.5599642992019653	0.32379514	Yes	
row_13	ATP6V1B2	1602	0.5324957370758057	0.3366055	Yes	
row_14	ATP5MC1	1689	0.5081405639648438	0.348094	Yes	
row_15	NDUFA7	1691	0.5075371265411377	0.36762983	Yes	
row_16	ATP5PB	1748	0.49204808473587036	0.38134435	Yes	
row_17	ATP6V0A2	1779	0.4860481917858124	0.3972955	Yes	
row_18	NDUFB7	1911	0.4581488072872162	0.40257773	Yes	
row_19	ATP5PF	1948	0.44957396388053894	0.4165484	Yes	
row_20	ATP5ME	2012	0.43911442160606384	0.4275509	Yes	
row_21	ATP5F1E	2096	0.42476826906204224	0.43609956	Yes	
row_22	NDUFB9	2111	0.42237257957458496	0.45110703	Yes	
row_23	NDUFB1	2186	0.4093695282936096	0.4599146	Yes	
row_24	NDUFS4	2368	0.373474657535553	0.45717433	Yes	
row_25	ATP5PO	2417	0.3647478520870209	0.4667247	Yes	
row_26	ATP6V1H	2493	0.3517242670059204	0.47320768	Yes	
row_27	NDUFS8	2600	0.3304438591003418	0.4759242	Yes	
row_28	ATP6V0D1	2606	0.32949599623680115	0.48819384	Yes	
row_29	NDUFS5	2616	0.32799482345581055	0.50002563	Yes	
row_30	NDUFV1	2839	0.28746867179870605	0.4900659	Yes	
row_31	NDUFB10	2938	0.2727901041507721	0.49131203	Yes	
row_32	ATP5PD	3015	0.2591632008552551	0.49411997	Yes	
row_33	NDUFB4	3098	0.24821452796459198	0.49593472	Yes	
row_34	ATP5F1D	3150	0.2413337528705597	0.50042677	Yes	
row_35	NDUFB6	3152	0.2409149408340454	0.50965005	Yes	
row_36	ATP4B	3190	0.2367408275604248	0.5152937	Yes	
row_37	NDUFB8	3200	0.2354767769575119	0.52354705	Yes	
row_38	NDUFS2	3234	0.23083506524562836	0.5293421	Yes	
row_39	ATP6V1C1	3280	0.225603848695755	0.5337954	Yes	
row_40	SDHB	3366	0.21666306257247925	0.534105	Yes	
row_41	NDUFA6	3370	0.21599768102169037	0.5421746	Yes	
row_42	NDUFS3	3457	0.20639295876026154	0.541992	Yes	
row_43	ATP5MF	3495	0.20210440456867218	0.54629594	Yes	
row_44	NDUFA3	3529	0.19825932383537292	0.550831	Yes	
row_45	NDUFC1	3770	0.16748343408107758	0.53452134	No	
row_46	NDUFA10	3998	0.14234082400798798	0.5184735	No	
row_47	ATP5MG	4061	0.13654173910617828	0.5178679	No	
row_48	NDUFS6	4257	0.11769437789916992	0.5039052	No	
row_49	SDHD	4265	0.11714474856853485	0.5077715	No	
row_50	ATP5MC2	4684	0.07939454168081284	0.4711538	No	
row_51	ATP6V0A1	4723	0.07633915543556213	0.4704984	No	
row_52	ATP6V1C2	5035	0.048880741000175476	0.44286	No	
row_53	SDHA	5096	0.04347351938486099	0.43884456	No	
row_54	TCIRG1	5118	0.041077569127082825	0.43843946	No	
row_55	ATP6V1D	5187	0.03483228757977486	0.4333302	No	
row_56	ATP6V1E1	5221	0.03211228922009468	0.43143895	No	
row_57	ATP6V1F	5222	0.0318899005651474	0.4326724	No	
row_58	NDUFAB1	5911	-0.024982819333672523	0.36831397	No	
row_59	LHPP	6072	-0.0403408519923687	0.3546825	No	
row_60	NDUFV3	6412	-0.071339450776577	0.32525417	No	
row_61	PPA1	6668	-0.09792177379131317	0.30482972	No	
row_62	NDUFA4	6776	-0.1088636964559555	0.2988809	No	
row_63	NDUFS1	6852	-0.1175779402256012	0.29630747	No	
row_64	NDUFV2	6986	-0.12955085933208466	0.28869012	No	
row_65	NDUFA5	7057	-0.13696421682834625	0.28734127	No	
row_66	ATP6V0B	7486	-0.18568672239780426	0.2538853	No	
row_67	PPA2	7942	-0.2506254017353058	0.22037745	No	
row_68	ATP5F1B	8792	-0.4035875201225281	0.15537612	No	
row_69	ATP6AP1	8878	-0.4211915135383606	0.16359654	No	
