NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MBD4	618	1.3515242338180542	-0.0066237384	No	
row_1	PARP2	801	1.1541767120361328	0.020431215	No	
row_2	APEX2	977	1.006450891494751	0.04248175	No	
row_3	POLL	1653	0.6420069932937622	0.0032487544	No	
row_4	SMUG1	2407	0.42142900824546814	-0.05182485	No	
row_5	PARP4	3297	0.23289254307746887	-0.1269972	No	
row_6	APEX1	4707	0.0414888896048069	-0.2587075	No	
row_7	POLE2	5564	-0.04964897409081459	-0.3377869	No	
row_8	NTHL1	6039	-0.10178714990615845	-0.37872633	No	
row_9	NEIL1	6209	-0.12380759418010712	-0.38996577	No	
row_10	POLE3	6300	-0.13709120452404022	-0.3932217	No	
row_11	LIG1	6525	-0.16586805880069733	-0.40805116	No	
row_12	POLD3	6996	-0.23094063997268677	-0.4436579	No	
row_13	PCNA	7084	-0.24173828959465027	-0.4426158	No	
row_14	POLB	7695	-0.3457309901714325	-0.4870643	No	
row_15	POLE	8453	-0.504815399646759	-0.53931767	Yes	
row_16	POLD1	8551	-0.5310946702957153	-0.5281221	Yes	
row_17	UNG	8840	-0.6109157204627991	-0.53193474	Yes	
row_18	NEIL3	8979	-0.6626970171928406	-0.5195699	Yes	
row_19	POLD4	9123	-0.714005708694458	-0.50570995	Yes	
row_20	OGG1	9449	-0.870701789855957	-0.5030578	Yes	
row_21	LIG3	9491	-0.8899481296539307	-0.47279882	Yes	
row_22	MUTYH	9589	-0.9511492848396301	-0.44549024	Yes	
row_23	PARP3	9657	-0.9831644296646118	-0.41411537	Yes	
row_24	FEN1	9751	-1.051317572593689	-0.38258597	Yes	
row_25	PARP1	9785	-1.0714457035064697	-0.34460804	Yes	
row_26	MPG	9801	-1.0845657587051392	-0.30442387	Yes	
row_27	XRCC1	9993	-1.248888611793518	-0.2745873	Yes	
row_28	HMGB1	10117	-1.3865844011306763	-0.2330355	Yes	
row_29	POLD2	10261	-1.6132975816726685	-0.18467927	Yes	
row_30	NEIL2	10404	-1.9543671607971191	-0.12314522	Yes	
row_31	TDG	10576	-3.693706512451172	0.0023651752	Yes	
