NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MBD4	379	2.916168689727783	0.025109334	No	
row_1	PARP2	540	2.460596799850464	0.06141348	No	
row_2	POLL	1117	1.4836844205856323	0.037937593	No	
row_3	SMUG1	3104	0.37837645411491394	-0.14204231	No	
row_4	APEX2	3521	0.2765633761882782	-0.17561713	No	
row_5	PARP4	3839	0.20429186522960663	-0.20133674	No	
row_6	NEIL1	5069	0.007373499218374491	-0.31745505	No	
row_7	APEX1	5438	-0.04071405157446861	-0.3514194	No	
row_8	LIG3	7323	-0.3943389654159546	-0.52141565	No	
row_9	PCNA	7727	-0.5085591077804565	-0.54891044	No	
row_10	POLD4	7873	-0.5495723485946655	-0.5511391	No	
row_11	POLD3	8010	-0.5868757963180542	-0.5517365	Yes	
row_12	NTHL1	8026	-0.5928273797035217	-0.54076195	Yes	
row_13	POLE2	8213	-0.6546965837478638	-0.5446718	Yes	
row_14	LIG1	8355	-0.7093957662582397	-0.54318076	Yes	
row_15	POLE3	8368	-0.7147658467292786	-0.52937317	Yes	
row_16	PARP1	8482	-0.7614017128944397	-0.5241459	Yes	
row_17	NEIL3	8526	-0.778195858001709	-0.511945	Yes	
row_18	POLB	8589	-0.8048241138458252	-0.50098497	Yes	
row_19	POLE	8828	-0.9177860021591187	-0.5043143	Yes	
row_20	POLD1	9066	-1.0340657234191895	-0.505118	Yes	
row_21	UNG	9646	-1.4348409175872803	-0.5298988	Yes	
row_22	OGG1	9958	-1.8168593645095825	-0.5213384	Yes	
row_23	MUTYH	10048	-1.9670476913452148	-0.4886353	Yes	
row_24	MPG	10071	-2.0108304023742676	-0.44867817	Yes	
row_25	XRCC1	10140	-2.1346442699432373	-0.41048452	Yes	
row_26	PARP3	10185	-2.2241263389587402	-0.36814958	Yes	
row_27	FEN1	10374	-2.820528268814087	-0.32696968	Yes	
row_28	POLD2	10449	-3.2490038871765137	-0.26604682	Yes	
row_29	HMGB1	10475	-3.4244213104248047	-0.19682093	Yes	
row_30	NEIL2	10481	-3.4794845581054688	-0.12455174	Yes	
row_31	TDG	10590	-6.496206760406494	0.0010406064	Yes	
