NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPP1R3C	99	4.612785816192627	0.040176563	Yes	
row_1	PPP1R3D	117	4.427960395812988	0.08618144	Yes	
row_2	SOS2	235	3.60182785987854	0.1137688	Yes	
row_3	SOS1	251	3.526777744293213	0.15027156	Yes	
row_4	IRS2	257	3.482356309890747	0.18724976	Yes	
row_5	PPP1R3B	290	3.311662197113037	0.2198184	Yes	
row_6	IRS4	373	2.9353299140930176	0.24357337	Yes	
row_7	RHOQ	481	2.6137020587921143	0.26148605	Yes	
row_8	SOCS4	514	2.53293776512146	0.28567904	Yes	
row_9	PIK3CA	529	2.502312660217285	0.3112584	Yes	
row_10	PRKAA1	665	2.2168941497802734	0.32223424	Yes	
row_11	PPP1CB	764	2.0299630165100098	0.33472636	Yes	
row_12	PDE3B	781	1.9985469579696655	0.35469678	Yes	
row_13	CBL	848	1.8811488151550293	0.36863855	Yes	
row_14	GRB2	953	1.705032229423523	0.3770639	Yes	
row_15	NRAS	971	1.6819267272949219	0.3935336	Yes	
row_16	PIK3R2	973	1.678996205329895	0.41149685	Yes	
row_17	ELK1	984	1.6619410514831543	0.42841882	Yes	
row_18	CBLB	1068	1.5563151836395264	0.43724635	Yes	
row_19	PRKAG3	1092	1.51679527759552	0.451368	Yes	
row_20	MAPK9	1275	1.3228321075439453	0.44824764	Yes	
row_21	RAPGEF1	1319	1.2845646142959595	0.45796514	Yes	
row_22	RPTOR	1433	1.176575779914856	0.45984876	Yes	
row_23	PRKAA2	1482	1.133677363395691	0.46746677	Yes	
row_24	CRK	1575	1.07176673412323	0.47022483	Yes	
row_25	PIK3R1	1601	1.0552037954330444	0.47919118	Yes	
row_26	HRAS	1892	0.853057861328125	0.46072358	No	
row_27	BRAF	1986	0.7956593036651611	0.46041662	No	
row_28	FBP2	1992	0.7902431488037109	0.46843955	No	
row_29	PRKAG2	2411	0.6022378206253052	0.4350733	No	
row_30	IKBKB	2909	0.4301747679710388	0.39232615	No	
row_31	PPARGC1A	2975	0.41498899459838867	0.3905938	No	
row_32	KRAS	2992	0.410118967294693	0.39347976	No	
row_33	GSK3B	3016	0.40430301427841187	0.39563593	No	
row_34	EXOC7	3077	0.38481462001800537	0.39405563	No	
row_35	PHKG2	3083	0.38315027952194214	0.39770004	No	
row_36	IRS1	3137	0.3707755208015442	0.396636	No	
row_37	SOCS2	3142	0.36959078907966614	0.4002299	No	
row_38	PRKCZ	3178	0.36184707283973694	0.4007856	No	
row_39	SH2B2	3243	0.34419485926628113	0.39838713	No	
row_40	PHKA1	3258	0.34144675731658936	0.40072513	No	
row_41	PHKB	3428	0.297331303358078	0.38781404	No	
row_42	SHC4	3628	0.25069481134414673	0.37154177	No	
row_43	SOCS1	3643	0.24497395753860474	0.37284213	No	
row_44	SREBF1	3806	0.21050617098808289	0.35966444	No	
row_45	PDPK1	3811	0.20983722805976868	0.36154008	No	
row_46	SHC1	3812	0.20979927480220795	0.3637966	No	
row_47	AKT3	3858	0.20010387897491455	0.36165944	No	
row_48	MTOR	3958	0.18148045241832733	0.3541747	No	
row_49	MAPK1	3962	0.18073225021362305	0.35583264	No	
row_50	GYS1	4072	0.1591006964445114	0.347154	No	
row_51	PRKAR1A	4128	0.1496708244085312	0.3435212	No	
row_52	PKLR	4324	0.11860043555498123	0.32620946	No	
row_53	AKT2	4421	0.10462896525859833	0.3181841	No	
row_54	PCK2	4551	0.08274896442890167	0.30677786	No	
row_55	RPS6KB1	4693	0.06232285127043724	0.2940081	No	
row_56	FOXO1	4701	0.06084783375263214	0.29399532	No	
row_57	HK2	4702	0.06079239398241043	0.29464918	No	
row_58	MAP2K2	4817	0.044680725783109665	0.28426328	No	
row_59	EIF4E	4838	0.04220181331038475	0.2828108	No	
row_60	RPS6	4900	0.030550532042980194	0.2773249	No	
row_61	ARAF	4988	0.01778579317033291	0.26922336	No	
row_62	TSC1	5013	0.014488360844552517	0.2670915	No	
