NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERCC4	1002	1.6360167264938354	-0.047734365	No	
row_1	GTF2H5	1658	1.0082948207855225	-0.080698915	No	
row_2	XPA	1920	0.8357704281806946	-0.081338145	No	
row_3	ERCC6	2551	0.5462340116500854	-0.12524086	No	
row_4	CCNH	2805	0.45786604285240173	-0.13600416	No	
row_5	GTF2H1	3015	0.4044080078601837	-0.14414203	No	
row_6	XPC	3509	0.27907994389533997	-0.18276979	No	
row_7	DDB2	3841	0.20361389219760895	-0.20823683	No	
row_8	GTF2H3	4230	0.1337440013885498	-0.24111088	No	
row_9	RAD23B	4238	0.1312582790851593	-0.23799402	No	
row_10	RAD23A	4388	0.10865039378404617	-0.24896874	No	
row_11	ERCC2	5483	-0.0472482368350029	-0.35115772	No	
row_12	ERCC3	5499	-0.049705516546964645	-0.3511463	No	
row_13	RBX1	5863	-0.10129766166210175	-0.3825883	No	
row_14	CDK7	6304	-0.1723753958940506	-0.41927192	No	
row_15	RFC1	6513	-0.21103204786777496	-0.43288314	No	
row_16	DDB1	7650	-0.48869138956069946	-0.5263367	Yes	
row_17	PCNA	7727	-0.5085591077804565	-0.518887	Yes	
row_18	POLD4	7873	-0.5495723485946655	-0.5167873	Yes	
row_19	RPA1	7993	-0.5831938982009888	-0.51125854	Yes	
row_20	POLD3	8010	-0.5868757963180542	-0.49587458	Yes	
row_21	POLE2	8213	-0.6546965837478638	-0.49614313	Yes	
row_22	RFC2	8288	-0.6872494220733643	-0.4833589	Yes	
row_23	LIG1	8355	-0.7093957662582397	-0.46917975	Yes	
row_24	RFC5	8367	-0.7146430015563965	-0.44964367	Yes	
row_25	POLE3	8368	-0.7147658467292786	-0.42906284	Yes	
row_26	CUL4B	8623	-0.8236858248710632	-0.42938748	Yes	
row_27	POLE	8828	-0.9177860021591187	-0.42227	Yes	
row_28	POLD1	9066	-1.0340657234191895	-0.4149279	Yes	
row_29	RPA3	9373	-1.214794635772705	-0.40891296	Yes	
row_30	MNAT1	9737	-1.5404226779937744	-0.3989171	Yes	
row_31	RPA2	9985	-1.8624682426452637	-0.3686687	Yes	
row_32	RFC4	9996	-1.8736095428466797	-0.3156669	Yes	
row_33	ERCC8	10377	-2.8475253582000732	-0.26964375	Yes	
row_34	POLD2	10449	-3.2490038871765137	-0.18281297	Yes	
row_35	CETN2	10458	-3.304189920425415	-0.08843011	Yes	
row_36	RFC3	10487	-3.537943124771118	0.010790367	Yes	
