NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MBD4	520	2.0574951171875	0.0112733515	No	
row_1	PARP2	639	1.8241074085235596	0.05371967	No	
row_2	POLL	1353	1.0895029306411743	0.018284788	No	
row_3	SMUG1	3941	0.1686324179172516	-0.22150844	No	
row_4	LIG3	4050	0.14914007484912872	-0.22734286	No	
row_5	NEIL1	4136	0.13693152368068695	-0.23136011	No	
row_6	PARP4	4628	0.06950217485427856	-0.27576968	No	
row_7	POLD4	5777	-0.06875927746295929	-0.38235813	No	
row_8	PARP1	5937	-0.0904497429728508	-0.3947424	No	
row_9	APEX1	5985	-0.09696386009454727	-0.3963392	No	
row_10	NEIL3	7086	-0.27959534525871277	-0.49219012	No	
row_11	APEX2	7260	-0.312849760055542	-0.49936262	No	
row_12	PCNA	7461	-0.3562239408493042	-0.50781476	No	
row_13	POLD3	8008	-0.48219427466392517	-0.5452989	No	
row_14	POLE	8329	-0.5648232698440552	-0.55897325	No	
row_15	POLB	8553	-0.6287333965301514	-0.5615924	Yes	
row_16	POLD1	8714	-0.6894899606704712	-0.5564656	Yes	
row_17	NTHL1	8719	-0.6927027702331543	-0.53648573	Yes	
row_18	LIG1	8835	-0.7442531585693359	-0.5254922	Yes	
row_19	POLE2	9058	-0.8318326473236084	-0.5220477	Yes	
row_20	POLE3	9083	-0.8396578431129456	-0.499641	Yes	
row_21	UNG	9485	-1.0533376932144165	-0.50662124	Yes	
row_22	XRCC1	9676	-1.1911112070083618	-0.48959026	Yes	
row_23	MPG	9718	-1.2215893268585205	-0.457567	Yes	
row_24	OGG1	9727	-1.2271955013275146	-0.42225692	Yes	
row_25	MUTYH	9821	-1.3050254583358765	-0.3927011	Yes	
row_26	PARP3	10098	-1.603157639503479	-0.37169638	Yes	
row_27	NEIL2	10336	-2.0737955570220947	-0.3331701	Yes	
row_28	POLD2	10410	-2.303832769393921	-0.27236745	Yes	
row_29	FEN1	10417	-2.3277108669281006	-0.20452434	Yes	
row_30	HMGB1	10533	-3.1249077320098877	-0.12356405	Yes	
row_31	TDG	10590	-4.42000675201416	0.0010406595	Yes	
