NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SOS2	99	3.5777037143707275	0.036967356	Yes	
row_1	PPP1R3C	105	3.5383827686309814	0.082384765	Yes	
row_2	PPP1R3D	164	3.108031988143921	0.117168434	Yes	
row_3	SOS1	398	2.2796945571899414	0.12452732	Yes	
row_4	CBL	468	2.151815414428711	0.14586002	Yes	
row_5	ELK1	483	2.1221814155578613	0.17205094	Yes	
row_6	PIK3R1	519	2.0597336292266846	0.19543019	Yes	
row_7	RHOQ	572	1.951138973236084	0.21578048	Yes	
row_8	IRS4	679	1.760652780532837	0.22851284	Yes	
row_9	PIK3R2	759	1.6476904153823853	0.24235366	Yes	
row_10	NRAS	795	1.5917279720306396	0.25966272	Yes	
row_11	CBLB	805	1.5791329145431519	0.2792867	Yes	
row_12	IRS2	841	1.5376075506210327	0.29589382	Yes	
row_13	PRKAA1	866	1.5115951299667358	0.31321204	Yes	
row_14	SOCS4	903	1.4791866540908813	0.32896608	Yes	
row_15	PRKAG3	925	1.4536199569702148	0.34581828	Yes	
row_16	CRK	1038	1.3491886854171753	0.3526419	Yes	
row_17	RAPGEF1	1041	1.3468254804611206	0.36992005	Yes	
row_18	MAPK9	1116	1.2760347127914429	0.37941697	Yes	
row_19	PDE3B	1182	1.2261406183242798	0.38912463	Yes	
row_20	PHKA1	1252	1.1667124032974243	0.39768022	Yes	
row_21	PIK3CA	1256	1.162028193473816	0.41246617	Yes	
row_22	PPP1R3B	1319	1.1101878881454468	0.42095584	Yes	
row_23	GRB2	1342	1.095711588859558	0.43307054	Yes	
row_24	SH2B2	1359	1.0873680114746094	0.44564897	Yes	
row_25	PPP1CB	1402	1.0622750520706177	0.4554236	Yes	
row_26	SHC4	1546	0.97118079662323	0.4543894	Yes	
row_27	HRAS	1706	0.8787773847579956	0.4506316	Yes	
row_28	RPTOR	1760	0.8496541976928711	0.45659992	Yes	
row_29	PPARGC1A	1948	0.7407131195068359	0.44838244	Yes	
row_30	BRAF	2085	0.6772770285606384	0.44420344	Yes	
row_31	PRKAA2	2110	0.6655048727989197	0.4505476	Yes	
row_32	TRIP10	2145	0.6516859531402588	0.45575932	Yes	
row_33	PRKAR1A	2203	0.6233267784118652	0.45841083	Yes	
row_34	PRKAR2B	2237	0.6100835204124451	0.46317828	Yes	
row_35	EXOC7	2333	0.571506917476654	0.4615355	Yes	
