NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MLH3	1105	1.2862440347671509	-0.038365543	No	
row_1	MSH2	2265	0.5998255610466003	-0.11709193	No	
row_2	PMS2	3579	0.23932966589927673	-0.2288893	No	
row_3	MSH3	4818	0.04597998410463333	-0.34352976	No	
row_4	POLD4	5777	-0.06875927746295929	-0.43053764	No	
row_5	MLH1	5898	-0.08444002270698547	-0.4375415	No	
row_6	RFC1	6427	-0.16515189409255981	-0.47895938	No	
row_7	PCNA	7461	-0.3562239408493042	-0.55829006	No	
row_8	RFC2	7715	-0.4147951900959015	-0.5608952	No	
row_9	POLD3	8008	-0.48219427466392517	-0.5637243	No	
row_10	POLD1	8714	-0.6894899606704712	-0.59493804	Yes	
row_11	LIG1	8835	-0.7442531585693359	-0.5680511	Yes	
row_12	RPA1	8937	-0.7810935974121094	-0.53747624	Yes	
row_13	SSBP1	9115	-0.8577128648757935	-0.5101486	Yes	
row_14	MSH6	9441	-1.0207767486572266	-0.48843262	Yes	
row_15	RFC5	9566	-1.1076301336288452	-0.44325918	Yes	
row_16	RPA3	9796	-1.2833393812179565	-0.39898401	Yes	
row_17	RPA2	10038	-1.5295275449752808	-0.34319767	Yes	
row_18	RFC4	10157	-1.6956428289413452	-0.26725435	Yes	
row_19	POLD2	10410	-2.303832769393921	-0.17273603	Yes	
row_20	RFC3	10570	-3.712559223175049	0.0029297818	Yes	
