NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERCC4	375	2.344653606414795	0.04101087	No	
row_1	ERCC6	1463	1.0203607082366943	-0.02858192	No	
row_2	XPC	2880	0.39917927980422974	-0.14958425	No	
row_3	XPA	3534	0.24841605126857758	-0.20328636	No	
row_4	GTF2H1	3624	0.23055146634578705	-0.20418757	No	
row_5	RAD23A	4220	0.12389422208070755	-0.25646296	No	
row_6	RAD23B	5155	0.006047409493476152	-0.34467074	No	
row_7	GTF2H5	5185	0.0022236912045627832	-0.34734312	No	
row_8	ERCC3	5307	-0.013484034687280655	-0.35835603	No	
row_9	CCNH	5603	-0.04577530547976494	-0.3847848	No	
row_10	POLD4	5777	-0.06875927746295929	-0.398916	No	
row_11	ERCC2	5799	-0.0707598328590393	-0.39859483	No	
row_12	GTF2H3	5960	-0.09364965558052063	-0.41068342	No	
row_13	RFC1	6427	-0.16515189409255981	-0.44940245	No	
row_14	CUL4B	7353	-0.33272242546081543	-0.526099	No	
row_15	PCNA	7461	-0.3562239408493042	-0.52460337	No	
row_16	RFC2	7715	-0.4147951900959015	-0.5350157	No	
row_17	POLD3	8008	-0.48219427466392517	-0.54692024	No	
row_18	POLE	8329	-0.5648232698440552	-0.5587789	Yes	
row_19	RBX1	8342	-0.5683015584945679	-0.54137117	Yes	
row_20	DDB2	8343	-0.5689369440078735	-0.52280694	Yes	
row_21	CDK7	8406	-0.5859132409095764	-0.5095572	Yes	
row_22	DDB1	8445	-0.5977190136909485	-0.49365053	Yes	
row_23	MNAT1	8612	-0.6508288979530334	-0.48812643	Yes	
row_24	POLD1	8714	-0.6894899606704712	-0.4751884	Yes	
row_25	LIG1	8835	-0.7442531585693359	-0.4622619	Yes	
row_26	RPA1	8937	-0.7810935974121094	-0.44633487	Yes	
row_27	POLE2	9058	-0.8318326473236084	-0.43055066	Yes	
row_28	POLE3	9083	-0.8396578431129456	-0.40542448	Yes	
row_29	RFC5	9566	-1.1076301336288452	-0.41490516	Yes	
row_30	RPA3	9796	-1.2833393812179565	-0.39470547	Yes	
row_31	RPA2	10038	-1.5295275449752808	-0.36760855	Yes	
row_32	RFC4	10157	-1.6956428289413452	-0.32344913	Yes	
row_33	ERCC8	10347	-2.105260133743286	-0.2726443	Yes	
row_34	POLD2	10410	-2.303832769393921	-0.2033393	Yes	
row_35	CETN2	10527	-3.067411422729492	-0.11423011	Yes	
row_36	RFC3	10570	-3.712559223175049	0.0029343225	Yes	
