NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPA1	1773	0.840510904788971	-0.14046666	No	
row_1	ATP6V0C	2898	0.3933899402618408	-0.23414136	No	
row_2	ATP6V0B	3336	0.2913632094860077	-0.26597026	No	
row_3	ATP6V1C2	3376	0.2840237319469452	-0.26025295	No	
row_4	ATP6V1A	3822	0.1913445144891739	-0.2961588	No	
row_5	SDHA	3930	0.17073525488376617	-0.30065548	No	
row_6	NDUFA8	4379	0.10073652863502502	-0.33985135	No	
row_7	NDUFAB1	4384	0.10026222467422485	-0.33690572	No	
row_8	NDUFA4	4416	0.09632179886102676	-0.3366544	No	
row_9	NDUFB8	4527	0.08281780034303665	-0.34435192	No	
row_10	LHPP	4706	0.058908164501190186	-0.35929897	No	
row_11	ATP5F1A	4986	0.027515100315213203	-0.3848771	No	
row_12	TCIRG1	5153	0.006425855215638876	-0.40042543	No	
row_13	ATP6V0A1	5256	-0.00742711778730154	-0.40986386	No	
row_14	ATP6V1B2	5318	-0.01479385606944561	-0.41516507	No	
row_15	NDUFA3	5449	-0.028994889929890633	-0.42654672	No	
row_16	NDUFB2	5473	-0.03155292570590973	-0.427684	No	
row_17	NDUFB10	5893	-0.08380424976348877	-0.46468797	No	
row_18	ATP5F1D	5961	-0.09402764588594437	-0.4679309	No	
row_19	PPA2	6091	-0.11226584762334824	-0.47645575	No	
row_20	NDUFA2	6105	-0.11501838266849518	-0.47387522	No	
row_21	ATP5F1C	6211	-0.13160340487957	-0.47947994	No	
row_22	ATP5MG	6367	-0.15396647155284882	-0.48909032	No	
row_23	NDUFB3	6475	-0.17328934371471405	-0.49350232	Yes	
row_24	ATP6V1F	6476	-0.17342925071716309	-0.48775014	Yes	
row_25	ATP5PD	6486	-0.17504732310771942	-0.48279884	Yes	
row_26	ATP5MC3	6546	-0.18482652306556702	-0.48227063	Yes	
row_27	ATP6V0A2	6595	-0.1936495006084442	-0.48040536	Yes	
row_28	NDUFB6	6621	-0.19832897186279297	-0.47620103	Yes	
row_29	ATP5MC2	6701	-0.21135352551937103	-0.476692	Yes	
row_30	ATP6V1E1	6702	-0.21137921512126923	-0.4696811	Yes	
row_31	ATP5ME	6719	-0.21388481557369232	-0.46410632	Yes	
row_32	ATP5PB	6762	-0.21989093720912933	-0.46080098	Yes	
row_33	ATP5MF	6803	-0.2286740243434906	-0.45701444	Yes	
row_34	ATP5MC1	6826	-0.23142856359481812	-0.45142746	Yes	
row_35	ATP4B	7053	-0.27483031153678894	-0.4637705	Yes	
row_36	NDUFS3	7213	-0.3039904236793518	-0.46878484	Yes	
row_37	NDUFA6	7278	-0.31502822041511536	-0.46441293	Yes	
row_38	NDUFA10	7282	-0.3164694905281067	-0.45420137	Yes	
row_39	ATP5F1B	7373	-0.33840620517730713	-0.45152274	Yes	
row_40	NDUFS7	7463	-0.35692694783210754	-0.4481349	Yes	
row_41	NDUFA7	7536	-0.3719080686569214	-0.44263604	Yes	
row_42	NDUFB7	7613	-0.3894020915031433	-0.43693674	Yes	
row_43	NDUFS2	7625	-0.39189136028289795	-0.4249832	Yes	
row_44	NDUFS6	7691	-0.4070906341075897	-0.41765282	Yes	
row_45	ATP6V1D	7808	-0.4377214014530182	-0.41414884	Yes	
row_46	SDHB	7811	-0.4392358660697937	-0.3997705	Yes	
row_47	NDUFS5	7818	-0.44004473090171814	-0.3857451	Yes	
row_48	NDUFC1	7907	-0.4607011377811432	-0.37882042	Yes	
row_49	NDUFS4	8013	-0.48365312814712524	-0.37274858	Yes	
row_50	NDUFV1	8274	-0.5509111881256104	-0.37916306	Yes	
row_51	ATP5PF	8324	-0.5636230707168579	-0.3651217	Yes	
row_52	SDHD	8471	-0.6064074039459229	-0.35887134	Yes	
row_53	ATP6V1C1	8490	-0.6115887761116028	-0.3402957	Yes	
row_54	NDUFB9	8850	-0.7479506731033325	-0.34957483	Yes	
row_55	ATP6V0D1	8864	-0.7531559467315674	-0.32582906	Yes	
row_56	NDUFA5	8912	-0.7717386484146118	-0.3046952	Yes	
row_57	ATP5PO	8939	-0.7815485000610352	-0.28124204	Yes	
row_58	NDUFB1	9025	-0.8179529905319214	-0.26218343	Yes	
row_59	ATP5F1E	9140	-0.8681423664093018	-0.2442137	Yes	
row_60	NDUFV3	9193	-0.8963427543640137	-0.2194218	Yes	
row_61	ATP6V1H	9215	-0.9045893549919128	-0.191413	Yes	
row_62	ATP6AP1	9282	-0.9349527955055237	-0.1666698	Yes	
row_63	ATP6V0E1	9331	-0.9591115713119507	-0.13941623	Yes	
row_64	NDUFS1	9435	-1.0164928436279297	-0.11548168	Yes	
row_65	NDUFV2	9503	-1.0631940364837646	-0.08658003	Yes	
row_66	NDUFB5	9655	-1.176621913909912	-0.061891973	Yes	
row_67	NDUFA11	9656	-1.177150845527649	-0.022849116	Yes	
row_68	NDUFS8	9689	-1.2023969888687134	0.013992726	Yes	
row_69	NDUFB4	10376	-2.1860544681549072	0.021363312	Yes	
