NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PCK1	2070	0.3940528333187103	-0.15548518	No	
row_1	MDH1	2269	0.35830163955688477	-0.13760172	No	
row_2	SUCLG1	2919	0.2536218762397766	-0.1730609	No	
row_3	DLD	3343	0.194667249917984	-0.19317219	No	
row_4	DLST	3705	0.15652431547641754	-0.21131757	No	
row_5	PCK2	3910	0.1304996758699417	-0.21727549	No	
row_6	IDH1	4052	0.1174219399690628	-0.21861207	No	
row_7	OGDH	5727	-0.02325497195124626	-0.37453404	No	
row_8	SUCLG2	5844	-0.03388311713933945	-0.38204154	No	
row_9	PDHA1	6476	-0.08726558834314346	-0.43279484	No	
row_10	IDH2	6610	-0.09910771995782852	-0.43524608	No	
row_11	ACO1	6865	-0.12448368221521378	-0.44654676	No	
row_12	ACLY	7216	-0.1554105132818222	-0.46376574	No	
row_13	DLAT	7476	-0.1862340122461319	-0.46923035	No	
row_14	SDHA	7653	-0.20888851583003998	-0.46453172	No	
row_15	SDHD	7927	-0.24508967995643616	-0.46530706	No	
row_16	FH	8353	-0.30362021923065186	-0.47447598	Yes	
row_17	IDH3G	8522	-0.33299338817596436	-0.45634133	Yes	
row_18	SDHB	9068	-0.43845969438552856	-0.46308154	Yes	
row_19	PDHB	9461	-0.5551111102104187	-0.44343564	Yes	
row_20	OGDHL	9549	-0.5823808312416077	-0.39216205	Yes	
row_21	MDH2	9602	-0.6025012135505676	-0.3355231	Yes	
row_22	PC	9652	-0.6201621294021606	-0.2767961	Yes	
row_23	SUCLA2	10039	-0.8050698041915894	-0.23104513	Yes	
row_24	CS	10110	-0.8470430970191956	-0.15112403	Yes	
row_25	IDH3B	10214	-0.9293354749679565	-0.06591587	Yes	
row_26	ACO2	10299	-1.0024408102035522	0.028557986	Yes	
