NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ACADSB	1231	0.6024302244186401	-0.0669387	No	
row_1	ALDH2	1435	0.5391570329666138	-0.041854575	No	
row_2	ALDH3A2	1491	0.524040699005127	-0.004015389	No	
row_3	ACSL4	1975	0.41352537274360657	-0.015729714	No	
row_4	ACOX3	2813	0.26746314764022827	-0.072918795	No	
row_5	CPT2	3069	0.2310914546251297	-0.078054495	No	
row_6	ACOX1	4321	0.09192534536123276	-0.18881352	No	
row_7	ECHS1	4613	0.0654844269156456	-0.21095547	No	
row_8	CPT1B	4656	0.06227792054414749	-0.20981246	No	
row_9	ACSL6	4964	0.0345001183450222	-0.23601237	No	
row_10	ECI1	5453	-0.004632039461284876	-0.28178287	No	
row_11	GCDH	6128	-0.05969100072979927	-0.34062156	No	
row_12	HADH	6513	-0.09043901413679123	-0.3695091	No	
row_13	ACADVL	7453	-0.18371787667274475	-0.44322264	No	
row_14	ACADL	7645	-0.20813052356243134	-0.4441916	No	
row_15	CPT1A	7850	-0.23346705734729767	-0.44430906	No	
row_16	ACAA1	8363	-0.3055106997489929	-0.46763742	Yes	
row_17	ACADS	8451	-0.3195962607860565	-0.44961601	Yes	
row_18	ACAT1	8547	-0.33736899495124817	-0.43089145	Yes	
row_19	ACAA2	8602	-0.3487261235713959	-0.40735668	Yes	
row_20	ACSL3	8885	-0.39891380071640015	-0.4012622	Yes	
row_21	ALDH9A1	9572	-0.5925918817520142	-0.41746742	Yes	
row_22	EHHADH	9815	-0.6846920251846313	-0.38411847	Yes	
row_23	ACSL1	10057	-0.8165513873100281	-0.33984506	Yes	
row_24	ALDH7A1	10092	-0.8386260867118835	-0.2741823	Yes	
row_25	HADHA	10432	-1.2057676315307617	-0.20720969	Yes	
row_26	ACADM	10478	-1.314159631729126	-0.10353058	Yes	
row_27	HADHB	10505	-1.4010133743286133	0.009078886	Yes	
