NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	POLD4	2176	0.37469416856765747	-0.14864106	No	
row_1	MLH3	2620	0.2991383671760559	-0.14499396	No	
row_2	PMS2	4017	0.12072703242301941	-0.25855967	No	
row_3	RFC2	5400	-4.457809845916927E-4	-0.38910332	No	
row_4	POLD1	5832	-0.032945845276117325	-0.4248239	No	
row_5	RFC1	5872	-0.036054033786058426	-0.42302406	No	
row_6	PCNA	5883	-0.037235405296087265	-0.4183037	No	
row_7	POLD3	6789	-0.11646635830402374	-0.48611376	No	
row_8	MSH6	6921	-0.13084667921066284	-0.4785858	No	
row_9	POLD2	7409	-0.17810672521591187	-0.49751234	No	
row_10	MLH1	7932	-0.2455362230539322	-0.50948715	Yes	
row_11	LIG1	8147	-0.273300439119339	-0.48812878	Yes	
row_12	RPA2	8308	-0.2984212040901184	-0.45784476	Yes	
row_13	SSBP1	8381	-0.30897170305252075	-0.41763863	Yes	
row_14	MSH2	8652	-0.35767224431037903	-0.3887354	Yes	
row_15	RPA1	8990	-0.4230228066444397	-0.35622105	Yes	
row_16	RFC4	9107	-0.44737815856933594	-0.29911447	Yes	
row_17	RPA3	9286	-0.4983595609664917	-0.24011052	Yes	
row_18	RFC5	9433	-0.5464015007019043	-0.17077258	Yes	
row_19	MSH3	10119	-0.8515167236328125	-0.10595101	Yes	
row_20	RFC3	10287	-0.9951197504997253	0.029675769	Yes	
