NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ERCC4	274	1.1565899848937988	0.05689513	No	
row_1	ERCC6	840	0.743048369884491	0.056630474	No	
row_2	POLD4	2176	0.37469416856765747	-0.042896226	No	
row_3	XPC	2977	0.24475573003292084	-0.101089634	No	
row_4	MNAT1	3256	0.20676705241203308	-0.1125952	No	
row_5	CUL4B	3337	0.1954745203256607	-0.10616836	No	
row_6	RAD23A	4590	0.06718077510595322	-0.21986167	No	
row_7	POLE	4933	0.036997854709625244	-0.24958308	No	
row_8	ERCC3	5035	0.028635039925575256	-0.25709224	No	
row_9	RFC2	5400	-4.457809845916927E-4	-0.2915137	No	
row_10	GTF2H1	5648	-0.01736782118678093	-0.31364897	No	
row_11	POLD1	5832	-0.032945845276117325	-0.3286109	No	
row_12	RFC1	5872	-0.036054033786058426	-0.3297203	No	
row_13	PCNA	5883	-0.037235405296087265	-0.3280002	No	
row_14	ERCC2	6055	-0.05353774130344391	-0.34035155	No	
row_15	RAD23B	6733	-0.11194276064634323	-0.39641422	No	
row_16	POLD3	6789	-0.11646635830402374	-0.39327928	No	
row_17	POLD2	7409	-0.17810672521591187	-0.43911377	No	
row_18	LIG1	8147	-0.273300439119339	-0.48929983	Yes	
row_19	XPA	8194	-0.2816140651702881	-0.4734859	Yes	
row_20	DDB1	8198	-0.28238609433174133	-0.4535466	Yes	
row_21	ERCC8	8302	-0.29743340611457825	-0.44199494	Yes	
row_22	RPA2	8308	-0.2984212040901184	-0.4210966	Yes	
row_23	GTF2H3	8317	-0.2995493710041046	-0.40040144	Yes	
row_24	POLE3	8624	-0.3522813618183136	-0.40413618	Yes	
row_25	RPA1	8990	-0.4230228066444397	-0.4083892	Yes	
row_26	CETN2	9039	-0.43297064304351807	-0.38192508	Yes	
row_27	RFC4	9107	-0.44737815856933594	-0.35622755	Yes	
row_28	POLE2	9147	-0.45638975501060486	-0.3272344	Yes	
row_29	RPA3	9286	-0.4983595609664917	-0.30460608	Yes	
row_30	RFC5	9433	-0.5464015007019043	-0.27929446	Yes	
row_31	CCNH	9555	-0.5847748517990112	-0.2488684	Yes	
row_32	CDK7	9682	-0.6302664279937744	-0.2156577	Yes	
row_33	RBX1	9857	-0.703974187374115	-0.18171169	Yes	
row_34	RFC3	10287	-0.9951197504997253	-0.15105142	Yes	
row_35	GTF2H5	10406	-1.1595505475997925	-0.079178534	Yes	
row_36	DDB2	10492	-1.3620110750198364	0.010317196	Yes	
