NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V0C	912	0.7161747217178345	-0.06808316	No	
row_1	PPA1	1043	0.6600385308265686	-0.0633673	No	
row_2	TCIRG1	2459	0.3243669867515564	-0.18933624	No	
row_3	ATP6V1F	2517	0.3153856694698334	-0.18659693	No	
row_4	ATP6V0A2	2564	0.30683064460754395	-0.1830343	No	
row_5	ATP6V0D1	4014	0.12113545835018158	-0.31748417	No	
row_6	ATP6V1B2	4061	0.11654607206583023	-0.3188396	No	
row_7	PPA2	4538	0.07187242805957794	-0.36217758	No	
row_8	ATP6V1A	5399	-3.802125283982605E-4	-0.44382367	No	
row_9	ATP6AP1	5418	-0.0018237006152048707	-0.44548562	No	
row_10	NDUFA8	5527	-0.009285860694944859	-0.45550007	No	
row_11	ATP6V0B	5592	-0.014053952880203724	-0.46121356	No	
row_12	ATP6V0A1	5977	-0.04568102955818176	-0.49649322	No	
row_13	NDUFA7	6774	-0.11534345149993896	-0.56909126	No	
row_14	LHPP	6952	-0.13266809284687042	-0.5824683	No	
row_15	ATP5F1A	6961	-0.13373468816280365	-0.5797714	No	
row_16	NDUFB10	6994	-0.13691069185733795	-0.5792712	No	
row_17	ATP6V1E1	7124	-0.14767488837242126	-0.5877028	No	
row_18	ATP6V0E1	7326	-0.1689777970314026	-0.60242015	No	
row_19	ATP5F1D	7623	-0.20493686199188232	-0.6252282	No	
row_20	SDHA	7653	-0.20888851583003998	-0.62258285	No	
row_21	NDUFA4	7730	-0.21836648881435394	-0.6241551	No	
row_22	NDUFS5	7899	-0.24194283783435822	-0.6338533	No	
row_23	NDUFB2	7900	-0.24195052683353424	-0.6275999	No	
row_24	SDHD	7927	-0.24508967995643616	-0.62373406	No	
row_25	ATP5F1C	8193	-0.28158101439476013	-0.6416178	No	
row_26	NDUFS7	8297	-0.29688936471939087	-0.64372414	No	
row_27	ATP6V1H	8476	-0.3238951563835144	-0.65225375	No	
row_28	NDUFA3	8585	-0.34501340985298157	-0.65359104	Yes	
row_29	ATP5MG	8596	-0.3478446900844574	-0.64555025	Yes	
row_30	ATP5MC3	8667	-0.3608841300010681	-0.6428693	Yes	
row_31	NDUFAB1	8768	-0.37604716420173645	-0.64264494	Yes	
row_32	ATP5MC2	8840	-0.38656753301620483	-0.6393952	Yes	
row_33	NDUFA2	9065	-0.437823086977005	-0.64934784	Yes	
row_34	SDHB	9068	-0.43845969438552856	-0.6382054	Yes	
row_35	ATP5F1B	9092	-0.44296136498451233	-0.6289406	Yes	
row_36	NDUFV1	9332	-0.5126784443855286	-0.63838273	Yes	
row_37	NDUFB7	9353	-0.5163681507110596	-0.6269358	Yes	
row_38	ATP6V1C1	9391	-0.5289539098739624	-0.61677766	Yes	
row_39	ATP5PD	9443	-0.5497041940689087	-0.6074125	Yes	
row_40	NDUFS2	9517	-0.5719752907752991	-0.5995607	Yes	
row_41	ATP5MF	9542	-0.5803077816963196	-0.5868409	Yes	
row_42	ATP5ME	9632	-0.6149259209632874	-0.57939816	Yes	
row_43	ATP5MC1	9691	-0.6332482099533081	-0.56853837	Yes	
row_44	NDUFS1	9782	-0.6711061000823975	-0.5597385	Yes	
row_45	ATP4B	9796	-0.677584707736969	-0.5434602	Yes	
row_46	NDUFA10	9807	-0.6802858710289001	-0.52682716	Yes	
row_47	ATP5PF	9826	-0.6875107288360596	-0.510767	Yes	
row_48	NDUFA6	9827	-0.6887109875679016	-0.49296674	Yes	
row_49	NDUFB9	9846	-0.6974850296974182	-0.47664878	Yes	
row_50	NDUFS4	9901	-0.7255169749259949	-0.4630245	Yes	
row_51	NDUFS8	10058	-0.8167562484741211	-0.4567268	Yes	
row_52	NDUFV2	10100	-0.8418843150138855	-0.43886057	Yes	
row_53	NDUFB8	10118	-0.850768506526947	-0.41848594	Yes	
row_54	NDUFS3	10127	-0.8602189421653748	-0.3970125	Yes	
row_55	ATP5PO	10132	-0.8627976775169373	-0.37509263	Yes	
row_56	NDUFB6	10179	-0.8990934491157532	-0.35622254	Yes	
row_57	NDUFC1	10230	-0.9422527551651001	-0.33661672	Yes	
row_58	NDUFB5	10269	-0.9814684987068176	-0.314858	Yes	
row_59	NDUFB4	10323	-1.0390625	-0.2930349	Yes	
row_60	ATP6V1C2	10352	-1.080024242401123	-0.2677794	Yes	
row_61	NDUFB3	10364	-1.096055269241333	-0.24049547	Yes	
row_62	ATP5PB	10372	-1.1081814765930176	-0.21251832	Yes	
row_63	ATP5F1E	10386	-1.1313139200210571	-0.18451299	Yes	
row_64	NDUFA11	10397	-1.1473896503448486	-0.15580732	Yes	
row_65	NDUFS6	10443	-1.2318800687789917	-0.12824114	Yes	
row_66	NDUFA5	10453	-1.2502076625823975	-0.09678312	Yes	
row_67	NDUFV3	10475	-1.3076292276382446	-0.064980365	Yes	
row_68	ATP6V1D	10516	-1.4522969722747803	-0.031242594	Yes	
row_69	NDUFB1	10534	-1.5173903703689575	0.0063613825	Yes	
