Gene	C_L_HS37	C_L_HS38	H_L_HS46	C_M_HS61	C_M_HS62	H_L_HS64	H_L_HS65	H_M_HS66	H_M_HS67	C_M_HS87	C_L_HS90	H_M_HS93
LOC116515328	141	73	57	65	22	109	48	48	43	51	52	93
SRD5A2	416	222	106	153	83	141	137	136	73	43	100	97
SGCD	0	0	0	0	0	0	0	3	0	0	2	0
LOC116520366	0	0	0	0	0	0	0	0	0	0	0	0
SRD5A1	85	16	25	42	13	42	12	20	5	8	16	12
DRAP1	3136	285	237	196	226	461	441	201	405	294	178	208
LOC116510196	0	0	0	0	0	0	0	0	0	0	0	0
LOC116510667	795	32	41	46	36	41	38	24	18	22	33	28
LOC116510194	0	0	0	0	0	0	0	0	0	0	0	0
CHN2	3	0	0	0	0	0	0	0	0	0	0	0
LOC116510192	238	72	87	57	29	96	29	76	10	48	58	44
LOC116510191	0	0	0	0	0	0	0	0	0	0	0	0
CHN1	58	21	34	31	17	43	20	40	3	8	11	46
LOC116510237	1935	677	604	603	194	690	653	314	662	260	509	534
LOC116504158	5	0	14	0	0	4	13	7	3	0	3	0
ADRA1A	483	227	220	97	39	184	195	287	55	69	129	188
LOC116517964	0	0	0	0	0	0	0	0	2	0	0	0
HAPLN3	33	2	11	3	0	4	5	2	0	0	17	3
NCKIPSD	186	50	87	40	19	81	59	56	77	49	88	83
LOC116504152	554	150	183	595	51	351	216	557	74	221	342	155
XXYLT1	528	38	51	29	29	44	50	17	54	15	20	13
LOC116504150	111266	41746	26841	36987	17305	47835	31938	46581	19348	27243	36736	34977
LOC116504151	41128	23973	19217	12722	8456	26563	18500	12812	8144	10118	14783	15025
COMMD4	245	70	59	79	31	146	131	89	50	151	59	54
LOC116504157	7	0	0	0	0	0	0	0	0	0	0	0
CTSC	4562	1742	980	809	278	1138	604	748	861	494	562	684
LOC116504155	313	73	0	58	0	0	0	0	0	0	51	0
RALB	501	207	285	165	95	333	129	161	36	90	165	144
BHMG1	0	0	0	5	0	0	0	4	0	0	4	5
LOC116510199	0	0	0	0	0	0	0	0	0	0	0	0
CCNE2	3	0	0	0	0	0	0	0	0	0	2	0
FAM189A2	129	49	39	24	2	50	46	37	26	5	24	20
TTC7A	107	33	68	36	9	82	29	36	41	0	40	65
TTC7B	364	135	96	68	21	107	94	67	91	19	37	105
LOC116510198	0	0	0	0	0	0	0	0	0	0	0	0
SUPV3L1	207	87	125	72	26	88	76	60	64	23	89	95
LOC116515015	0	0	0	0	0	0	0	0	0	0	0	0
LOC116510665	4	0	11	0	2	1	1	1	0	1	1	1
LOC116515017	0	0	0	0	0	0	0	0	0	0	0	0
LOC116515016	0	0	0	0	0	3	0	0	0	3	0	0
LOC116515011	251	88	52	52	20	95	35	59	8	33	83	33
LOC116515010	230	112	91	80	34	97	53	85	0	9	81	73
LOC116521835	0	0	0	0	0	0	0	0	0	0	0	0
LOC116521543	0	0	0	0	0	0	0	0	0	0	0	0
CRYZL1	62	20	37	34	7	26	16	26	2	2	20	16
LOC116508815	19	4	7	5	2	10	6	10	0	0	5	2
RALY	0	0	0	0	0	0	0	0	0	0	0	0
LOC116508813	0	375	0	8	0	0	14	391	13	0	134	273
LOC116510195	0	0	0	0	0	0	0	0	0	0	0	0
LOC116508810	20092	7733	9828	7341	3257	8279	4265	7312	4678	4116	7550	9966
ING1	135	34	40	43	15	53	30	32	23	0	25	24
ING3	421	171	76	125	52	119	88	53	55	7	121	55
