Gene,HumanGeneSymbol,Category_0,Category_I,Category_2
DNAJA1,DNAJA1,Macromolecule_Damage_Repair,DNA_repair,
DNAJA3,DNAJA3,Macromolecule_Damage_Repair,DNA_repair,
DNAJC22,DNAJC22,Macromolecule_Damage_Repair,DNA_repair,
RAD51,RAD51,Macromolecule_Damage_Repair,DNA_repair,
RAD51B,RAD51B,Macromolecule_Damage_Repair,DNA_repair,
RAD51C,RAD51C,Macromolecule_Damage_Repair,DNA_repair,
RAD54B,RAD54B,Macromolecule_Damage_Repair,DNA_repair,
TERT,TERT,Macromolecule_Damage_Repair,DNA_repair,
XRCC2,XRCC2,Macromolecule_Damage_Repair,DNA_repair,
XRCC3,XRCC3,Macromolecule_Damage_Repair,DNA_repair,
AIFM1,AIFM1,Macromolecule_Damage_Repair,oxidative_stress,
AIFM2,AIFM2,Macromolecule_Damage_Repair,oxidative_stress,
ALPK1,ALPK1,Macromolecule_Damage_Repair,oxidative_stress,
ATF2,ATF2,Macromolecule_Damage_Repair,oxidative_stress,
GDAP1,GDAP1,Macromolecule_Damage_Repair,oxidative_stress,
HAGHL,HAGHL,Macromolecule_Damage_Repair,oxidative_stress,
JUN,JUN,Macromolecule_Damage_Repair,oxidative_stress,
LOC116505938,PLA2G4E,Macromolecule_Damage_Repair,oxidative_stress,
LOC116514334,GSTO1,Macromolecule_Damage_Repair,oxidative_stress,
LOC116516566,GSTT1,Macromolecule_Damage_Repair,oxidative_stress,
LOC116517285,HAGH,Macromolecule_Damage_Repair,oxidative_stress,
LOC116522295,MAP3K3,Macromolecule_Damage_Repair,oxidative_stress,
MAPK11,MAPK11,Macromolecule_Damage_Repair,oxidative_stress,
MAPK13,MAPK13,Macromolecule_Damage_Repair,oxidative_stress,
MAPK8,MAPK8,Macromolecule_Damage_Repair,oxidative_stress,
MAPK9,MAPK9,Macromolecule_Damage_Repair,oxidative_stress,
MAPKAPK5,MAPKAPK5,Macromolecule_Damage_Repair,oxidative_stress,
MAX,MAX,Macromolecule_Damage_Repair,oxidative_stress,
MKNK1,MKNK1,Macromolecule_Damage_Repair,oxidative_stress,
MKNK2,MKNK2,Macromolecule_Damage_Repair,oxidative_stress,
MYC,MYC,Macromolecule_Damage_Repair,oxidative_stress,
PLA2G4A,PLA2G4A,Macromolecule_Damage_Repair,oxidative_stress,
PXMP2,PXMP2,Macromolecule_Damage_Repair,oxidative_stress,
PYROXD1,PYROXD1,Macromolecule_Damage_Repair,oxidative_stress,
PYROXD2,PYROXD2,Macromolecule_Damage_Repair,oxidative_stress,
SOD2,SOD2,Macromolecule_Damage_Repair,oxidative_stress,
CCS,CCS,Macromolecule_Damage_Repair,oxidative_stress,
GPX1,GPX1,Macromolecule_Damage_Repair,oxidative_stress,
GPX3,GPX3,Macromolecule_Damage_Repair,oxidative_stress,
GPX4,GPX4,Macromolecule_Damage_Repair,oxidative_stress,
GPX7,GPX7,Macromolecule_Damage_Repair,oxidative_stress,
GPX8,GPX8,Macromolecule_Damage_Repair,oxidative_stress,
GSTA1,GSTA1,Macromolecule_Damage_Repair,oxidative_stress,
GSTP1,GSTP1,Macromolecule_Damage_Repair,oxidative_stress,
LOC116507099,GSTA4,Macromolecule_Damage_Repair,oxidative_stress,
LOC116507918,GSTA4,Macromolecule_Damage_Repair,oxidative_stress,
LOC116508979,GSTM1,Macromolecule_Damage_Repair,oxidative_stress,
LOC116514261,CAT,Macromolecule_Damage_Repair,oxidative_stress,
LOC116520753,PON2,Macromolecule_Damage_Repair,oxidative_stress,
MPO,MPO,Macromolecule_Damage_Repair,oxidative_stress,
PRDX1,PRDX1,Macromolecule_Damage_Repair,oxidative_stress,
PRDX2,PRDX2,Macromolecule_Damage_Repair,oxidative_stress,
PRDX3,PRDX3,Macromolecule_Damage_Repair,oxidative_stress,
PRDX4,PRDX4,Macromolecule_Damage_Repair,oxidative_stress,
PRDX5,PRDX5,Macromolecule_Damage_Repair,oxidative_stress,
PRDX6,PRDX6,Macromolecule_Damage_Repair,oxidative_stress,
PXDN,PXDN,Macromolecule_Damage_Repair,oxidative_stress,
SOD1,SOD1,Macromolecule_Damage_Repair,oxidative_stress,
CASP3,CASP3,Macromolecule_Damage_Repair,p53,
CASP9,CASP9,Macromolecule_Damage_Repair,p53,
CDK1,CDK1,Macromolecule_Damage_Repair,p53,
CDKN1A,CDKN1A,Macromolecule_Damage_Repair,p53,
CHEK2,CHEK2,Macromolecule_Damage_Repair,p53,
DDB2,DDB2,Macromolecule_Damage_Repair,p53,
E2F6,E2F6,Macromolecule_Damage_Repair,p53,
GABARAPL1,GABARAPL1,Macromolecule_Damage_Repair,p53,
GADD45A,GADD45A,Macromolecule_Damage_Repair,p53,
HDAC3,HDAC3,Macromolecule_Damage_Repair,p53,
LOC116507565,PERP,Macromolecule_Damage_Repair,p53,
LOC116523000,BAX,Macromolecule_Damage_Repair,p53,
LOC116523426,TP53,Macromolecule_Damage_Repair,p53,
MDM2,MDM2,Macromolecule_Damage_Repair,p53,
MTA2,MTA2,Macromolecule_Damage_Repair,p53,
PPM1D,PPM1D,Macromolecule_Damage_Repair,p53,
RRM2B,RRM2B,Macromolecule_Damage_Repair,p53,
TPM1,TPM1,Macromolecule_Damage_Repair,p53,
WIPI2,WIPI2,Macromolecule_Damage_Repair,p53,
WRN,WRN,Macromolecule_Damage_Repair,p53,
CHEK1,CHEK1,Macromolecule_Damage_Repair,P53,
GADD45B,GADD45B,Macromolecule_Damage_Repair,,
GADD45G,GADD45G,Macromolecule_Damage_Repair,,
MSRA,MSRA,Macromolecule_Damage_Repair,,
MSRB3,MSRB3,Macromolecule_Damage_Repair,,
AACS,AACS,Metabolic_function,Metabolism,Lipid_Metabolism
DECR1,DECR1,Metabolic_function,Metabolism,Lipid_Metabolism
LEPR,LEPR,Metabolic_function,Metabolism,Lipid_Metabolism
LOC116502538,CYP4F22,Metabolic_function,Metabolism,Lipid_Metabolism
LOC116507994,CYB5R4,Metabolic_function,Metabolism,Lipid_Metabolism
LOC116509327,CYP4B1,Metabolic_function,Metabolism,Lipid_Metabolism
LOC116513013,CYB5R2,Metabolic_function,Metabolism,Lipid_Metabolism
LOC116515748,CYP2G1,Metabolic_function,Metabolism,Lipid_Metabolism
LOC116515749,CYP2A13,Metabolic_function,Metabolism,Lipid_Metabolism
LOC116517450,CYP2W1,Metabolic_function,Metabolism,Lipid_Metabolism
LOC116519097,CYP1A1,Metabolic_function,Metabolism,Lipid_Metabolism
LOC116505343,FADS1,Metabolic_function,Metabolism,Lipid_Metabolism
LOC116509867,NDUFC2,Metabolic_function,oxidative_phosporylation,ETC complex i
LOC116511712,NDUFA9,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFA10,NDUFA10,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFA11,NDUFA11,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFA13,NDUFA13,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFA2,NDUFA2,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFA3,NDUFA3,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFA4,NDUFA4,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFA5,NDUFA5,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFA7,NDUFA7,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFAF1,NDUFAF1,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFB1,NDUFB1,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFB10,NDUFB10,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFB11,NDUFB11,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFB2,NDUFB2,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFB3,NDUFB3,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFB4,NDUFB4,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFB5,NDUFB5,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFB6,NDUFB6,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFB7,NDUFB7,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFB9,NDUFB9,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFS1,NDUFS1,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFS2,NDUFS2,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFS3,NDUFS3,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFS4,NDUFS4,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFS5,NDUFS5,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFS6,NDUFS6,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFS8,NDUFS8,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFV1,NDUFV1,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFV2,NDUFV2,Metabolic_function,oxidative_phosporylation,ETC complex i
NDUFV3,NDUFV3,Metabolic_function,oxidative_phosporylation,ETC complex i
LOC116523446,SDHC,Metabolic_function,oxidative_phosporylation,ETC complex ii
SDHA,SDHA,Metabolic_function,oxidative_phosporylation,ETC complex ii
SDHB,SDHB,Metabolic_function,oxidative_phosporylation,ETC complex ii
SDHD,SDHD,Metabolic_function,oxidative_phosporylation,ETC complex ii
LOC116503820,UQCRC1,Metabolic_function,oxidative_phosporylation,ETC complex iii
LOC116509003,UQCRH,Metabolic_function,oxidative_phosporylation,ETC complex iii
LOC116512557,UQCRB,Metabolic_function,oxidative_phosporylation,ETC complex iii
LOC116512786,CYC1,Metabolic_function,oxidative_phosporylation,ETC complex iii
LOC116516714,UQCR10,Metabolic_function,oxidative_phosporylation,ETC complex iii
LOC116517709,UQCRC2,Metabolic_function,oxidative_phosporylation,ETC complex iii
LOC116518020,UQCRFS1,Metabolic_function,oxidative_phosporylation,ETC complex iii
LOC116520028,UQCRQ,Metabolic_function,oxidative_phosporylation,ETC complex iii
LOC116503018,COX11,Metabolic_function,oxidative_phosporylation,ETC complex iv
LOC116506575,COX7C,Metabolic_function,oxidative_phosporylation,ETC complex iv
LOC116506766,COX17,Metabolic_function,oxidative_phosporylation,ETC complex iv
LOC116506963,COX7A2,Metabolic_function,oxidative_phosporylation,ETC complex iv
LOC116507992,COX7A2L,Metabolic_function,oxidative_phosporylation,ETC complex iv
LOC116512326,COX6C,Metabolic_function,oxidative_phosporylation,ETC complex iv
LOC116514227,COX15,Metabolic_function,oxidative_phosporylation,ETC complex iv
LOC116516211,COX6B1,Metabolic_function,oxidative_phosporylation,ETC complex iv
LOC116516217,COX7B,Metabolic_function,oxidative_phosporylation,ETC complex iv
LOC116517048,COX6A1,Metabolic_function,oxidative_phosporylation,ETC complex iv
LOC116517973,COX4I1,Metabolic_function,oxidative_phosporylation,ETC complex iv
LOC116519415,COX5A,Metabolic_function,oxidative_phosporylation,ETC complex iv
LOC116520881,COX18,Metabolic_function,oxidative_phosporylation,ETC complex iv
ATP5F1A,ATP5A1,Metabolic_function,oxidative_phosporylation,ETC complex v
ATP5F1B,ATP5B,Metabolic_function,oxidative_phosporylation,ETC complex v
ATP5F1C,ATP5C1,Metabolic_function,oxidative_phosporylation,ETC complex v
ATP5F1D,ATP5D,Metabolic_function,oxidative_phosporylation,ETC complex v
ATP5F1E,ATP5E,Metabolic_function,oxidative_phosporylation,ETC complex v
ATP5MC2,ATP5G2,Metabolic_function,oxidative_phosporylation,ETC complex v
ATP5ME,ATP5I,Metabolic_function,oxidative_phosporylation,ETC complex v
ATP5MF,ATP5J2,Metabolic_function,oxidative_phosporylation,ETC complex v
ATP5PB,ATP5F1,Metabolic_function,oxidative_phosporylation,ETC complex v
ATP5PD,ATP5H,Metabolic_function,oxidative_phosporylation,ETC complex v
ATP6AP1,ATP6AP1,Metabolic_function,oxidative_phosporylation,ETC complex v
ATP6V1A,ATP6V1A,Metabolic_function,oxidative_phosporylation,ETC complex v
