Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
LOC116522743	5.72599427063126	-0.491597784169841	6.78858902732119	5.85785602135888e-06	0.0255258797631458	1.97547448484983
LOC116504061	-5.96741423680703	3.14848537181064	-6.60092923941751	8.09114164074794e-06	0.0255258797631458	2.94465437857171
LOC116504063	-2.95988717145894	4.82842987474498	-6.55188465388012	8.81078540676404e-06	0.0255258797631458	3.78873704018241
LOC116504059	-6.55350175533341	3.21120999034111	-6.39605907689714	1.15755010015542e-05	0.0255258797631458	2.63572927240732
LOC116504060	-6.56755365635652	3.21814992985199	-6.39530124461303	1.15909696922961e-05	0.0255258797631458	2.63487825996152
LOC116504954	-6.3968657542624	2.97724861544796	-6.38898354491407	1.17207682389894e-05	0.0255258797631458	2.57630628493902
LOC116504062	-6.19540426325009	2.96265002215949	-6.12094457231923	1.88948812414297e-05	0.0352713447402517	2.26947081254718
LOC116513871	3.56593873598487	7.25215795758552	5.47098016822238	6.26545137620676e-05	0.102338316416117	1.91260977563643
LOC116514283	-6.04339564308796	-0.370608358416289	-5.37144818070345	7.56562125664925e-05	0.109844414400706	0.671575151152026
ITGA2B	-3.25629164498481	-1.6280764863051	-5.05185453561069	0.000139804521816494	0.182682568657612	-0.0392487988730643
LOC116520021	-4.3582796321826	0.569116181367005	-4.91231666972605	0.000183513869929903	0.21799779439764	0.254476019734238
LOC116503683	1.46578924195919	7.65632903140669	4.8314363939137	0.000215082717540872	0.234207155842215	0.681965910129691
POF1B	0.834114923023817	5.94803819104033	4.76034333934301	0.000247438391728963	0.248713651132489	0.577496672369909
LOC116504744	-3.67287371936531	-0.494106796072144	-4.67825001814677	0.000291103472904667	0.271703505746091	-0.271365167157962
DYNC2H1	-3.14850184783325	-0.896028675339178	-4.63910878479881	0.000314637231421935	0.274090980199362	-0.41883555523105
LOC116510703	-3.27189163288722	-0.483274316303861	-4.55630694669459	0.000371075502636984	0.303052724559842	-0.423949861998101
LOC116523426	-2.02923090527624	3.42146755638522	-4.43233412372111	0.000475660256845296	0.365614857423382	0.0985112615630426
LOC116508887	1.10536317838188	6.30606167199452	4.39744660796036	0.000510219846673677	0.370391263138052	-0.145138799700919
LOC116523929	2.68535315638281	2.61971963281376	4.36689121785918	0.000542594064935701	0.373161928763937	-0.035975733074733
LOC116520753	1.28521989063034	5.15569552122211	4.32384234269805	0.000591804420060044	0.38665541784623	-0.233089729037077
LOC116514652	-3.8843238417389	-0.426679067432746	-4.23296064415716	0.000711212559659642	0.422225083286382	-0.830626509294755
LOC116510492	-3.64055363512908	0.38122901825389	-4.22369007368064	0.000724699928999856	0.422225083286382	-0.702543031491301
LOC116518826	-3.86513344145196	-0.799045780811888	-4.21126712128352	0.00074318335620929	0.422225083286382	-0.924569106425389
LOC116514995	-4.01705144069684	0.958045966570878	-4.15691098655221	0.00082987828844204	0.439103162923658	-0.713639189387591
MOSPD2	-3.51822512815525	0.589171199239876	-4.15088720958749	0.000840099416322908	0.439103162923658	-0.764483404867436
NWD2	-2.94557620787149	-1.45413502583269	-4.12144069749866	0.000891939055025599	0.448267985846904	-1.13973066483127
TREH	-3.23052084413497	-1.08230059935122	-4.09633114346881	0.000938708639385482	0.448369584420339	-1.11857983851877
LOC116517912	-3.72212795734055	-0.446738047058468	-4.06700487935602	0.000996500797782017	0.448369584420339	-1.05604638782811
LOC116504762	4.28131810689481	-0.634833064419988	4.05473015294932	0.00102175155085008	0.448369584420339	-1.13249076636484
