Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
PLBD1	-6.08338255040878	-1.23189773687849	-5.55048418602067	8.34183064932414e-05	0.270932258194661	-0.678752828753604
LOC116504059	-8.31197525406918	3.21120999034111	-5.53386838346721	8.58525138528209e-05	0.270932258194661	-0.236973544302982
LOC116504060	-8.33015210096596	3.21814992985199	-5.53269685789804	8.60269224410117e-05	0.270932258194661	-0.23782890660622
LOC116504954	-8.03636361229748	2.97724861544796	-5.47089081183448	9.57743882276154e-05	0.270932258194661	-0.296120550028164
LOC116504062	-7.95245139002248	2.96265002215949	-5.38935747214751	0.000110431313721619	0.270932258194661	-0.370261291613556
LOC116504061	-7.14292582836179	3.14848537181064	-5.32153581007111	0.0001244044959951	0.270932258194661	-0.142511273267371
TAP2	-2.42830242793549	3.82732868401636	-4.78075216461878	0.00032882859838185	0.468657493173218	0.355250784049442
NUP153	8.28904826468555	-0.455241937728754	4.75726195220532	0.000343303431091285	0.468657493173218	-1.1086114295003
LOC116513662	-4.59535920851323	-1.57533753306537	-4.70006689902092	0.000381377151416967	0.468657493173218	-1.53783022510428
LOC116504063	-2.73767807904369	4.82842987474498	-4.66163690635686	0.000409395408019363	0.468657493173218	0.276829591631738
LOC116524057	-5.22282736379921	-1.0026534939353	-4.65478026251302	0.000414614383474204	0.468657493173218	-1.48813386139882
LOC116520556	-5.44951696222854	-0.414774400352588	-4.62967039749245	0.000434322312837308	0.468657493173218	-1.33617511930855
LOC116508491	-5.05375607490413	-0.943521363369887	-4.56611959025175	0.000488653303319038	0.468657493173218	-1.57150642143196
LOC116504477	4.71834121560732	-1.39749675118576	4.55149767317349	0.000502120219210611	0.468657493173218	-1.70720494812775
LOC116515692	-5.91485647221528	-1.42164702369706	-4.50907517132254	0.000543405466888727	0.473378615722333	-1.49269282338967
LOC116522743	4.7856824823497	-0.491597784169841	4.44456849933085	0.000613021916903886	0.500031321545608	-1.40621042346371
LOC116520587	-5.44426613456728	-0.288644586066784	-4.37986057472462	0.000692140677743641	0.500031321545608	-1.51568561319888
PLEKHA6	1.10521643881306	5.85702405022132	4.35943957805958	0.000719238490323213	0.500031321545608	-0.24167247358834
LOC116504744	-4.84606343584378	-0.494106796072144	-4.35368683075061	0.000727067812762421	0.500031321545608	-1.77338335278147
LOC116520550	-4.21064485177845	0.648977021866507	-4.31033420817025	0.000788966220303753	0.505778760687187	-1.04199951595967
ADCY7	1.75452206207165	3.77475757213396	4.28789842698351	0.000823105562327024	0.505778760687187	-0.348339282058841
TMPRSS6	1.28037466813252	8.44140991148747	4.26992812831524	0.000851544557673384	0.505778760687187	-0.410947181607607
PSMB9	-5.65329053164269	-0.862689288006538	-4.15979665088912	0.00104935746374452	0.596171912119549	-1.82158636054722
MTR	1.42789009002001	5.12202849324333	4.12952811906045	0.00111159337050225	0.605216273848037	-0.630039037815052
LOC116517296	1.22222436858071	6.58364608098655	4.10679811353312	0.00116080985449827	0.606732094749156	-0.699746947612233
MTIF2	1.37829204273337	3.89677416609334	4.07838064740575	0.00122549978793945	0.615907912654031	-0.70857976298656
