Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
DNAJA1	3.66639783835774	5.41627665523001	14.4873553852437	3.41398854102848e-10	4.46105882656191e-06	13.0617603259174
AHSA1	3.50236930445952	4.57991414207133	13.7722977403842	6.91403801949085e-10	4.51728674003435e-06	12.1362622542398
CHORDC1	3.57390483681554	6.02640331851575	12.0960161689739	4.12483128900413e-09	1.7966390151139e-05	11.0883052430054
BAG3	4.32165242152718	7.66987396138008	10.4109007019883	3.09189314347583e-08	0.000101004419264497	9.30309893959178
HSPA8	5.67546743403967	6.67365042617934	8.87055015661512	2.46258727604159e-07	0.000577240685779723	7.28895048874606
DNAJA4	8.01677420029194	5.03640495471895	8.7329888722914	3.00089470298456e-07	0.000577240685779723	6.66113582274374
JMJD6	3.54374817100654	3.13592310797546	8.62278844803733	3.5213848750275e-07	0.000577240685779723	6.41415863186175
SIK1	2.99348909530075	7.48899625806805	8.62032853430946	3.53403649363877e-07	0.000577240685779723	6.97029914443503
HSPH1	6.90503042702808	3.38252674027131	8.38609540115603	4.98876210572348e-07	0.000652288598838135	5.54090265056665
LOC116507123	3.10615485263841	10.7708786145269	8.38567523913021	4.99187723913779e-07	0.000652288598838135	6.63378946263484
HSPB6	5.80328993723902	8.04573592083175	8.19407634879033	6.65042875914119e-07	0.000731691423593749	6.35454620299471
LOC116519247	9.81851760931322	3.29124149540299	8.18723581155391	6.71944370025636e-07	0.000731691423593749	4.59632494144589
DNAJB1	4.56439481037513	7.49023664227938	7.92262683357927	1.00621295197984e-06	0.00101139881873235	5.95096603102497
LOC116515182	4.63021608461585	10.2362972408987	7.71221808571899	1.39584559547397e-06	0.00130282245686131	5.62864189837172
AKAP8	-1.95894867137147	4.05967513472864	-7.43821435961202	2.15590678744042e-06	0.00187808226609893	5.17012915292499
TENT5B	2.80671085831077	4.83876865443548	7.08225267373175	3.84821640234678e-06	0.00314279023309159	4.65342087760496
LOC116503370	4.04161798147328	3.05361125955338	7.03623944603738	4.1526014769853e-06	0.00319188491175099	4.29987530318616
RIPK4	2.20913114450542	5.25147355079682	6.87799199613113	5.40712581408792e-06	0.00392527294514927	4.31987376301838
AMOTL2	2.42403563633189	4.80134438317524	6.7080257923351	7.20682339679182e-06	0.00488645648962078	4.05013707746365
SERPINH1	2.49389304322874	3.89024222934652	6.65108339887894	7.94199345881787e-06	0.00488645648962078	3.93623532051858
DUSP4	3.01564938571041	6.06986382192541	6.64739211096716	7.99228301261975e-06	0.00488645648962078	3.92757695263063
GPBP1	1.50727799217269	5.74764632333645	6.63048018658001	8.22698727876766e-06	0.00488645648962078	3.8889220357614
SYDE2	1.29148590347811	5.13456552836506	6.58290100045845	8.92680106302233e-06	0.00507158736915273	3.82550891884617
LOC116518964	4.14339522543554	1.35239805147156	6.45920243619583	1.10536319884754e-05	0.00601824204972535	2.82421274707566
PLOD3	1.81169398555266	6.54472740566719	6.39105101758939	1.24459627882577e-05	0.00650525583016653	3.46320607135009
OTUD1	3.15152858993021	4.68850681907969	6.35922656249159	1.31578047719454e-05	0.00661280903673116	3.47493839838393
OSGIN1	3.18521529589284	4.3704702731181	6.27365446220163	1.52909294790333e-05	0.00731974760365002	3.33010086637067
P4HA2	2.1911949833954	3.42019840437565	6.25922709851523	1.56847733146247e-05	0.00731974760365002	3.28589816760564
PARP2	2.81823748754355	2.7630567259349	6.23282253482952	1.64332561667643e-05	0.0074045985631417	3.129018361326
LATS2	1.71984387466213	4.67488142952015	6.13316779615196	1.96114150298117e-05	0.0080863171267092	3.07638952892006
LOC116519881	1.35092453416101	5.2161727841292	6.13035317391723	1.97099839380003e-05	0.0080863171267092	3.04593765532235
HSPA2	6.42119823841473	9.04432961265703	6.1277184723329	1.98027204449908e-05	0.0080863171267092	3.01711297892375
CSRNP2	1.85168781057197	3.31753467117445	6.03542612249064	2.335595743522e-05	0.00924825138806119	2.91159197306913
CDS1	2.07223328333696	3.03855619620075	5.98942084424794	2.53696710929355e-05	0.00975016153445259	2.80901843109057
HSPD1	1.4668836456633	8.26492062139362	5.87711908166136	3.10828633708779e-05	0.0116045650190646	2.537195266625
LOC116520666	2.22849619755081	7.34764530292111	5.79469622870832	3.61190428312293e-05	0.0128968022271211	2.39512178325216
DNAJB4	2.16037813301063	4.01391858641809	5.77623587475383	3.73592145002823e-05	0.0128968022271211	2.48009894943801
ZNF395	-1.56226752097289	5.24848292628992	-5.76039103005012	3.84590034546428e-05	0.0128968022271211	2.37947750338633
LDLR	1.58510333145412	6.75905731537042	5.75992260743956	3.8492024707869e-05	0.0128968022271211	2.33394067048406
RFK	2.35633985057769	4.26760451563014	5.73072278095593	4.06098095438519e-05	0.0132662095327378	2.39686206501198
PI4K2A	1.43180298481299	4.97332178197613	5.64304656433996	4.77281035349066e-05	0.0152112958266006	2.19029562037015
LOC116511585	-1.60689191593783	5.10161435890767	-5.61121455673256	5.06234924131063e-05	0.0157499327467157	2.11814528661928
LOC116520850	-1.72695053871479	3.02732220137118	-5.58478475264298	5.31660197624678e-05	0.016156287912469	2.1162743104764
HSP90AA1	5.47553780780947	9.52108089924136	5.5375290080173	5.80479838473571e-05	0.0170019929620188	1.94011493886237
MTHFD2	3.03268454611573	4.97604962534758	5.53289380474235	5.85512882291914e-05	0.0170019929620188	2.02294976412751
RABEP2	-1.93449235151485	4.83489857616208	-5.50757986665858	6.1381045561608e-05	0.0174362200511637	1.95214986403931
ANKRD12	1.19936946165658	5.00661913732791	5.48634620179511	6.38640819588726e-05	0.017755573594821	1.89460709146683
DUSP1	4.4649026177418	5.17644116624151	5.42018344696431	7.22914293846882e-05	0.0196798355785358	1.83443889465703
TIPARP	1.60447669619816	2.98466107514305	5.35038299310356	8.2441830664965e-05	0.021985049006104	1.73238349799138
SLC39A1	-1.29923651036308	4.22941934821977	-5.31483583292046	8.81684059514549e-05	0.0226381855361185	1.62980501989189
AVPI1	1.47737019699401	3.84890393351557	5.30381125395478	9.00270006091503e-05	0.0226381855361185	1.63851980703367
ABI3BP	2.89435552321984	1.76259227092824	5.30345085265698	9.00884401835281e-05	0.0226381855361185	1.42874400940258
DEDD2	-1.12866721142877	6.49263611749062	-5.17253340044956	0.000115551448231897	0.0284888825291735	1.23242563050579
APOLD1	3.88551960018322	-0.763587721291413	5.10215615082077	0.000132214751783498	0.0319935215102771	0.452095855014775
ACTL7A	3.0607548533148	1.4053447245698	5.00002870515821	0.000160935867342431	0.0372627669248375	0.885172694251711
MAPK3	-1.08226508986432	5.16733014857686	-4.99347030149329	0.000162987476715598	0.0372627669248375	0.95019642835265
TOB2	1.55306935521851	7.55121426580052	4.98406771083803	0.00016597602680318	0.0372627669248375	0.866448691854071
SLC5A3	2.73643795669589	2.2025935646463	4.98106345795482	0.00016694278815061	0.0372627669248375	0.992471759091187
LDLRAD4	1.60619309867361	2.8252255869127	4.96984359072043	0.000170605006499983	0.0372627669248375	1.05663819884489
ARHGEF15	3.10612333730419	0.103967111753948	4.96834565388403	0.000171100177201366	0.0372627669248375	0.478486824615167
LPAR5	3.49211435424432	-1.4125565563623	4.95133491902044	0.000176828581820461	0.0378790012893109	0.145432894162764
CSF1	2.74321310033992	2.36299483819386	4.93843284941608	0.000181305127194199	0.0382115176942999	0.944760157266742
RND3	1.65141846849407	6.05728967648914	4.89123382411231	0.000198702440721238	0.040928634017566	0.72027052526698
MCL1	0.935853929632408	8.14334887941524	4.88267817426075	0.000202035936384041	0.040928634017566	0.666777778853461
DUSP8	2.81323591428902	1.62595000667908	4.87872938566507	0.000203593878559868	0.040928634017566	0.725071968436279
SP2	-1.13729645819634	3.54477539904214	-4.85621169658562	0.000212717716845024	0.0421148849396051	0.833710684645634
