Gene	logFC	AveExpr	t	P.Value	adj.P.Val	B
DNAJA1	3.04046043608805	5.41627665523001	8.62924643854518	7.65790766425659e-07	0.0100065879448841	6.14761229603329
AHSA1	2.87918527419847	4.57991414207133	7.46736473555836	3.8970264156178e-06	0.0210726185568529	4.53829364953957
CHORDC1	2.98362464037665	6.02640331851575	7.32123233412477	4.8379777814769e-06	0.0210726185568529	4.48829187771981
BAG3	3.73729291916647	7.66987396138008	6.98128586404679	8.08721317689611e-06	0.0264189036456254	3.98896253484023
DNAJA4	4.56001244056074	5.03640495471895	6.40860447120388	1.98963260680978e-05	0.0463841780661856	3.13162099183035
LOC116511158	6.38489230630778	2.18498884095371	6.28194991904504	2.44263618810616e-05	0.0463841780661856	1.57046702319261
LOC116507123	3.09663213545449	10.7708786145269	6.27144334489345	2.48480329427795e-05	0.0463841780661856	2.88417313401992
LOC116515182	3.5769814898849	10.2362972408987	5.9458061492623	4.25568803363744e-05	0.0672386238734421	2.35205136364957
LOC116503880	5.25745218410958	1.06061294213454	5.89543852145424	4.63111360573183e-05	0.0672386238734421	1.02847248885151
PI4K2A	2.11164184147941	4.97332178197613	5.81751911863741	5.28186553555312e-05	0.0690181369530727	2.20341258550702
PLOD3	1.86644668146216	6.54472740566719	5.68273512606244	6.64397605977973e-05	0.0741658768597747	1.91712676011776
SIK1	2.67057754496186	7.48899625806805	5.66823946310372	6.81097820706586e-05	0.0741658768597747	1.88526578797094
HSPB6	3.93884103397472	8.04573592083175	5.22224007893599	0.000148280098612344	0.139965258312123	1.11358347778405
HSPH1	4.69924242923287	3.38252674027131	5.19510810842873	0.000155602843782353	0.139965258312123	1.08418829509861
TGM1	5.34937948931713	0.614449736775192	5.06921765740753	0.000194855574021179	0.139965258312123	0.151874040198127
LOC116503881	2.43623580111627	5.37270281457898	5.03751587073596	0.000206280666851519	0.139965258312123	0.909717494463465
LOC116519247	8.69897384566751	3.29124149540299	5.02763126494273	0.000209983890579697	0.139965258312123	0.486403880678604
LOC116506683	5.5207447840981	1.03545139164027	5.02467449332832	0.00021110502224732	0.139965258312123	0.121284157263221
LDLR	1.96259291757497	6.75905731537042	5.02037138823984	0.000212747788491214	0.139965258312123	0.768138433894754
HSPA8	4.03288146264975	6.67365042617934	5.01652598861926	0.000214227073256483	0.139965258312123	0.793086427423655
AKAP8	-2.15592949132863	4.05967513472864	-4.94772864454711	0.000242579957467949	0.150942490677795	0.773565260992947
TXNIP	1.99430077023391	7.72761717788348	4.81439642868721	0.000309190467686159	0.183645083693411	0.376529820039731
FRMD6	4.03001673138121	1.93321114690579	4.75625420762847	0.000343938996412799	0.192714323180004	0.073032405036809
LOC116519186	4.15528128547325	0.21697019475255	4.74062143602726	0.000353956053900672	0.192714323180004	-0.373326685348382
FAM71D	-5.36170954195035	-0.456315052808185	-4.67838764505008	0.000396929593963133	0.204429638955842	-0.468135738010025
LOC116512071	4.1194283398824	0.661120258309328	4.66512991217198	0.000406762884583446	0.204429638955842	-0.354197116691828
LOC116506615	-2.07672121605693	5.54869330747891	-4.63558201152961	0.000429596844565026	0.207908961775229	0.100793329160783
DNAJB1	3.33298768087684	7.49023664227938	4.57734738955049	0.000478566205162633	0.222999153164808	-0.0415542152979809
VWF	2.4110212287154	5.8586485825031	4.55870545889146	0.000495434479041755	0.222999153164808	0.00292526688110506
SLC5A3	4.06345146747055	2.2025935646463	4.52894265777599	0.000523650584768793	0.222999153164808	-0.19234939776246
MDFI	4.07257464987741	-0.176623760609856	4.52344606752457	0.000529040617441574	0.222999153164808	-0.634218292328863
PNPLA2	1.6801565955682	7.46476012961961	4.49639282344583	0.000556417088587724	0.223257513524027	-0.206902547037397
CNNM2	4.22806111136263	-0.164893363665709	4.47940295774079	0.000574354170157144	0.223257513524027	-0.671643670600108
ADAMTS4	5.33380335130665	0.015238575030352	4.47332936711283	0.000580910343599673	0.223257513524027	-0.56720929926704
NF1	1.41511480452133	5.00917062787836	4.44297350696335	0.000614855469590829	0.229551897746953	-0.145676579013989
C11H1orf112	-4.70338754450439	-0.207885692338927	-4.41815956654358	0.00064412099168269	0.233798027731047	-0.814366267986689
DUSP8	4.01264582033322	1.62595000667908	4.33248921261404	0.000756683099456748	0.267231839475711	-0.547425970520626
JMJD6	3.09333319730499	3.13592310797546	4.24914847987968	0.000885693309255266	0.297025484267817	-0.447407200040021
TNS1	1.32672070422781	7.72577967766539	4.24866313876857	0.000886507529382787	0.297025484267817	-0.676501672018966
STK17B	4.2057722686891	0.0931797595450751	4.23077476868399	0.000917060727333965	0.299580813101823	-0.977822622741605
PTK7	3.66314726632762	2.1922743190736	4.18794888213816	0.000994683064260814	0.317012770748684	-0.680265249701692
GATM	6.06310072770893	2.75323915028922	4.13409431086625	0.00110196738036913	0.337328265823178	-0.831834501114851
HSPA2	4.28524193198212	9.04432961265703	4.13025416373418	0.00111005704678937	0.337328265823178	-0.882811251041961
LOXL2	4.1548101780303	0.796818884446857	4.11722234546416	0.00113796698022104	0.337950330239736	-1.04005185077561
LOC116519881	1.53304437085307	5.2161727841292	4.10315644058264	0.00116890032041986	0.339422677487252	-0.792345506903608
PANK1	1.6824869957857	7.17653973043807	4.08229622660678	0.00121637123651509	0.345528759729189	-0.979631083552382
LOC116518964	4.1581342512205	1.35239805147156	4.06255812591738	0.00126310834126384	0.351170993516906	-0.922012536148231
LOC116517129	3.81190813932551	0.33418199032065	4.03523008562172	0.00133087255728874	0.362302327210248	-1.17712045768262
SYDE2	1.22931035462958	5.13456552836506	4.0126279946603	0.00138972502019558	0.364481376311668	-0.989372040107572
CHST13	3.8011762795926	0.993935695236229	4.00464988126045	0.00141112926810771	0.364481376311668	-1.14742817555655
ADCY7	2.36463400439188	3.77475757213396	3.99059014618709	0.00144967431664179	0.364481376311668	-0.866617600642509
HELZ2	2.15289621605051	5.04404466990729	3.99031110908029	0.00145045010853346	0.364481376311668	-0.92886481518794
BOC	4.74675725456516	1.74062956869836	3.96240986767897	0.00153020621985719	0.369338698451085	-1.16309837656828
LRIG1	3.92660950199073	1.2605674902717	3.94278285314683	0.00158898462727292	0.369338698451085	-1.15819344116442
GGT5	3.88019986296798	0.955547169149928	3.931844092556	0.00162273987891498	0.369338698451085	-1.28670668105785
LOC116503884	4.11702283955044	1.95641513465938	3.92805754141802	0.00163459449434845	0.369338698451085	-1.1895692988235
RAPGEF3	3.64466588015426	-0.524085650497521	3.92761280921773	0.00163599261707252	0.369338698451085	-1.3970042670638
LOC116502804	1.36242299155935	6.37380882969272	3.92654016852476	0.00163936974899846	0.369338698451085	-1.23234726165908
HSPD1	1.0582551518645	8.26492062139362	3.9120673745377	0.00168563868322911	0.371072245694585	-1.31868616096985
NSMCE4A	-2.45439870528413	4.01289673328522	-3.90647890955977	0.00170385970319699	0.371072245694585	-1.01889232436111
LOC116519870	2.07308272404987	7.49029098559104	3.89362033173893	0.00174655214044231	0.3717783902006	-1.32620972610221
RAB40C	3.66032166493964	0.681877493448085	3.88845566114182	0.00176400552479048	0.3717783902006	-1.33493426987578
GLRX	-4.61448460485112	0.962256312196609	-3.85705722415304	0.00187401086496365	0.384267909732061	-1.33825303739918
TANC2	3.62139791607066	1.02634020996781	3.85482844785264	0.00188208052520486	0.384267909732061	-1.31702945147518
LOC116508186	3.576287452829	1.65213856501217	3.84226770856298	0.001928225871954	0.387632730289584	-1.28540582664364
RIPK4	1.93502560129824	5.25147355079682	3.8269772025812	0.00198595970052741	0.391091595491146	-1.32123217930899
DUSP4	2.78646770889518	6.06986382192541	3.81567502041528	0.0020297641579617	0.391091595491146	-1.3654052179746
ANGPTL2	4.47922409164857	0.343509506151363	3.80759759649445	0.00206167222878731	0.391091595491146	-1.49898428990598
LOC116518528	-5.89926797456798	-0.688249480782136	-3.80672481896534	0.00206515038561943	0.391091595491146	-1.48709511157757
RIPOR1	1.54932400680072	5.22478377226623	3.76147140011019	0.00225392486091565	0.420743373679782	-1.41840904696152
LOC116513742	4.09966799065749	0.784954095112045	3.74434678457434	0.00232985941138534	0.428792576458764	-1.53287130338
LOC116512555	-5.52685431226117	1.99593980294476	-3.70111289832525	0.00253335076012077	0.459767977534696	-1.42469160893311
RFK	2.73158876672484	4.26760451563014	3.67118942924875	0.00268468287359731	0.480558234373918	-1.44576492818123
GNA15	3.53624239915209	0.311709548995423	3.63201200997209	0.00289677951440759	0.492440220678982	-1.7284728181565
ALPK3	3.39724751796671	-0.844677283711524	3.62815938739903	0.00291853350288113	0.492440220678982	-1.79340764674249
NFKB1	3.8250987576572	1.67669860708468	3.6029487386257	0.00306503124965937	0.492440220678982	-1.65978375250128
RABEP2	-1.97474810164531	4.83489857616208	-3.60137452937379	0.00307442224944678	0.492440220678982	-1.74199920362733
LOC116513199	-1.50835095737768	4.6817502479167	-3.59848405547711	0.00309174140798878	0.492440220678982	-1.72244243980786
LRP4	4.22509980968264	-0.265920252109073	3.59083738852298	0.00313803664513383	0.492440220678982	-1.80066142398562
PIGP	-3.73254735428199	0.684160426290772	-3.58917632558532	0.00314818565689947	0.492440220678982	-1.66255188616774
LOC116506662	1.26825463487298	5.97923643984244	3.58171579849511	0.00319418044845926	0.492440220678982	-1.86675873510528
SNX25	3.80569631202145	0.52019703225865	3.57007249753438	0.00326732530910464	0.492440220678982	-1.78837234772138
SLC25A18	2.57027387453995	2.57426014387245	3.56875421422744	0.00327571305425591	0.492440220678982	-1.59481775867124
DLC1	3.67559984732141	2.09266174635387	3.56233854355914	0.00331684560738721	0.492440220678982	-1.63780286708892
KIF13B	1.33234894042905	4.83081616498534	3.56120712295502	0.00332415345282421	0.492440220678982	-1.76243580233244
COL4A1	2.45906784391729	4.05833629087821	3.55680921054895	0.00335271458489789	0.492440220678982	-1.61970780126453
GPBP1	1.22694980353287	5.74764632333645	3.55493133708661	0.00336498545110308	0.492440220678982	-1.90714763552602
LOC116504477	3.67994122087358	-1.39749675118576	3.54981616183633	0.0033986411409671	0.492440220678982	-1.88141891434303
CDC42EP4	4.21858370339162	-0.674887148294702	3.54829794695295	0.00340869570701356	0.492440220678982	-1.85811191880953
NHS	3.37278874801229	-0.210118470889534	3.54525918904352	0.00342891068873597	0.492440220678982	-1.90174410790176
PFKP	3.33009634782689	0.943714078585312	3.545160463423	0.00342956947835881	0.492440220678982	-1.80225293007232
HSP90AA1	3.32642812705914	9.52108089924136	3.53771789186439	0.00347960347162103	0.492440220678982	-2.00889238632725
