Gene	DE.2008Dataset	DE.2012Dataset	logFC.08	AveExpr.08	t.08	P.Value.08	adj.P.Val.08	B.08	logFC.12	AveExpr.12	t.12	P.Value.12	adj.P.Val.12	B.12	DE.fishercomb	DE.invnorm	E_FC_08	E_FC_12	signFC	DE	DE.fishercomb_adjP	DE.invnorm_adj_P
A1CF	NA	NA	0.778972966583941	6.90756954219365	4.05107588468569	0.00102939370418689	0.448369584420339	-0.84949573862577	-0.143799543615894	7.08335749285019	-1.0043598580311	0.326492088643364	0.987533224507549	-5.9314518403198	NA	NA	NA	NA	NA	NA	NA	NA
AAAS	NA	NA	-0.417616079207453	1.99782370527604	-0.856911894396363	0.40487003146457	0.826138062521127	-5.40606013121047	0.190901693720674	1.90092673391067	0.920622649337561	0.367568966170328	0.987533224507549	-5.63260917635677	NA	NA	NA	NA	NA	NA	NA	NA
AACS	NA	NA	-0.661423633659685	1.48568488006528	-0.757629529921719	0.460317472882629	0.848840464912912	-5.38359879615918	-0.0567460654511047	1.82570673975414	-0.206862889838583	0.83808391454084	0.995089477239615	-6.00856808514064	NA	NA	NA	NA	NA	NA	NA	NA
AADAT	NA	NA	-0.609026696062618	4.07969658088396	-1.02931112759898	0.319517682874577	0.794793674747315	-5.77267385358751	-0.212883523054603	4.84599427577422	-2.00794539637306	0.0575143473224055	0.894081916003011	-4.5597470870833	NA	NA	NA	NA	NA	NA	NA	NA
AAGAB	NA	NA	0.232546603813601	5.98387981966436	0.925913743902905	0.36903332476727	0.809974277597242	-6.14238118393114	0.0716157997847633	6.23410847616733	0.588518713286966	0.562380580443482	0.995089477239615	-6.27897133559158	NA	NA	NA	NA	NA	NA	NA	NA
AAK1	NA	NA	0.0508050847652015	5.95234579282827	0.326219795799689	0.748729313511095	0.940984614041723	-6.51874732696461	0.0593375282082347	5.0272696634352	0.456799997420984	0.65244435972031	0.995089477239615	-6.3417319639244	NA	NA	NA	NA	NA	NA	NA	NA
AAMP	NA	NA	0.517832989494833	3.89014159872805	1.69516880349627	0.110531287936112	0.714300299650676	-4.94126984761297	0.0928984702056939	3.78893208399525	0.665839122020336	0.512669054551405	0.995089477239615	-6.12731728790619	NA	NA	NA	NA	NA	NA	NA	NA
AANAT	NA	NA	-1.22167156979033	0.698321877195886	-1.36144448856702	0.19331614193565	0.743110038317611	-4.74812977618192	0.0766432404213924	2.04768532685803	0.391783331489021	0.699114969230243	0.995089477239615	-5.99489969300279	NA	NA	NA	NA	NA	NA	NA	NA
AAR2	NA	NA	-0.555422858538257	1.72164307596177	-1.1647742132751	0.26215781465943	0.767135810525654	-5.07795775821956	0.101676241005523	2.29556700671835	0.606168092180506	0.550816438884459	0.995089477239615	-5.93569506737822	NA	NA	NA	NA	NA	NA	NA	NA
AARS1	NA	NA	0.492231912439902	6.89439716814513	1.78338593859728	0.0946033626495515	0.713823010029729	-5.11322176596381	0.375057132205031	6.6500785288459	2.3254110122398	0.0300126388454703	0.800577432863182	-3.99286849315562	NA	NA	NA	NA	NA	NA	NA	NA
