Gene	DE.2008Dataset	DE.2012Dataset	logFC.08	AveExpr.08	t.08	P.Value.08	adj.P.Val.08	B.08	logFC.12	AveExpr.12	t.12	P.Value.12	adj.P.Val.12	B.12	DE.fishercomb	DE.invnorm	EH_FC_08	EH_FC_12	signFC	DE	DE.fishercomb_adjP	DE.invnorm_adj_P
A1CF	NA	NA	0.913864041096369	6.90756954219365	3.22490776380125	0.00640491568269315	0.900249649057693	-2.31292600185801	-0.216943552642214	7.08335749285019	-1.29390074543939	0.211082793828693	0.982976659628235	-5.20872464264744	NA	NA	NA	NA	NA	NA	NA	NA
AAAS	NA	NA	-0.971220966288104	1.99782370527604	-1.37119137562997	0.192806342638576	0.957895029033551	-4.61842793458367	-0.0397283865049169	1.90092673391067	-0.138395810958274	0.891372052750477	0.999415040137855	-5.64246299146399	NA	NA	NA	NA	NA	NA	NA	NA
AACS	NA	NA	-0.385515094094226	1.48568488006528	-0.513589779033814	0.615888613649916	0.984666484893177	-5.50143839194774	0.110016657964193	1.82570673975414	0.36169886862946	0.721535937762255	0.997719278780949	-5.66766250603525	NA	NA	NA	NA	NA	NA	NA	NA
AADAT	NA	NA	-1.20372242418363	4.07969658088396	-1.65914521855049	0.120259768846199	0.957895029033551	-4.59481888600625	-0.295555202958595	4.84599427577422	-2.02232772543782	0.0573306887072705	0.95359391708271	-4.21764560103166	NA	NA	NA	NA	NA	NA	NA	NA
AAGAB	NA	NA	0.0434256979258345	5.98387981966436	0.121652824274704	0.904976490112386	0.997027476792637	-6.209243614065	0.100672716260423	6.23410847616733	0.560283323673855	0.581780000910309	0.995223205246671	-5.88974093122795	NA	NA	NA	NA	NA	NA	NA	NA
AAK1	NA	NA	-0.0245285599296468	5.95234579282827	-0.107331468182645	0.916113830117547	0.997148118818664	-6.21413633264451	0.0598638985264204	5.0272696634352	0.32910797899934	0.745644960269734	0.997719278780949	-6.00403272170806	NA	NA	NA	NA	NA	NA	NA	NA
AAMP	NA	NA	0.429046686351604	3.89014159872805	1.08388076373276	0.297504227773391	0.957895029033551	-5.43424477262341	0.0216182313436639	3.78893208399525	0.1459594541113	0.885478343321749	0.999415040137855	-5.98226572896066	NA	NA	NA	NA	NA	NA	NA	NA
AANAT	NA	NA	-1.32114362597087	0.698321877195886	-0.951634707600784	0.358105662670131	0.966967971101374	-4.87504059958339	0.104812700465983	2.04768532685803	0.364260638875238	0.719653092909479	0.997719278780949	-5.63461151903094	NA	NA	NA	NA	NA	NA	NA	NA
AAR2	NA	NA	-0.659179189100111	1.72164307596177	-0.888777602891762	0.389773437992444	0.967937456177894	-5.02463132846029	0.0161801308544622	2.29556700671835	0.0809575263832804	0.936315562669841	0.999415040137855	-5.70303022357168	NA	NA	NA	NA	NA	NA	NA	NA
AARS1	NA	NA	0.364062767522598	6.89439716814513	0.906859276944697	0.380474162383384	0.967937456177894	-5.8384768676717	0.609559160542194	6.6500785288459	2.68640534538832	0.0145426394667853	0.8502188945086	-3.01948987662274	NA	NA	NA	NA	NA	NA	NA	NA
AARS2	NA	NA	-0.642069677449697	2.81545716209378	-0.697154090488065	0.497604727095615	0.977956710360043	-5.49917766184229	-0.196166273069206	3.66406115871857	-1.58093742136648	0.13026261975601	0.98083009521932	-4.80841659017771	NA	NA	NA	NA	NA	NA	NA	NA
AASDH	NA	NA	-1.71170192397956	0.429873669902066	-1.33645548256431	0.203615572829193	0.957895029033551	-4.58033145254577	0.0306063248970823	1.4037995915424	0.159019304734832	0.875318188152899	0.999415040137855	-5.53937183599533	NA	NA	NA	NA	NA	NA	NA	NA
