Gene	DE.2008Dataset	DE.2012Dataset	logFC.08	AveExpr.08	t.08	P.Value.08	adj.P.Val.08	B.08	logFC.12	AveExpr.12	t.12	P.Value.12	adj.P.Val.12	B.12	DE.fishercomb	DE.invnorm	HC_Lake_FC_08	HC_Lake_FC_12	signFC	DE	DE.fishercomb_adjP	DE.invnorm_adj_P
A1CF	NA	NA	-0.188163819742122	6.90756954219365	-0.660702130228946	0.519982839695202	0.979501563073535	-6.4260919473581	0.471961808977951	7.08335749285019	2.8446629688331	0.010305347865268	0.243946769418915	-2.98158644574732	NA	NA	NA	NA	NA	NA	NA	NA
AAAS	NA	NA	-0.176947955303202	1.99782370527604	-0.338005885204085	0.740587193110736	0.992106992324696	-5.91029860224552	-0.102970578295737	1.90092673391067	-0.356962754244216	0.725021673162179	0.947843721876906	-5.97805443468586	NA	NA	NA	NA	NA	NA	NA	NA
AACS	NA	NA	1.78779517612483	1.48568488006528	2.16591314583251	0.0488668976037929	0.618743944756552	-3.93300469901615	0.583803707283287	1.82570673975414	1.7405519611548	0.0978014062466612	0.573029676632387	-4.64535758822211	NA	NA	NA	NA	NA	NA	NA	NA
AADAT	NA	NA	-0.243315510882344	4.07969658088396	-0.447621503666464	0.661565645023269	0.992106992324696	-6.3818148093252	0.220311361306001	4.84599427577422	1.50800507119903	0.147868635404048	0.650576913876775	-5.36443438678423	NA	NA	NA	NA	NA	NA	NA	NA
AAGAB	NA	NA	0.00966556078454772	5.98387981966436	0.0272624506291203	0.978651597093176	0.998968805355924	-6.63255796169105	-0.0168026539462041	6.23410847616733	-0.0939498465578613	0.926124689805738	0.988079005453978	-6.45893492858364	NA	NA	NA	NA	NA	NA	NA	NA
AAK1	NA	NA	0.0900259465003748	5.95234579282827	0.39651703803894	0.697955978128495	0.992106992324696	-6.55339417759938	0.178829224006916	5.0272696634352	0.979019742469029	0.339773125793627	0.810310839465339	-5.98844106390033	NA	NA	NA	NA	NA	NA	NA	NA
AAMP	NA	NA	0.447355864692089	3.89014159872805	1.10386447000088	0.289049484102846	0.905106544158133	-5.77357195682162	0.495073291029561	3.78893208399525	3.19850665485158	0.00469390146957441	0.181602391708923	-2.20577966607043	NA	NA	NA	NA	NA	NA	NA	NA
AANAT	NA	NA	-0.373089389024148	0.698321877195886	-0.344426148226685	0.73586262775017	0.992106992324696	-5.69132152456158	-0.0974109916619488	2.04768532685803	-0.329192311059756	0.745582214614319	0.954345668786488	-6.01371774623304	NA	NA	NA	NA	NA	NA	NA	NA
AAR2	NA	NA	-0.0516073956962224	1.72164307596177	-0.08977403865125	0.929792627808048	0.996475322049385	-5.92286418405666	-0.405355388445884	2.29556700671835	-2.0676780911839	0.052447925450793	0.465362515196537	-4.19789203798602	NA	NA	NA	NA	NA	NA	NA	NA
AARS1	NA	NA	0.329554313145709	6.89439716814513	0.816370432441831	0.428540019880131	0.964011474255615	-6.31224935315195	-0.172604849992182	6.6500785288459	-0.771103541505468	0.450052598090334	0.856809103395232	-6.15415838765476	NA	NA	NA	NA	NA	NA	NA	NA
AARS2	NA	NA	-0.149795637481605	2.81545716209378	-0.202841363972239	0.842301659465309	0.992106992324696	-6.30980298665681	0.154306230373523	3.66406115871857	1.2349144422609	0.231795281183944	0.747327458169236	-5.6146702651292	NA	NA	NA	NA	NA	NA	NA	NA
AASDH	NA	NA	0.0990101263336847	0.429873669902066	0.0958099110387042	0.925087306581074	0.996475322049385	-5.71160062952512	-0.0638575790287994	1.4037995915424	-0.32552094858302	0.748315503360923	0.954676676320804	-5.8673230516059	NA	NA	NA	NA	NA	NA	NA	NA
AASDHPPT	NA	NA	0.352877725621491	1.05335867655223	0.437978682796416	0.66836775057086	0.992106992324696	-5.66848635029445	0.0247714889014894	1.91072186029985	0.0989001740763248	0.922245110991977	0.987654942288811	-6.05517895445634	NA	NA	NA	NA	NA	NA	NA	NA
AASS	NA	NA	-0.372135741015978	6.29052923104034	-1.10833147524196	0.287184470079706	0.902959208933957	-6.02335717814323	0.127738181671456	6.43923029880452	0.772652622981169	0.449156626432585	0.856809103395232	-6.15450848379914	NA	NA	NA	NA	NA	NA	NA	NA
AATF	NA	NA	0.10753797354907	5.26136465625409	0.254866395261428	0.802689808362121	0.992106992324696	-6.55141713163383	0.176296493583486	4.84200333584995	0.79505866428503	0.436319875352707	0.850805159110466	-6.1455342471551	NA	NA	NA	NA	NA	NA	NA	NA
ABAT	NA	NA	-0.522325888921745	4.65019388697444	-0.716280854161882	0.486094644453511	0.975288408517296	-6.27403009679914	0.175141903225565	3.42618917749583	0.46682838986173	0.64588821561483	0.926346058783926	-6.18950670603887	NA	NA	NA	NA	NA	NA	NA	NA
ABCA1	NA	NA	0.431061117578698	7.52050169180716	1.44891990020129	0.170318583165763	0.815834211473703	-5.63023423070646	0.110286308740894	7.24639816557047	0.664134458923938	0.514519174003444	0.881099584673513	-6.19519747491601	NA	NA	NA	NA	NA	NA	NA	NA
ABCA2	NA	NA	-0.35698974364797	6.73822303556661	-0.690510811817948	0.501640103726462	0.979345564957675	-6.41051179628827	0.633866413049815	6.60445783262977	1.31679840194892	0.203442586194409	0.724372060540716	-5.59830465286342	NA	NA	NA	NA	NA	NA	NA	NA
ABCA3	NA	NA	1.93238625616517	3.31294642357844	2.12675456505059	0.0525201369917213	0.624924316078942	-4.23090666202182	0.623955016559045	2.04867984662095	1.54794700341127	0.137997053959936	0.635387670754494	-4.96017292681451	NA	NA	NA	NA	NA	NA	NA	NA
ABCA5	NA	NA	-0.0992665608060901	1.92187936353895	-0.193620248336763	0.849372726557509	0.992106992324696	-6.24157451565228	-0.236500364733585	3.34672342074509	-0.98794960489486	0.33549237312705	0.810310839465339	-5.85084364700954	NA	NA	NA	NA	NA	NA	NA	NA
ABCB1	NA	NA	-0.552607071071466	6.48338673053896	-0.960400445967886	0.353836513155245	0.943372015189047	-6.18281851337275	0.00629917874092101	5.1670122520541	0.0142331477683978	0.988791164321243	0.997630598555266	-6.47219271281008	NA	NA	NA	NA	NA	NA	NA	NA
ABCB10	NA	NA	-0.116392277924529	4.62895854648898	-0.280556652512665	0.783328385608084	0.992106992324696	-6.50443822007588	0.07066340492013	5.31411535188369	0.460237299658931	0.650527088840146	0.928374258751042	-6.3677966644566	NA	NA	NA	NA	NA	NA	NA	NA
ABCB11	NA	NA	-0.172745141560085	8.50351246879954	-0.444272389912571	0.663924641377892	0.992106992324696	-6.54810100624603	0.0173855858781256	8.32387198543597	0.0971405718275033	0.923623890164302	0.987685539752578	-6.3602047569573	NA	NA	NA	NA	NA	NA	NA	NA
ABCB6	NA	NA	-0.0778636780791846	4.78647177132883	-0.218707922391882	0.830168111116268	0.992106992324696	-6.53357759675583	0.0775801876144744	4.91112218686354	0.369236400668963	0.716001270759013	0.946339956146709	-6.39685546164392	NA	NA	NA	NA	NA	NA	NA	NA
