Gene	DE.2008Dataset	DE.2012Dataset	logFC.08	AveExpr.08	t.08	P.Value.08	adj.P.Val.08	B.08	logFC.12	AveExpr.12	t.12	P.Value.12	adj.P.Val.12	B.12	DE.fishercomb	DE.invnorm	HM_FC_08	HC_Meadow_FC_12	signFC	DE	DE.fishercomb_adjP	DE.invnorm_adj_P
A1CF	NA	NA	0.0800864979288525	6.90756954219365	0.281038172758804	0.782966867875609	0.948753415014056	-6.6354869665261	0.328655317265707	7.08335749285019	1.98555946169587	0.0615848374907507	0.332733354484846	-4.54131695284953	NA	NA	NA	NA	NA	NA	NA	NA
AAAS	NA	NA	-1.52309682554131	1.99782370527604	-2.06069803236514	0.0592635378665727	0.645156323554011	-3.95158034829101	-0.549149053337786	1.90092673391067	-2.00091381517438	0.0597751129893999	0.328606038792286	-4.23742025790681	NA	NA	NA	NA	NA	NA	NA	NA
AACS	NA	NA	2.97400397038041	1.48568488006528	2.35933494372493	0.0340647853913748	0.63866653638743	-3.48001510847799	0.873842909490673	1.82570673975414	2.64983636029161	0.0157350183868166	0.177538741470016	-3.07050969345326	NA	NA	NA	NA	NA	NA	NA	NA
AADAT	NA	NA	-1.81621730350788	4.07969658088396	-2.42958817875328	0.0298296437377659	0.63284343146154	-3.69974442999412	0.0547440881161387	4.84599427577422	0.372693942773475	0.71346782274925	0.91057847423405	-6.33244158477387	NA	NA	NA	NA	NA	NA	NA	NA
AAGAB	NA	NA	-0.398110682083081	5.98387981966436	-1.08780582112049	0.29582920916654	0.793836125982225	-6.02805157419803	0.0360732227653715	6.23410847616733	0.20033838452535	0.843327458974326	0.958358891191286	-6.37823953839968	NA	NA	NA	NA	NA	NA	NA	NA
AAK1	NA	NA	-0.0644359969610786	5.95234579282827	-0.270250385404829	0.791078543897198	0.951230637075982	-6.57405085794464	0.175070150716337	5.0272696634352	0.961595933417865	0.348234125570603	0.70379112846905	-5.95137153444627	NA	NA	NA	NA	NA	NA	NA	NA
AAMP	NA	NA	0.389359009291065	3.89014159872805	0.857761073595657	0.406080909152561	0.849651999702833	-5.92454692374801	0.336180965466582	3.78893208399525	2.23529189621675	0.0374954602843972	0.265650286991476	-4.07790831977082	NA	NA	NA	NA	NA	NA	NA	NA
AANAT	NA	NA	-0.715484673086788	0.698321877195886	-0.463410773689917	0.650494990715877	0.918774015560827	-5.3693155320733	-0.0325131526215978	2.04768532685803	-0.11636391285609	0.908575366976617	0.97711910090199	-6.05869018753542	NA	NA	NA	NA	NA	NA	NA	NA
AAR2	NA	NA	-0.299641112099264	1.72164307596177	-0.357369512970451	0.726371791057003	0.935060536741277	-5.5497043624033	-0.546492175282934	2.29556700671835	-2.88930791619463	0.00934261151517134	0.132050173139508	-2.66889369555601	NA	NA	NA	NA	NA	NA	NA	NA
AARS1	NA	NA	0.0726429738644425	6.89439716814513	0.178677198045106	0.860860048215814	0.968848048786664	-6.65671678563464	0.295377547568121	6.6500785288459	1.29179830040463	0.211795402604008	0.57810089937175	-5.55897800759457	NA	NA	NA	NA	NA	NA	NA	NA
AARS2	NA	NA	0.981525888334691	2.81545716209378	0.698319658849269	0.496898708545512	0.881548804493229	-5.51792865069228	-0.0758616783570951	3.66406115871857	-0.608361258443864	0.550093813417993	0.832533597169371	-6.12097772264373	NA	NA	NA	NA	NA	NA	NA	NA
AASDH	NA	NA	-0.505341282274641	0.429873669902066	-0.340553207004466	0.738711342426834	0.938161250995378	-5.37762583852959	-0.740670242416669	1.4037995915424	-4.16060343753249	0.00052295661981328	0.0297031492274189	-0.0499597335771886	NA	NA	NA	NA	NA	NA	NA	NA
AASDHPPT	NA	NA	0.957407067843618	1.05335867655223	0.890372482897007	0.3889470505911	0.840525094965459	-5.18144317548442	-0.0786497359595861	1.91072186029985	-0.319492592756388	0.752810950722606	0.926568343048034	-5.9696312994794	NA	NA	NA	NA	NA	NA	NA	NA
AASS	NA	NA	-0.0666009482619314	6.29052923104034	-0.192995876161711	0.84985201287861	0.967157251093226	-6.62194594297117	0.0753724307190939	6.43923029880452	0.452772232481636	0.655798780906242	0.883149702058416	-6.2870787096852	NA	NA	NA	NA	NA	NA	NA	NA
AATF	NA	NA	0.436597063973509	5.26136465625409	0.965007427483678	0.351607215881302	0.821611496766984	-6.06822580037672	0.126908704139872	4.84200333584995	0.57145894037697	0.574332899093685	0.845892469468664	-6.23945377798478	NA	NA	NA	NA	NA	NA	NA	NA
ABAT	NA	NA	0.112740212235581	4.65019388697444	0.127739589740297	0.900249134770117	0.978769090942168	-6.36858741338385	0.384590836707603	3.42618917749583	1.09068566951144	0.288940494221092	0.655304144602323	-5.7154254919311	NA	NA	NA	NA	NA	NA	NA	NA
ABCA1	NA	NA	0.555561255398039	7.52050169180716	1.85312283644322	0.0859742419036003	0.645156323554011	-5.06300293816599	0.185164315273361	7.24639816557047	1.11101367217767	0.280312965954568	0.647880146862015	-5.74687300969258	NA	NA	NA	NA	NA	NA	NA	NA
ABCA2	NA	NA	0.44157447659878	6.73822303556661	0.824347406675164	0.42414985789106	0.855699582069242	-6.29772738148199	0.427059372259829	6.60445783262977	0.880243607066894	0.389636942939707	0.734975904589477	-5.99532290757154	NA	NA	NA	NA	NA	NA	NA	NA
ABCA3	NA	NA	1.14972495348497	3.31294642357844	1.01322868836618	0.328868663637255	0.806790480260911	-5.54471482275464	0.790351413181371	2.04867984662095	1.97744168695164	0.0625612801257187	0.336121308076786	-4.27824002107123	NA	NA	NA	NA	NA	NA	NA	NA
ABCA5	NA	NA	1.44459430701106	1.92187936353895	1.21205991384467	0.246394774624472	0.767677758707194	-4.88762057877154	0.216673269599499	3.34672342074509	0.878282652785767	0.390673451707445	0.735528909327824	-5.86615638773243	NA	NA	NA	NA	NA	NA	NA	NA
ABCB1	NA	NA	-0.368024421445259	6.48338673053896	-0.615443678667749	0.548555771257412	0.896947681259889	-6.4435248800073	0.397650049786536	5.1670122520541	0.899962094308583	0.379314841764584	0.727427572292984	-6.00955421587826	NA	NA	NA	NA	NA	NA	NA	NA
ABCB10	NA	NA	-0.196545847670951	4.62895854648898	-0.400554450577716	0.695051156638361	0.928849992395557	-6.32291087258329	-0.110018433383743	5.31411535188369	-0.715484706232404	0.48293986422482	0.79540507974911	-6.15767575028654	NA	NA	NA	NA	NA	NA	NA	NA
