Gene	DE.2008Dataset	DE.2012Dataset	logFC.08	AveExpr.08	t.08	P.Value.08	adj.P.Val.08	B.08	logFC.12	AveExpr.12	t.12	P.Value.12	adj.P.Val.12	B.12	DE.fishercomb	DE.invnorm	H_FC_08	H_FC_12	signFC	DE	DE.fishercomb_adjP	DE.invnorm_adj_P
A1CF	NA	NA	-0.0458603922889633	6.90756954219365	-0.165523478975608	0.870754143542123	0.965772516081219	-6.75587561287404	0.399792697213847	7.08335749285019	3.42451647878641	0.00252890797898307	0.0385256448780069	-1.85439805742834	NA	NA	NA	NA	NA	NA	NA	NA
AAAS	NA	NA	-0.731766999479187	1.99782370527604	-1.64821161389214	0.120203037403482	0.569242124303065	-4.67833430317232	-0.339106972019364	1.90092673391067	-1.71320681512635	0.101302573199917	0.346884562232013	-4.87948709853948	NA	NA	NA	NA	NA	NA	NA	NA
AACS	0	1	2.22829812455103	1.48568488006528	3.03581265562083	0.00838312498504263	0.19737350302622	-2.39939114741885	0.734010552907087	1.82570673975414	3.26239215606651	0.00369917695309819	0.0489750666148257	-1.93261481472168	1	1	2.22829812455103	0.734010552907087	1	0	0.00919910206341832	0.00525822817928991
AADAT	NA	NA	-0.936556655459928	4.07969658088396	-1.79095310757116	0.0936077435316426	0.527456828256996	-4.96358019500039	0.137959967341635	4.84599427577422	1.25374015889775	0.223623715266326	0.530048160118578	-5.89378447462028	NA	NA	NA	NA	NA	NA	NA	NA
AAGAB	NA	NA	-0.173493055820338	5.98387981966436	-0.68850339246197	0.501702813588846	0.835294020025482	-6.48995500993767	0.00992008637606112	6.23410847616733	0.0814233280281428	0.935871224661581	0.977742535516635	-6.6685090743017	NA	NA	NA	NA	NA	NA	NA	NA
AAK1	NA	NA	0.0185382059718808	5.95234579282827	0.122954393593529	0.903784318641077	0.976149511084408	-6.72481969505261	0.176721254084573	5.0272696634352	1.43201124692786	0.166760369346491	0.4560389668912	-5.67284746431892	NA	NA	NA	NA	NA	NA	NA	NA
AAMP	0	1	0.497643676914165	3.89014159872805	1.69638753709398	0.110572233197834	0.550361030883408	-5.08921433372382	0.41218140443094	3.78893208399525	3.88469555000077	0.000847063908081923	0.019129857993005	-0.767189967901126	1	1	0.497643676914165	0.41218140443094	1	0	0.0176317255332736	0.0132586692432603
AANAT	NA	NA	-0.688391602758317	0.698321877195886	-0.726466131797674	0.478797197160433	0.827177908289093	-5.41641048011974	-0.0668210016615283	2.04768532685803	-0.346740109492874	0.732214078566749	0.894713276944623	-6.23339840392643	NA	NA	NA	NA	NA	NA	NA	NA
AAR2	NA	NA	-0.23577501840486	1.72164307596177	-0.503955706081589	0.621652775530781	0.88357692334461	-5.73560315813115	-0.480675355059072	2.29556700671835	-3.64287589144744	0.00150810967554427	0.0277596055201268	-1.15688233005562	NA	NA	NA	NA	NA	NA	NA	NA
AARS1	NA	NA	0.213069478997553	6.89439716814513	0.714023257109047	0.486234810915948	0.830539905129242	-6.50488549202815	0.0623449645569396	6.6500785288459	0.346594281452111	0.732322071192411	0.894713276944623	-6.59490236500723	NA	NA	NA	NA	NA	NA	NA	NA
