Gene	DE.2008Dataset	DE.2012Dataset	logFC.08	AveExpr.08	t.08	P.Value.08	adj.P.Val.08	B.08	logFC.12	AveExpr.12	t.12	P.Value.12	adj.P.Val.12	B.12	DE.fishercomb	DE.invnorm	I_FC_08	I_FC_12	signFC	DE	DE.fishercomb_adjP	DE.invnorm_adj_P
A1CF	NA	NA	0.268250317670977	6.90756954219365	0.665829457723544	0.516800471490906	0.999381634987826	-4.78574499455812	-0.143306491712246	7.08335749285019	-0.611481564050418	0.548069441567259	0.999904720550955	-4.63948222605498	NA	NA	NA	NA	NA	NA	NA	NA
AAAS	NA	NA	-1.34614887023811	1.99782370527604	-1.48625385715566	0.160320419283601	0.999381634987826	-4.53836761887988	-0.446178475042048	1.90092673391067	-1.12059426626621	0.276312920715453	0.999904720550955	-4.58827736909744	NA	NA	NA	NA	NA	NA	NA	NA
AACS	NA	NA	1.18620879425558	1.48568488006528	0.787271006370803	0.444803439605708	0.999381634987826	-4.61458624707568	0.290039202207385	1.82570673975414	0.616614016205317	0.544748310197488	0.999904720550955	-4.61535992155198	NA	NA	NA	NA	NA	NA	NA	NA
AADAT	NA	NA	-1.57290179262553	4.07969658088396	-1.70176168403813	0.111836088046684	0.999381634987826	-4.39015494631658	-0.165567273189862	4.84599427577422	-0.799184082616981	0.433981467646946	0.999904720550955	-4.62464899684211	NA	NA	NA	NA	NA	NA	NA	NA
AAGAB	NA	NA	-0.407776242867625	5.98387981966436	-0.800276677831264	0.437486600942823	0.999381634987826	-4.73168520137614	0.0528758767115755	6.23410847616733	0.208346552781521	0.837157576333431	0.999904720550955	-4.66625242433214	NA	NA	NA	NA	NA	NA	NA	NA
AAK1	NA	NA	-0.154461943461454	5.95234579282827	-0.469150807013204	0.646491400733776	0.999381634987826	-4.82117491645673	-0.00375907329057952	5.0272696634352	-0.0145757649868335	0.988521367549821	0.999904720550955	-4.67081648975743	NA	NA	NA	NA	NA	NA	NA	NA
AAMP	NA	NA	-0.0579968554010252	3.89014159872805	-0.0953093975986276	0.925477377987611	0.999381634987826	-4.76469567084055	-0.15889232556298	3.78893208399525	-0.736237057251137	0.470506655680054	0.999904720550955	-4.62536203393357	NA	NA	NA	NA	NA	NA	NA	NA
AANAT	NA	NA	-0.34239528406264	0.698321877195886	-0.181541602956011	0.858655433275413	0.999381634987826	-4.63190555306273	0.0648978390403497	2.04768532685803	0.159462475317756	0.874973793863014	0.999904720550955	-4.63033058087107	NA	NA	NA	NA	NA	NA	NA	NA
AAR2	NA	NA	-0.248033716403043	1.72164307596177	-0.243982730910426	0.810934018659624	0.999381634987826	-4.64552501098628	-0.141136786837048	2.29556700671835	-0.518100798441542	0.610320262337075	0.999904720550955	-4.6241317767217	NA	NA	NA	NA	NA	NA	NA	NA
AARS1	NA	NA	-0.256911339281269	6.89439716814513	-0.448415576647802	0.661006876184187	0.999381634987826	-4.84133374630117	0.467982397560303	6.6500785288459	1.46252674284463	0.159810131447727	0.999904720550955	-4.53040126982848	NA	NA	NA	NA	NA	NA	NA	NA
