GarterSnakeGenome_GeneID,Category_I,Category_2
ADRB2,behavior,
AVPR2,behavior,
CCKAR,behavior,
DRD4,behavior,
EDA,behavior,
LOC116510561,behavior,
LOC116510618,behavior,
SLC6A12,behavior,
KITLG,color,
LOC116516483,color,
MC1R,color,
MITF,color,
OCA2,color,
PMEL,color,
POMC,color,
SOX10,color,
TYRP1,color,
GHR,growth,
LOC116519949,growth,
TSHB,growth,
TSHR,growth,
VIPR1,growth,
AKT1,hypoxia,
AKT2,hypoxia,
AKT3,hypoxia,
ARNT,hypoxia,
CREBBP,hypoxia,
EP300,hypoxia,
HIF1A,hypoxia,
HIF1AN,hypoxia,
LOC116506478,hypoxia,
LOC116506537,hypoxia,
LOC116510063,hypoxia,
LOC116512631,hypoxia,
PIK3C2A,hypoxia,
PIK3C2B,hypoxia,
PIK3CA,hypoxia,
PIK3CB,hypoxia,
PIK3CD,hypoxia,
PIK3R1,hypoxia,
PIK3R2,hypoxia,
RORC,hypoxia,
TXN2,hypoxia,
VHL,hypoxia,
IGF1,IILS,IIS_Top
IGF1R,IILS,IIS_Top
IGF2,IILS,IIS_Top
IGF2R,IILS,IIS_Top
IGFBP1,IILS,IIS_Top
IGFBP2,IILS,IIS_Top
IGFBP3,IILS,IIS_Top
IGFBP4,IILS,IIS_Top
IGFBP7,IILS,IIS_Top
INSR,IILS,IIS_Top
MTOR,IILS,MTOR
NRF1,IILS,MTOR
RHEB,IILS,MTOR
RPTOR,IILS,MTOR
SIRT1,IILS,MTOR
SIRT2,IILS,MTOR
SIRT3,IILS,MTOR
SIRT4,IILS,MTOR
SIRT5,IILS,MTOR
SIRT6,IILS,MTOR
SIRT7,IILS,MTOR
CCN2,IILS,
FOS,IILS,
FOXA1,IILS,
FOXA3,IILS,
FOXF1,IILS,
FOXJ1,IILS,
FOXJ2,IILS,
FOXN2,IILS,
FOXN3,IILS,
FOXO1,IILS,
FOXO3,IILS,
FOXO4,IILS,
FOXP4,IILS,
GSK3A,IILS,
GSK3B,IILS,
IRS4,IILS,
KL,IILS,
MAP2K1,IILS,
MAP2K3,IILS,
MAP3K1,IILS,
MDM4,IILS,
PDK2,IILS,
PDK3,IILS,
PDK4,IILS,
PDPK1,IILS,
PIK3R5,IILS,
PIK3R6,IILS,
PTEN,IILS,
RAF1,IILS,
RASA1,IILS,
RPS6KA1,IILS,
RPS6KA3,IILS,
RPS6KA4,IILS,
RPS6KA5,IILS,
RPS6KA6,IILS,
RPS6KB1,IILS,
RPS6KB2,IILS,
TSC1,IILS,
TSC2,IILS,
LOC116503377,immune,MHC
LOC116503386,immune,MHC
LOC116503390,immune,MHC
LOC116503394,immune,MHC
LOC116503405,immune,MHC
CD74,immune,
AACS,metabolism,Lipid Metabolism
DECR1,metabolism,Lipid Metabolism
LEPR,metabolism,Lipid Metabolism
LOC116502538,metabolism,Lipid Metabolism
LOC116507994,metabolism,Lipid Metabolism
LOC116509327,metabolism,Lipid Metabolism
LOC116513013,metabolism,Lipid Metabolism
LOC116515748,metabolism,Lipid Metabolism
LOC116515749,metabolism,Lipid Metabolism
LOC116517450,metabolism,Lipid Metabolism
LOC116519097,metabolism,Lipid Metabolism
GAPDH,metabolism,
LOC116505343,metabolsim,
LOC116509867,oxidative_phosporylation,ETC complex i
LOC116511712,oxidative_phosporylation,ETC complex i
NDUFA10,oxidative_phosporylation,ETC complex i
NDUFA11,oxidative_phosporylation,ETC complex i
NDUFA13,oxidative_phosporylation,ETC complex i
NDUFA2,oxidative_phosporylation,ETC complex i
NDUFA3,oxidative_phosporylation,ETC complex i
NDUFA4,oxidative_phosporylation,ETC complex i
NDUFA5,oxidative_phosporylation,ETC complex i
NDUFA7,oxidative_phosporylation,ETC complex i
NDUFAF1,oxidative_phosporylation,ETC complex i
NDUFB1,oxidative_phosporylation,ETC complex i
NDUFB10,oxidative_phosporylation,ETC complex i
NDUFB11,oxidative_phosporylation,ETC complex i
NDUFB2,oxidative_phosporylation,ETC complex i
NDUFB3,oxidative_phosporylation,ETC complex i
NDUFB4,oxidative_phosporylation,ETC complex i
NDUFB5,oxidative_phosporylation,ETC complex i
NDUFB6,oxidative_phosporylation,ETC complex i
NDUFB7,oxidative_phosporylation,ETC complex i
NDUFB9,oxidative_phosporylation,ETC complex i
NDUFS1,oxidative_phosporylation,ETC complex i
NDUFS2,oxidative_phosporylation,ETC complex i
NDUFS3,oxidative_phosporylation,ETC complex i
NDUFS4,oxidative_phosporylation,ETC complex i
NDUFS5,oxidative_phosporylation,ETC complex i
NDUFS6,oxidative_phosporylation,ETC complex i
NDUFS8,oxidative_phosporylation,ETC complex i
NDUFV1,oxidative_phosporylation,ETC complex i
