scaffold,start,end,mid,sites,pi_Meadow,pi_Lake,dxy_Meadow_Lake,Fst_Meadow_Lake,INFO
NC_045541.1,4707892,4707892,4707892,1,0.3655,0.3595,0.361,-0.0021,NDUFS1
NC_045541.1,4714423,4714423,4714423,1,0.2164,0.2197,0.2171,-0.0021,NDUFS1
NC_045541.1,4714483,4714483,4714483,1,0.4824,0.492,0.486,-0.0014,NDUFS1
NC_045541.1,4714490,4714490,4714490,1,0.4821,0.492,0.4858,-0.0013,NDUFS1
NC_045541.1,7270042,7270042,7270042,1,0.0,0.1218,0.0648,0.0295,WDR12
NC_045541.1,8245985,8245985,8245985,1,0.0435,0.0,0.0221,0.0039,NDUFB3
NC_045541.1,8246061,8246061,8246061,1,0.162,0.207,0.1845,0.0006,NDUFB3
NC_045541.1,34955839,34955839,34955839,1,0.0312,0.0,0.0158,-0.0056,NR4A2
NC_045541.1,34960404,34960404,34960404,1,0.1055,0.0372,0.0723,0.0025,NR4A2
NC_045541.1,69283845,69283845,69283845,1,0.0297,0.0887,0.0599,0.0124,GSTP1
NC_045541.1,69294592,69294592,69294592,1,0.4388,0.4475,0.4412,-0.0022,NDUFV1
NC_045541.1,69294608,69294608,69294608,1,0.1732,0.1215,0.1476,-0.0035,NDUFV1
NC_045541.1,69294623,69294623,69294623,1,0.4842,0.4803,0.4801,-0.0022,NDUFV1
NC_045541.1,69298519,69298519,69298519,1,0.017,0.1623,0.0957,0.0353,NDUFV1
NC_045541.1,69298625,69298625,69298625,1,0.0,0.1045,0.055,0.0287,NDUFV1
NC_045541.1,71969916,71969916,71969916,1,0.0412,0.1275,0.0858,0.0456,LOC116505343
NC_045541.1,71969928,71969928,71969928,1,0.0233,0.1421,0.0861,0.1018,LOC116505343
NC_045541.1,71969934,71969934,71969934,1,0.0222,0.1203,0.0733,0.0612,LOC116505343
NC_045541.1,71974481,71974481,71974481,1,0.0,0.0942,0.049,0.0539,LOC116505343
NC_045541.1,71974482,71974482,71974482,1,0.0,0.096,0.05,0.0554,LOC116505343
NC_045541.1,71974532,71974532,71974532,1,0.02,0.0768,0.0489,0.0539,LOC116505343
NC_045541.1,72506088,72506088,72506088,1,0.0173,0.025,0.0211,-0.0032,SIRT3
NC_045541.1,76374219,76374219,76374219,1,0.0205,0.0099,0.0152,-0.0,DRD4
NC_045541.1,76374313,76374313,76374313,1,0.0,0.0553,0.0283,0.0017,DRD4
NC_045541.1,76398381,76398381,76398381,1,0.4791,0.5022,0.502,0.0116,DRD4
NC_045541.1,76398576,76398576,76398576,1,0.4816,0.5022,0.5019,0.0105,DRD4
NC_045541.1,80157313,80157313,80157313,1,0.2014,0.4748,0.4097,0.0939,IGF2
NC_045541.1,80174077,80174077,80174077,1,0.2515,0.1464,0.202,-0.0065,IGF2
NC_045541.1,83037665,83037665,83037665,1,0.2454,0.2119,0.2268,-0.0219,LOC116512145
NC_045541.1,83040297,83040297,83040297,1,0.4694,0.3239,0.4217,0.0205,LOC116512145
NC_045541.1,83040340,83040340,83040340,1,0.1337,0.2047,0.1699,0.0134,LOC116512145
NC_045541.1,83040392,83040392,83040392,1,0.4463,0.4639,0.5475,0.0927,LOC116512145
NC_045541.1,83040469,83040469,83040469,1,0.461,0.3741,0.4257,0.0003,LOC116512145
NC_045541.1,83042299,83042299,83042299,1,0.0639,0.1196,0.092,0.0164,LOC116512145
NC_045541.1,83042321,83042321,83042321,1,0.4828,0.3888,0.4506,0.0118,LOC116512145
NC_045541.1,83042344,83042344,83042344,1,0.4662,0.3254,0.4185,0.017,LOC116512145
NC_045541.1,83042362,83042362,83042362,1,0.502,0.4151,0.4867,0.0248,LOC116512145
NC_045541.1,83042404,83042404,83042404,1,0.458,0.3058,0.4049,0.0168,LOC116512145
NC_045541.1,83042438,83042438,83042438,1,0.3789,0.3094,0.3447,-0.0129,LOC116512145
NC_045541.1,83042446,83042446,83042446,1,0.3417,0.28,0.3105,-0.0087,LOC116512145
NC_045541.1,83044081,83044081,83044081,1,0.5042,0.5033,0.5,-0.0038,LOC116512145
NC_045541.1,83044096,83044096,83044096,1,0.2762,0.4608,0.4017,0.0558,LOC116512145
NC_045541.1,83044138,83044138,83044138,1,0.4705,0.3254,0.4233,0.0198,LOC116512145
NC_045541.1,83044209,83044209,83044209,1,0.502,0.495,0.4954,-0.0029,LOC116512145
NC_045541.1,83044210,83044210,83044210,1,0.2266,0.1385,0.1842,-0.0111,LOC116512145
NC_045541.1,83044306,83044306,83044306,1,0.4846,0.3779,0.4508,0.0206,LOC116512145
NC_045541.1,83044349,83044349,83044349,1,0.1182,0.1643,0.1409,0.009,LOC116512145
NC_045541.1,83044359,83044359,83044359,1,0.1224,0.1126,0.1164,-0.0052,LOC116512145
NC_045541.1,83046750,83046750,83046750,1,0.1108,0.0411,0.0767,-0.026,LOC116512145
NC_045541.1,83046762,83046762,83046762,1,nan,nan,nan,nan,LOC116512145
NC_045541.1,83046765,83046765,83046765,1,0.0928,0.1421,0.1174,0.0099,LOC116512145
NC_045541.1,83046788,83046788,83046788,1,0.4536,0.3172,0.4037,0.0094,LOC116512145
NC_045541.1,83046789,83046789,83046789,1,0.4573,0.3172,0.4072,0.0096,LOC116512145
NC_045541.1,83049321,83049321,83049321,1,0.0695,0.0575,0.063,-0.0107,LOC116512145
NC_045541.1,83049432,83049432,83049432,1,0.4805,0.3877,0.4481,0.0081,LOC116512145
NC_045541.1,83052644,83052644,83052644,1,0.1361,0.1666,0.1504,0.0036,LOC116512145
NC_045541.1,83052649,83052649,83052649,1,0.1491,0.1927,0.1703,0.009,LOC116512145
NC_045541.1,83052689,83052689,83052689,1,0.5519,0.402,0.5196,0.0303,LOC116512145
NC_045541.1,83052964,83052964,83052964,1,0.4984,0.4207,0.5225,0.0563,LOC116512145
NC_045541.1,83066245,83066245,83066245,1,0.5042,0.3783,0.5098,0.0675,LOC116512145
NC_045541.1,83067992,83067992,83067992,1,0.3109,0.1589,0.2434,0.0022,LOC116512145
NC_045541.1,83068063,83068063,83068063,1,0.5005,0.3965,0.5206,0.0695,LOC116512145
NC_045541.1,83069308,83069308,83069308,1,0.5047,0.3927,0.4955,0.0385,LOC116512145
NC_045541.1,83069366,83069366,83069366,1,0.1039,0.1144,0.1081,-0.0003,LOC116512145
NC_045541.1,83073356,83073356,83073356,1,0.0,0.0757,0.0391,0.0459,LOC116512145
NC_045541.1,83073529,83073529,83073529,1,0.4957,0.4013,0.5304,0.078,LOC116512145
NC_045541.1,83108112,83108112,83108112,1,0.3977,0.4073,0.3973,-0.0034,LOC116512145
NC_045541.1,83109623,83109623,83109623,1,0.6078,0.4722,0.5793,0.0282,LOC116512145
NC_045541.1,83275041,83275041,83275041,1,0.2688,0.1245,0.2043,0.0235,PIK3C2A
NC_045541.1,83275160,83275160,83275160,1,0.1762,0.0717,0.1269,0.0126,PIK3C2A
NC_045541.1,83275499,83275499,83275499,1,0.0935,0.204,0.1523,0.0104,PIK3C2A
NC_045541.1,83275547,83275547,83275547,1,0.0428,0.0123,0.0276,-0.031,PIK3C2A
NC_045541.1,83288404,83288404,83288404,1,0.0937,0.2017,0.1511,0.0094,PIK3C2A
NC_045541.1,83288816,83288816,83288816,1,0.2879,0.4013,0.3534,0.0133,PIK3C2A
NC_045541.1,83291416,83291416,83291416,1,0.0568,0.0093,0.0335,0.0075,PIK3C2A
NC_045541.1,83291589,83291589,83291589,1,0.0954,0.1917,0.1462,0.0109,PIK3C2A
