start,scaffold.x,end.x,mid.x,dxy_Meadow_Lake,within,between,l_v_l_mean,l_v_m_mean,m_v_m_mean,mean_diff
147,NC_045554.1,147,147,0.0287,0.280666942102609,0.983271674412415,0.0166666666666667,0.0221972222222222,0.0280333333333333,-0.000152777777777776
5543,NW_022473598.1,5543,5543,0.5,0.935329692511231,0.456590539968009,0.4625,0.4997625,0.46785,0.0336958333333333
5728,NC_045554.1,5728,5728,0.0172,0.85983003549898,0.981059359513991,0.0227133333333333,0.0233833333333333,0.02436,-0.000153333333333335
5746,NC_045554.1,5746,5746,0.019,1,0.987632735500935,0.0115,0.0114333333333333,0.0115,-6.6666666666668e-05
5832,NC_045554.1,5832,5832,0.0556,NA,NA,0.121606666666667,0.0626833333333333,0,NA
16395,NW_022473751.1,16395,16395,NA,NA,NA,0.5,0.433333333333333,0.375,NA
16422,NW_022473751.1,16422,16422,NA,NA,NA,0.275,0.253333333333333,0.34,NA
18050,NW_022473647.1,18050,18050,0.1276,NA,NA,0.25,0.15,0.05,NA
18089,NW_022473647.1,18089,18089,0.1827,NA,NA,0.25,0.166666666666667,0.111133333333333,NA
23751,NW_022473751.1,23751,23751,0.4026,NA,NA,0.4375,0.40625,0.44,NA
23753,NW_022473781.1,23753,23753,NA,NA,NA,NA,NA,0.3333,NA
23848,NW_022473751.1,23848,23848,NA,NA,NA,NA,0.5,0.5,NA
24333,NW_022473751.1,24333,24333,NA,NA,NA,0.5,0.52,0.46,NA
29271,NC_045554.1,29271,29271,0.2299,0.406195458396434,0.845294285117984,0.278053333333333,0.248802777777778,0.233626666666667,-0.00703722222222222
30333,NC_045554.1,30333,30333,0.2119,0.0104868696710741,0.992428061657977,0.190173333333333,0.238830555555556,0.28698,0.000253888888888887
30375,NC_045554.1,30375,30375,0.02,NA,NA,0.02,0.01,0,NA
36018,NC_045553.1,36018,36018,0.3529,0.0330960415906819,0.957505806052296,0.33312,0.363813888888889,0.396726666666667,-0.00110944444444444
36797,NC_045553.1,36797,36797,0.4918,0.759025925020232,0.660835364487868,0.499486666666667,0.498066666666667,0.502866666666667,-0.00311000000000006
37713,NW_022473609.1,37713,37713,0.0634,0.17805618531197,0.641147456922662,0.0889,0.0567333333333333,0.025,0.0104333333333333
37725,NW_022473609.1,37725,37725,0.4895,0.0307830010763732,0.327143884645662,0.513466666666667,0.489866666666667,0.440966666666667,0.0247333333333333
37737,NW_022473609.1,37737,37737,0.0339,NA,NA,0,0.028375,0.0557833333333333,NA
37923,NC_045553.1,37923,37923,0.4847,0.0631212944784934,0.847537508677223,0.504713333333333,0.490008333333333,0.478753333333333,-0.00172500000000003
41261,NC_045554.1,41261,41261,0.0698,0.00728704516875225,0.98765589224982,0.0238,0.0605638888888889,0.0967533333333333,0.000287222222222223
43512,NC_045554.1,43512,43512,0.0289,0.0235832541601635,0.997113238915556,0.0162,0.0294277777777778,0.0427133333333333,-2.88888888888908e-05
47167,NC_045554.1,47167,47167,0.0785,0.597372241819424,0.946223661433059,0.0974533333333333,0.0899305555555556,0.0846666666666667,-0.00112944444444445
48630,NC_045554.1,48630,48630,0.0211,NA,NA,0.0257466666666667,0.0129666666666667,0,NA
