INFO,scaffold,start,end,mid,sites,pi_Meadow,pi_Lake,dxy_Meadow_Lake,Fst_Meadow_Lake,Category_I,Category_2
AACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,metabolism,Lipid Metabolism
ADRB2,NC_045542.1,76463223,76463223,76463223,1,0.3025,0.2066,0.2581,0.0075,behavior,
AIFM1,NC_045552.1,47617312,47617312,47617312,1,0.1879,0.0655,0.1309,-0.0237,oxidative_stress,
AIFM1,NC_045552.1,47605212,47605212,47605212,1,0.0291,0.0636,0.0465,8e-04,oxidative_stress,
AIFM1,NC_045552.1,47601722,47601722,47601722,1,0.2028,0.131,0.168,0.0025,oxidative_stress,
AIFM1,NC_045552.1,47607100,47607100,47607100,1,0.0288,0,0.0146,0.0061,oxidative_stress,
AIFM1,NC_045552.1,47613460,47613460,47613460,1,0.0172,0.0185,0.0177,-0.0067,oxidative_stress,
AIFM1,NC_045552.1,47609094,47609094,47609094,1,0.0097,0.0184,0.014,-0.002,oxidative_stress,
AIFM2,NC_045555.1,13459250,13459250,13459250,1,0.248,0.0824,0.1747,0.0378,oxidative_stress,
AIFM2,NC_045555.1,13463911,13463911,13463911,1,0.1083,0.1045,0.1059,-0.0022,oxidative_stress,
AIFM2,NC_045555.1,13463956,13463956,13463956,1,0.1089,0.0977,0.1029,-0.0016,oxidative_stress,
AIFM2,NC_045555.1,13464887,13464887,13464887,1,0.4888,0.5019,0.4977,0.0025,oxidative_stress,
AIFM2,NC_045555.1,13465837,13465837,13465837,1,0.1765,0.1121,0.1451,0.0035,oxidative_stress,
AKT1,NA,NA,NA,NA,NA,NA,NA,NA,NA,hypoxia,
AKT2,NC_045552.1,245814,245814,245814,1,0.2335,0.3723,0.314,0.0203,hypoxia,
AKT2,NC_045552.1,246277,246277,246277,1,0.4333,0.4896,0.4702,0.0124,hypoxia,
AKT2,NC_045552.1,248465,248465,248465,1,0.0288,0.0093,0.0191,8e-04,hypoxia,
AKT2,NC_045552.1,245871,245871,245871,1,0.3624,0.4765,0.4403,0.0251,hypoxia,
AKT2,NC_045552.1,245823,245823,245823,1,0,0.0273,0.0138,0.0126,hypoxia,
AKT3,NA,NA,NA,NA,NA,NA,NA,NA,NA,hypoxia,
ALCAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,random,
ALPK1,NC_045549.1,26343982,26343982,26343982,1,0.0288,0,0.0146,0.0061,oxidative_stress,
ALPK1,NC_045549.1,26343713,26343713,26343713,1,0.1197,0.0749,0.0975,5e-04,oxidative_stress,
ALPK1,NC_045549.1,26335775,26335775,26335775,1,0.2927,0.3058,0.2968,-0.0021,oxidative_stress,
ALPK1,NC_045549.1,26342544,26342544,26342544,1,0.0484,0.0149,0.0317,-0.0113,oxidative_stress,
ALPK1,NC_045549.1,26343575,26343575,26343575,1,0.3375,0.2998,0.3182,-6e-04,oxidative_stress,
ALPK1,NC_045549.1,26343573,26343573,26343573,1,0.0359,0.0755,0.0559,8e-04,oxidative_stress,
ALPK1,NC_045549.1,26342803,26342803,26342803,1,0.0508,0.085,0.0677,0.012,oxidative_stress,
ALPK1,NC_045549.1,26345741,26345741,26345741,1,0.1747,0.0624,0.1221,0.0155,oxidative_stress,
AMDHD1,NC_045547.1,37669539,37669539,37669539,1,0.0099,0.0286,0.0192,-0.005,random,
AMDHD1,NC_045547.1,37676659,37676659,37676659,1,0.3095,0.4964,0.467,0.076,random,
ARNT,NC_045557.1,1725969,1725969,1725969,1,NA,0.4092,NA,NA,hypoxia,
ATF2,NA,NA,NA,NA,NA,NA,NA,NA,NA,oxidative_stress,
ATP5F1A,NC_045543.1,142028025,142028025,142028025,1,0.31,0.3374,0.3229,-0.0012,oxphos,ETC complex v
ATP5F1A,NC_045543.1,142028312,142028312,142028312,1,0.2416,0.3531,0.3038,0.01,oxphos,ETC complex v
ATP5F1A,NC_045543.1,142028022,142028022,142028022,1,0,0.1457,0.0787,0.0368,oxphos,ETC complex v
ATP5F1B,NC_045542.1,28184573,28184573,28184573,1,0,0.0242,0.0122,1e-04,oxphos,ETC complex v
ATP5F1B,NC_045542.1,28186394,28186394,28186394,1,0.0503,0.2967,0.1964,0.1174,oxphos,ETC complex v
