NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PRKAR2B	5	2.4139211177825928	0.054403204	Yes	
row_1	PIK3R1	147	1.39494788646698	0.07267685	Yes	
row_2	TRIP10	187	1.3116956949234009	0.09878041	Yes	
row_3	PHKA1	275	1.1563307046890259	0.11677643	Yes	
row_4	SHC4	311	1.1167932748794556	0.13883021	Yes	
row_5	SH2B2	333	1.0996527671813965	0.16182879	Yes	
row_6	TSC2	396	1.0350393056869507	0.17945027	Yes	
row_7	SOS2	408	1.0211806297302246	0.20161802	Yes	
row_8	ELK1	573	0.8901505470275879	0.20622288	Yes	
row_9	PIK3CG	676	0.8178993463516235	0.21509497	Yes	
row_10	CBL	748	0.7820777893066406	0.22610758	Yes	
row_11	PDE3A	771	0.771704375743866	0.24155502	Yes	
row_12	PTPN1	882	0.7254185080528259	0.24756202	Yes	
row_13	MKNK2	900	0.7194779515266418	0.2622987	Yes	
row_14	PRKAR1A	918	0.7119863629341125	0.2768651	Yes	
row_15	ACACA	949	0.6971365809440613	0.2898547	Yes	
row_16	MAP2K2	1030	0.6640381813049316	0.29732582	Yes	
row_17	SOCS3	1032	0.6637046337127686	0.31231964	Yes	
row_18	CRK	1108	0.6354383826255798	0.31961715	Yes	
row_19	PPARGC1A	1342	0.5693849325180054	0.31035244	Yes	
row_20	BAD	1454	0.5334300398826599	0.31189933	Yes	
row_21	HK2	1475	0.5282678604125977	0.32200295	Yes	
row_22	PIK3R2	1523	0.5142472386360168	0.3292142	Yes	
row_23	ARAF	1529	0.5115087628364563	0.3403666	Yes	
row_24	CBLB	1638	0.4851055145263672	0.3411008	Yes	
row_25	RAPGEF1	1683	0.4768863320350647	0.3477486	Yes	
row_26	INPP5K	1700	0.4715863764286041	0.35694486	Yes	
row_27	MAPK1	1734	0.46316593885421753	0.36432925	Yes	
row_28	PRKACA	1743	0.4612772464752197	0.37405372	Yes	
row_29	PPP1R3C	1784	0.45195725560188293	0.38051602	Yes	
row_30	PRKX	1949	0.4182180166244507	0.37439165	Yes	
row_31	NRAS	1967	0.4148879647254944	0.38220358	Yes	
row_32	PRKAG3	2018	0.40279221534729004	0.38659495	Yes	
row_33	MAPK9	2069	0.3941324055194855	0.39078945	Yes	
row_34	PCK1	2070	0.3940528333187103	0.39974812	Yes	
row_35	SREBF1	2126	0.38390013575553894	0.4032334	Yes	
row_36	EXOC7	2244	0.36335185170173645	0.4003417	Yes	
row_37	GYS2	2248	0.3629305958747864	0.40830684	Yes	
row_38	LIPE	2253	0.3618432581424713	0.41615197	Yes	
row_39	PIK3CB	2384	0.33783653378486633	0.411441	Yes	
row_40	PKLR	2402	0.33446693420410156	0.4174246	Yes	
row_41	INSR	2435	0.3298531174659729	0.42187348	Yes	
row_42	PRKCI	2461	0.3241185247898102	0.4268592	Yes	
row_43	FOXO1	2530	0.31355246901512146	0.427506	Yes	
