INFO,scaffold,start,end,mid,sites,pi_MAH,pi_MER,pi_PVM,pi_SUM,pi_STO,pi_CHR,pi_RON,pi_ROC,pi_ELF,pi_NAM,pi_MAR,pi_PAP,dxy_MAH_MER,dxy_MAH_PVM,dxy_MAH_SUM,dxy_MAH_STO,dxy_MAH_CHR,dxy_MAH_RON,dxy_MAH_ROC,dxy_MAH_ELF,dxy_MAH_NAM,dxy_MAH_MAR,dxy_MAH_PAP,dxy_MER_PVM,dxy_MER_SUM,dxy_MER_STO,dxy_MER_CHR,dxy_MER_RON,dxy_MER_ROC,dxy_MER_ELF,dxy_MER_NAM,dxy_MER_MAR,dxy_MER_PAP,dxy_PVM_SUM,dxy_PVM_STO,dxy_PVM_CHR,dxy_PVM_RON,dxy_PVM_ROC,dxy_PVM_ELF,dxy_PVM_NAM,dxy_PVM_MAR,dxy_PVM_PAP,dxy_SUM_STO,dxy_SUM_CHR,dxy_SUM_RON,dxy_SUM_ROC,dxy_SUM_ELF,dxy_SUM_NAM,dxy_SUM_MAR,dxy_SUM_PAP,dxy_STO_CHR,dxy_STO_RON,dxy_STO_ROC,dxy_STO_ELF,dxy_STO_NAM,dxy_STO_MAR,dxy_STO_PAP,dxy_CHR_RON,dxy_CHR_ROC,dxy_CHR_ELF,dxy_CHR_NAM,dxy_CHR_MAR,dxy_CHR_PAP,dxy_RON_ROC,dxy_RON_ELF,dxy_RON_NAM,dxy_RON_MAR,dxy_RON_PAP,dxy_ROC_ELF,dxy_ROC_NAM,dxy_ROC_MAR,dxy_ROC_PAP,dxy_ELF_NAM,dxy_ELF_MAR,dxy_ELF_PAP,dxy_NAM_MAR,dxy_NAM_PAP,dxy_MAR_PAP,Fst_MAH_MER,Fst_MAH_PVM,Fst_MAH_SUM,Fst_MAH_STO,Fst_MAH_CHR,Fst_MAH_RON,Fst_MAH_ROC,Fst_MAH_ELF,Fst_MAH_NAM,Fst_MAH_MAR,Fst_MAH_PAP,Fst_MER_PVM,Fst_MER_SUM,Fst_MER_STO,Fst_MER_CHR,Fst_MER_RON,Fst_MER_ROC,Fst_MER_ELF,Fst_MER_NAM,Fst_MER_MAR,Fst_MER_PAP,Fst_PVM_SUM,Fst_PVM_STO,Fst_PVM_CHR,Fst_PVM_RON,Fst_PVM_ROC,Fst_PVM_ELF,Fst_PVM_NAM,Fst_PVM_MAR,Fst_PVM_PAP,Fst_SUM_STO,Fst_SUM_CHR,Fst_SUM_RON,Fst_SUM_ROC,Fst_SUM_ELF,Fst_SUM_NAM,Fst_SUM_MAR,Fst_SUM_PAP,Fst_STO_CHR,Fst_STO_RON,Fst_STO_ROC,Fst_STO_ELF,Fst_STO_NAM,Fst_STO_MAR,Fst_STO_PAP,Fst_CHR_RON,Fst_CHR_ROC,Fst_CHR_ELF,Fst_CHR_NAM,Fst_CHR_MAR,Fst_CHR_PAP,Fst_RON_ROC,Fst_RON_ELF,Fst_RON_NAM,Fst_RON_MAR,Fst_RON_PAP,Fst_ROC_ELF,Fst_ROC_NAM,Fst_ROC_MAR,Fst_ROC_PAP,Fst_ELF_NAM,Fst_ELF_MAR,Fst_ELF_PAP,Fst_NAM_MAR,Fst_NAM_PAP,Fst_MAR_PAP,Category_I,Category_2
AACS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,metabolism,Lipid Metabolism
ADRB2,NC_045542.1,76463223,76463223,76463223,1,0.1383,0.4945,0.4667,0.3254,0.2668,0.1895,0.5229,0.2468,0.1448,0.3556,0.1156,0.2747,0.3782,0.3294,0.2441,0.2059,0.1588,0.5474,0.1898,0.1391,0.2441,0.1252,0.2106,0.4429,0.4143,0.4015,0.3857,0.5159,0.3961,0.3791,0.4143,0.3745,0.4031,0.38,0.3621,0.34,0.5222,0.3545,0.3308,0.38,0.3242,0.3643,0.2931,0.26,0.5333,0.2818,0.2462,0.32,0.2364,0.2964,0.2241,0.5383,0.2492,0.2082,0.2931,0.197,0.266,0.5444,0.2091,0.1615,0.26,0.1485,0.2286,0.5404,0.547,0.5333,0.5488,0.5377,0.1923,0.2818,0.1804,0.2532,0.2462,0.1282,0.2129,0.2364,0.2964,0.2018,0.0883,0.0384,0.0323,0.0131,-0.0104,0.2555,-0.0026,-0.0105,-0.0276,-0.0055,-0.0125,-0.0413,0.0037,0.0208,0.0648,0.0071,0.035,0.1321,0.0018,0.116,0.0354,-0.0117,-0.004,0.0191,0.0253,-0.0031,0.0752,-0.0287,0.0589,0.0072,-0.0051,0.0033,0.0957,-0.0056,0.0603,-0.0179,0.0494,9e-04,-0.0063,0.1383,-0.0118,0.0359,-0.0246,0.027,-0.0101,0.2172,-0.0215,-0.0033,-0.053,-0.0054,-0.0159,0.1755,0.2983,0.1024,0.2924,0.1526,0.0159,-0.0477,0.0077,-0.015,-0.0022,-0.0163,0.0141,-0.0228,-0.018,-0.0043,behavior,
AIFM1,NC_045552.1,47617312,47617312,47617312,1,0.2061,0.2637,0.2,0.0909,0,0.1895,0.2092,0.1732,0,0.303,0,0.1935,0.224,0.1909,0.1488,0.1136,0.1909,0.1995,0.1839,0.1136,0.2424,0.1136,0.195,0.2143,0.1753,0.1429,0.2143,0.2222,0.2078,0.1429,0.2619,0.1429,0.218,0.1364,0.1,0.18,0.1889,0.1727,0.1,0.2333,0.1,0.1842,0.0455,0.1364,0.1465,0.1281,0.0455,0.197,0.0455,0.1411,0.1,0.1111,0.0909,0,0.1667,0,0.1053,0.1889,0.1727,0.1,0.2333,0.1,0.1842,0.1818,0.1111,0.2407,0.1111,0.193,0.0909,0.2273,0.0909,0.177,0.1667,0,0.1053,0.1667,0.2368,0.1053,0.0011,-0.0204,0.0887,0.1175,-0.0228,-0.0155,-0.0296,0.1141,0.0108,-0.0946,-0.0109,-0.0391,0.2134,0.4225,-0.0287,-0.032,-0.0256,0.4196,-0.041,0.1975,0.0115,0.1197,0.4118,-0.0364,-0.0376,-0.035,0.4054,-0.0383,0.15,-0.0195,-0.2018,0.1497,0.1694,0.1311,-0.2317,0.2384,-0.6783,0.0691,0.3801,0.3927,0.3686,NA,0.4409,NA,0.0837,-0.0276,-0.0249,0.3793,-0.0277,0.1681,-0.02,-0.0257,0.3912,-0.0319,0.1762,-0.0103,0.3684,-0.0238,0.1612,-0.0291,0.4373,NA,0.0771,0.2125,0.0241,-0.1633,oxidative_stress,
AIFM1,NC_045552.1,47605212,47605212,47605212,1,0,0.2637,0.2,0.0655,0.0678,0,0,0.0909,0,0,0.0784,0,0.1429,0.1,0.0333,0.0345,0,0,0.0455,0,0,0.04,0,0.2143,0.1667,0.1675,0.1429,0.1429,0.1753,0.1429,0.1429,0.1714,0.1429,0.1267,0.1276,0.1,0.1,0.1364,0.1,0.1,0.132,0.1,0.0655,0.0333,0.0333,0.0758,0.0333,0.0333,0.0707,0.0333,0.0345,0.0345,0.0768,0.0345,0.0345,0.0717,0.0345,0,0.0455,0,0,0.04,0,0.0455,0,0,0.04,0,0.0455,0.0455,0.0818,0.0455,0,0.04,0,0.04,0,0.04,0.1755,0.125,0.0849,0.0865,NA,NA,0.1087,NA,NA,-0.0875,NA,-0.0391,0.0061,0.0052,0.0481,0.0462,-0.0062,0.2304,0.3914,0.0822,0.2035,-0.0182,-0.0187,0,0,-0.0333,0.1892,0.4545,0.0315,0.1579,-0.0086,0.0043,0.004,-0.0137,0.1199,0.1394,-0.0243,0.1026,0.0046,0.0043,-0.014,0.1221,0.1434,-0.0217,0.1046,NA,0,NA,NA,-0.0824,NA,0,NA,NA,-0.0758,NA,0.1628,0.2941,-0.0047,0.1364,NA,-0.0339,NA,0.1129,NA,-0.059,oxidative_stress,
AIFM1,NC_045552.1,47601722,47601722,47601722,1,0.3045,0.4396,0.2,0.216,0.0678,0.1,0,0.2468,0.1502,0,0.04,0.1398,0.3643,0.2467,0.2598,0.2052,0.215,0.1833,0.2697,0.234,0.1833,0.196,0.2302,0.3286,0.3374,0.3005,0.3071,0.2857,0.3442,0.32,0.2857,0.2943,0.3175,0.1966,0.1276,0.14,0.1,0.2091,0.164,0.1,0.116,0.1593,0.1468,0.1586,0.1207,0.2241,0.1814,0.1207,0.1359,0.1769,0.081,0.0345,0.1614,0.109,0.0345,0.0531,0.1034,0.05,0.1727,0.122,0.05,0.068,0.1167,0.1364,0.08,0,0.02,0.0741,0.1945,0.1364,0.1509,0.1902,0.08,0.0968,0.1422,0.02,0.0741,0.0911,0.0019,-0.0113,-0.0111,0.0025,-0.0033,0.013,-0.0141,0.0289,0.1237,0.1219,0.026,0.013,0.0162,0.096,0.0721,0.1484,0.0015,0.0904,0.4083,0.2716,0.0877,-0.0141,-0.0187,-0.0357,0,-0.0281,-0.0101,0.4545,0.0845,-0.0093,0.0087,-0.0027,0.0197,-0.0122,0.0143,0.1414,0.1245,0.015,-0.0147,0.0043,0.0142,-0.048,0.1434,0.0356,-0.0368,0,-0.0019,-0.0273,0.3125,0.0529,-0.0218,0.0463,-0.0432,NA,-0.0818,-0.0319,0.0175,0.3005,0.1595,0.0175,0.1264,0.0346,-0.0105,0.1122,0.1244,0.0433,oxidative_stress,
AIFM1,NC_045552.1,47607100,47607100,47607100,1,0,0,0,0.0966,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0.093,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0067,NA,NA,NA,NA,NA,NA,NA,NA,0.0051,NA,NA,NA,NA,NA,NA,NA,NA,0.0171,0.0088,0.0081,0.0094,0.1114,0.1399,0.1672,0.0948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,oxidative_stress,
AIFM1,NC_045552.1,47613460,47613460,47613460,1,0,NA,NA,0,0,NA,NA,NA,0,0,0.05,0.0769,NA,NA,0,0,NA,NA,NA,0,0,0.025,0.0385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0.025,0.0385,NA,NA,NA,0,0,0.025,0.0385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.025,0.0385,0.025,0.0385,0.0615,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.025,-0.1946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0769,-0.3297,NA,NA,NA,NA,NA,-0.0938,-0.3511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1119,-0.0544,-0.1098,-0.2367,-0.0568,oxidative_stress,
AIFM1,NC_045552.1,47609094,47609094,47609094,1,0,0,0,0,0,0,0,0,0.0754,0,0,0.0357,0,0,0,0,0,0,0,0.0385,0,0,0.0179,0,0,0,0,0,0,0.0385,0,0,0.0179,0,0,0,0,0,0.0385,0,0,0.0179,0,0,0,0,0.0385,0,0,0.0179,0,0,0,0.0385,0,0,0.0179,0,0,0.0385,0,0,0.0179,0,0.0385,0,0,0.0179,0.0385,0,0,0.0179,0.0385,0.0385,0.0549,0,0.0179,0.0179,NA,NA,NA,NA,NA,NA,NA,-0.0177,NA,NA,-0.0053,NA,NA,NA,NA,NA,NA,-0.037,NA,NA,-0.0312,NA,NA,NA,NA,NA,-0.0278,NA,NA,-0.0235,NA,NA,NA,NA,-0.0998,NA,NA,-0.085,NA,NA,NA,-0.098,NA,NA,-0.0835,NA,NA,-0.049,NA,NA,-0.0415,NA,-0.0452,NA,NA,-0.0383,-0.0527,NA,NA,-0.0446,0.1262,0.0723,-0.0136,NA,0.1236,0.0814,oxidative_stress,
AIFM2,NC_045555.1,13459250,13459250,13459250,1,0.2892,0.1429,0,0.3045,0.0678,0.1,0,0,0.085,0,0.1151,0.2572,0.2188,0.1719,0.2922,0.1945,0.2047,0.1719,0.1719,0.2004,0.1719,0.2112,0.2691,0.0714,0.2286,0.101,0.1143,0.0714,0.0714,0.1087,0.0714,0.1229,0.1984,0.1833,0.0345,0.05,0,0,0.0435,0,0.06,0.1481,0.2052,0.215,0.1833,0.1833,0.2109,0.1833,0.2213,0.2772,0.081,0.0345,0.0345,0.075,0.0345,0.0903,0.1724,0.05,0.05,0.0891,0.05,0.104,0.1833,0,0.0435,0,0.06,0.1481,0.0435,0,0.06,0.1481,0.0435,0.0983,0.1787,0.06,0.1481,0.1904,-0.004,0.0138,-0.0068,0.0163,0.0028,0.0218,0.0252,0.0887,0.1247,0.07,-0.0042,0,0.0055,-0.017,-0.0312,0,0,0.0125,0.3846,-0.0057,-0.0174,0.0287,0.0027,0,NA,NA,-0.0485,NA,-0.0425,-0.005,0.0485,0.0187,0.0455,0.0525,0.1198,0.1446,0.0966,0.0019,-0.0147,0.0043,0.0049,-0.0285,0.1434,-0.0507,-0.0273,0,0,-0.0054,0.3125,-0.0222,-0.0186,NA,-0.0789,NA,-0.0696,-0.0087,-0.092,NA,-0.0814,-0.0105,0.1221,-0.0096,0.0517,0.1137,0.1273,0.0364,oxidative_stress,
AIFM2,NC_045555.1,13463911,13463911,13463911,1,0.0635,0.2637,0.3556,0.1831,0.1603,0.1,0.1111,0.1732,0,0,0.0727,0.0357,0.1659,0.2194,0.1258,0.1129,0.079,0.0842,0.1173,0.0323,0.0323,0.0669,0.049,0.2857,0.2143,0.2044,0.1786,0.1825,0.2078,0.1429,0.1429,0.1693,0.1556,0.26,0.2517,0.23,0.2333,0.2545,0.2,0.2,0.2222,0.2107,0.169,0.14,0.1444,0.1727,0.1,0.1,0.1296,0.1143,0.1276,0.1322,0.1614,0.0862,0.0862,0.1169,0.101,0.1,0.1318,0.05,0.05,0.0833,0.0661,0.1364,0.0556,0.0556,0.0885,0.0714,0.0909,0.0909,0.1212,0.1055,0,0.037,0.0179,0.037,0.0179,0.0536,0.0417,0.0606,0.0397,0.031,-0.003,-0.0014,0.0229,0.0634,0.0922,-0.0134,-3e-04,-0.0419,-0.0145,-0.0135,-0.0099,-0.0141,-0.0256,0.2304,0.321,0.0699,0.0915,-0.0113,-0.0084,0.0055,0,-0.0193,0.2669,0.3872,0.0925,0.117,-0.008,-0.0036,-0.0057,-0.012,0.149,0.1163,0.0611,0.0745,-0.0069,-0.0088,-0.0132,0.1449,0.1186,0.0495,0.0657,-0.0278,-0.0179,0.1667,0.25,0.0014,0.0244,-0.0206,0.1707,0.2667,0.0055,0.0271,0.1913,0.2414,0.043,0.0647,NA,0.0032,0.039,0.0843,0.0934,-0.0223,oxidative_stress,
